Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,3524.971435546875,-57622.67578125,-11909.9638671875,-19761.900390625,-51714.875,-53100.35546875,-13344.169921875,-13141.2529296875
0.004,3416.729248046875,-57302.26953125,-11677.9345703125,-20091.96484375,-51535.8984375,-53246.66796875,-13582.373046875,-12892.1767578125
0.008,4772.6875,-57488.65625,-13692.1171875,-18941.072265625,-51663.14453125,-52579.40625,-12999.1064453125,-14782
0.012,4478.71728515625,-57759.4296875,-13444.9267578125,-18904.568359375,-51779.4609375,-52553.25,-12886.287109375,-14576.9609375
0.016,3667.879638671875,-57623.60546875,-12175.9189453125,-19597.603515625,-51701.9296875,-52963.33203125,-13256.8857421875,-13400.2470703125
0.02,3298.97412109375,-57300.90625,-11510.3017578125,-20155.744140625,-51535.01953125,-53264.5234375,-13612.6767578125,-12746.5986328125
0.024,4556.70458984375,-57415.39453125,-13365.865234375,-19165.13671875,-51612.9296875,-52697.3984375,-13120.7001953125,-14462.208984375
0.028,4633.23681640625,-57745.26953125,-13663.005859375,-18814.662109375,-51781.7734375,-52497.08203125,-12859.5126953125,-14764.2626953125
0.032,3826.30859375,-57666.85546875,-12451.6748046875,-19457.916015625,-51731.26171875,-52878.67578125,-13181.615234375,-13641.9794921875
0.036,3237.36669921875,-57335.76171875,-11414.671875,-20178.130859375,-51549.58203125,-53277.2109375,-13612.4873046875,-12658.3828125
0.04,4311.75244140625,-57365.44921875,-13009.90625,-19409.77734375,-51574.6875,-52834.32421875,-13247.037109375,-14126.6357421875
0.044,4775.73974609375,-57721.1171875,-13832.8095703125,-18756.130859375,-51780.34375,-52462.73046875,-12849.546875,-14930.7265625
0.048,3982.878173828125,-57692.98828125,-12685.2763671875,-19327.880859375,-51740.19921875,-52798.20703125,-13111.091796875,-13867.8564453125
0.052,3227.615966796875,-57388.5,-11424.1611328125,-20152.546875,-51584.6484375,-53264.14453125,-13591.9345703125,-12677.3359375
0.056,4046.178466796875,-57319.8125,-12626.958984375,-19647.57421875,-51548.19921875,-52968.4296875,-13371.7548828125,-13764.6689453125
0.06,4876.85302734375,-57677.98828125,-13943.125,-18736.74609375,-51770.33203125,-52452.76171875,-12861.7060546875,-15024.9267578125
0.064,4099.8701171875,-57719.59375,-12894.3701171875,-19233.681640625,-51763.32421875,-52741.89453125,-13062.4794921875,-14068.6533203125
0.068,3281.23583984375,-57443.48046875,-11518.193359375,-20073.322265625,-51612.7109375,-53220.96875,-13540.6279296875,-12773.6826171875
0.072,3792.90576171875,-57290.08203125,-12250.4482421875,-19866.755859375,-51527.17578125,-53092.5546875,-13484.0751953125,-13420.8701171875
0.076,4911.7802734375,-57631.94921875,-13979.912109375,-18774.462890625,-51754.4296875,-52478.41796875,-12906.099609375,-15058.685546875
0.08,4335.09375,-57752.01953125,-13277.6044921875,-19069.150390625,-51780.3671875,-52642.92578125,-12981.8935546875,-14406.7060546875
0.084,4849.7919921875,-57701.59375,-13953.3544921875,-19196.96484375,-51799.80078125,-52721.4296875,-13183.2861328125,-15052.6298828125
0.088,4089.21240234375,-57741.79296875,-12916.1142578125,-19676.49609375,-51786.98046875,-52998.26171875,-13370.5390625,-14084.125
0.092,3252.030029296875,-57470.3984375,-11539.6044921875,-20526.125,-51646.83203125,-53487.92578125,-13854.576171875,-12788.796875
