Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-4847.3125,-77668.0859375,-39227.51171875,-2796.86474609375,-65604.5,-30638.578125,-12806.5361328125,-48666.29296875
0.004,-4543.44775390625,-77837.8359375,-39527.0625,-2321.41015625,-65839.5,-30392.265625,-12783.2890625,-48952.10546875
0.008,-4920.578125,-77751.4609375,-39197.13671875,-2590.39404296875,-65634.875,-30535.03125,-12859.630859375,-48594.16796875
0.012,-5619.00244140625,-77422.6484375,-38519.07421875,-3494.143798828125,-65147.6171875,-30997.947265625,-12972.427734375,-47929.125
0.016,-4942.1552734375,-77627.1484375,-39148.5,-2893.638671875,-65553.921875,-30685.787109375,-12830.6640625,-48590.28125
0.02,-4543.4951171875,-77824.5859375,-39521.2421875,-2340.84130859375,-65834.4140625,-30398.109375,-12787.4873046875,-48952.6796875
0.024,-4798.53125,-77799.921875,-39319.11328125,-2453.423095703125,-65711.4765625,-30463.865234375,-12840.294921875,-48718.40625
0.028,-5614.13818359375,-77451.546875,-38544.84375,-3431.677734375,-65170.9375,-30961.947265625,-12989.544921875,-47942.07421875
0.032,-5043.36328125,-77594.546875,-39072.96875,-2989.220703125,-65497.8046875,-30734.853515625,-12848.3544921875,-48513.125
0.036,-4564.76318359375,-77805.734375,-39507.51171875,-2375.650390625,-65820.046875,-30413.009765625,-12786.6279296875,-48938.61328125
0.04,-4700.3271484375,-77832.921875,-39415.79296875,-2346.301513671875,-65780.734375,-30405.26171875,-12823.3671875,-48822.36328125
0.044,-5549.9794921875,-77505.375,-38612.9375,-3302.050048828125,-65249.64453125,-30887.369140625,-12994.1953125,-48019.21875
0.048,-5143.40478515625,-77555.3359375,-38970.55078125,-3079.46240234375,-65430.79296875,-30775.025390625,-12866.021484375,-48416.16796875
0.052,-4611.8974609375,-77787.1640625,-39465.07421875,-2439.046142578125,-65792.609375,-30442.12109375,-12796.6904296875,-48910.1171875
0.056,-4633.1171875,-77856.5,-39482.57421875,-2277.231689453125,-65827.875,-30364.46875,-12814.498046875,-48898.10546875
