Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,199999.96875,153180.71875,199999.96875,196862.328125,78780.6640625,153102.75,199999.96875,289.65472412109375
0.004,199999.96875,152573.25,199999.96875,198928,77595.3125,152512.203125,199999.96875,288.10507202148438
0.008,199999.96875,153394.546875,199999.96875,198308.796875,79096.796875,153352,199999.96875,291.27603149414062
0.012,199999.96875,154064.625,199999.96875,196163.078125,80457.3359375,154003.21875,199999.96875,290.966064453125
0.016,199999.96875,153342.09375,199999.96875,196503.25,79178.859375,153261.75,199999.96875,290.41766357421875
0.02,199999.96875,152536.71875,199999.96875,198667.84375,77627.7109375,152471.96875,199999.96875,291.34756469726562
0.024,199999.96875,153237.421875,199999.96875,198612.328125,78825.3359375,153190.875,199999.96875,290.87069702148438
0.028,199999.96875,154065.828125,199999.96875,196434.5,80484.5234375,154008.328125,199999.96875,289.55941772460938
0.032,199999.96875,153495.703125,199999.96875,196195.953125,79551.3984375,153420.046875,199999.96875,291.371337890625
0.036,199999.96875,152580.203125,199999.96875,198331.703125,77776.0859375,152512.578125,199999.96875,288.248046875
0.04,199999.96875,153094.421875,199999.96875,198851.84375,78576.9609375,153048.875,199999.96875,289.08251953125
0.044,199999.96875,154001.171875,199999.96875,196733.09375,80406.125,153945.046875,199999.96875,289.010986328125
0.048,199999.96875,153655.921875,199999.96875,195949.59375,79916.671875,153580.296875,199999.96875,290.131591796875
0.052,199999.96875,152685.96875,199999.96875,197931.125,78024.1640625,152611.375,199999.96875,290.03622436523438
0.056,199999.96875,152951.125,199999.96875,199007.796875,78342.0390625,152902.203125,199999.96875,292.32504272460938
0.06,199999.96875,153905.625,199999.96875,197092.171875,80250.9140625,153854.125,199999.96875,289.10638427734375
0.064,199999.96875,153788.375,199999.96875,195777.71875,80219.875,153717.671875,199999.96875,290.32235717773438
0.068,199999.96875,152823.953125,199999.96875,197506.703125,78336.0859375,152746.34375,199999.96875,289.48788452148438
0.072,199999.96875,152808.578125,199999.96875,199052.703125,78137.6484375,152757.421875,199999.96875,289.65472412109375
0.076,199999.96875,153754.5,199999.96875,197462.375,80002.671875,153707.09375,199999.96875,290.25082397460938
0.08,199999.96875,152903,199999.96875,197191.203125,78802.375,152826.203125,199999.96875,292.39657592773438
0.084,199999.96875,153602.59375,199999.96875,199999.96875,75170.9609375,153553.75,199999.96875,289.72625732421875
0.088,199999.96875,153848.828125,199999.96875,199999.96875,75640.5625,153781.125,199999.96875,289.65472412109375
0.092,199999.96875,152873.21875,199999.96875,199999.96875,73964.171875,152795.375,199999.96875,290.22695922851562
0.096,199999.96875,152342.828125,199999.96875,199999.96875,73141.4140625,152284.375,199999.96875,290.70379638671875
0.1,199999.96875,153192.09375,199999.96875,199999.96875,74753.4140625,153145.046875,199999.96875,288.79647827148438
0.104,199999.96875,153689.328125,199999.96875,199999.96875,75794.109375,153624.5,199999.96875,289.05874633789062
0.108,199999.96875,152777,199999.96875,199999.96875,74476.2109375,152700.46875,199999.96875,291.84823608398438
0.112,199999.96875,151942.71875,199999.96875,199999.96875,73389.984375,151879.328125,199999.96875,289.53555297851562
0.116,199999.96875,152638.125,199999.96875,199999.96875,74882.484375,152589.546875,199999.96875,289.34481811523438
0.12,199999.96875,151867.046875,199999.96875,199999.96875,75047.5234375,151817.921875,199999.96875,289.17791748046875
0.124,199999.96875,152855.625,199999.96875,199999.96875,76745.984375,152800.25,199999.96875,289.08251953125
0.128,199999.96875,152601.375,199999.96875,199999.96875,76368.6484375,152526.25,199999.96875,292.51577758789062
0.132,199999.96875,151532.953125,199999.96875,199999.96875,74639.8359375,151460.328125,199999.96875,291.94354248046875
0.136,199999.96875,151645.453125,199999.96875,199999.96875,74816.484375,151590.46875,199999.96875,290.72763061523438
0.14,199999.96875,152663.171875,199999.96875,199999.96875,76500.921875,152611.046875,199999.96875,290.29849243164062
0.144,199999.96875,152674.828125,199999.96875,199999.96875,76543.1875,152603.453125,199999.96875,291.10906982421875
0.148,199999.96875,151632.875,199999.96875,199999.96875,74871.3359375,151558.375,199999.96875,290.966064453125
0.152,199999.96875,151427.34375,199999.96875,199999.96875,74581.546875,151371.421875,199999.96875,290.51309204101562
0.156,199999.96875,152395.34375,199999.96875,199999.96875,76168.8984375,152341.59375,199999.96875,291.46673583984375
0.16,199999.96875,152726.5,199999.96875,199999.96875,76643.5,152659.125,199999.96875,292.32504272460938
0.164,199999.96875,151771.34375,199999.96875,199999.96875,75093.5625,151696.796875,199999.96875,290.98989868164062
0.168,199999.96875,151240.21875,199999.96875,199999.96875,74313.4765625,151183.828125,199999.96875,291.96743774414062
0.172,199999.96875,152138.75,199999.96875,199999.96875,75749.4609375,152089.171875,199999.96875,291.20449829101562
0.176,199999.96875,152750.953125,199999.96875,199999.96875,76636.7109375,152686.296875,199999.96875,290.41766357421875
0.18,199999.96875,151901.453125,199999.96875,199999.96875,75260.5234375,151824.875,199999.96875,290.822998046875
0.184,199999.96875,151099.96875,199999.96875,199999.96875,74075.25,151036.078125,199999.96875,290.25082397460938
0.188,199999.96875,151864.21875,199999.96875,199999.96875,75233.3984375,151813.34375,199999.96875,289.55941772460938
0.192,199999.96875,152720.578125,199999.96875,199999.96875,76410.421875,152657.046875,199999.96875,289.94085693359375
0.196,199999.96875,152045.25,199999.96875,199999.96875,75299.984375,151970.546875,199999.96875,291.39520263671875
