Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,66927.7265625,10352.015625,23953.224609375,50625.76171875,26780.703125,66340.6484375,19106.416015625,458.31210327148438
0.004,68313.9140625,11470.6767578125,23573.162109375,50137.35546875,27027.37109375,66043.109375,19275.71484375,458.78890991210938
0.008,68671.421875,11742.068359375,23630.16796875,50105.9296875,27109.052734375,66028.6484375,19324.306640625,457.85906982421875
0.012,67610.2265625,10847.3310546875,23888.58984375,50419.1171875,26878.12109375,66192.75,19147.109375,456.21401977539062
0.016,66710.421875,10171.1044921875,24000.859375,50671.41796875,26720.40625,66346.0390625,19057.46484375,456.90542602539062
0.02,68170.734375,11367.0361328125,23585.037109375,50156.55078125,26989.130859375,66046.3359375,19247.130859375,456.33319091796875
0.024,68691.6875,11761.7138671875,23595.478515625,50085.2109375,27107.099609375,66012.359375,19325.712890625,456.04705810546875
0.028,67856.9609375,11054.779296875,23843.552734375,50352.60546875,26927.306640625,66157.5390625,19185.6875,457.429931640625
0.032,66621.25,10064.412109375,24016.978515625,50693.94921875,26681.328125,66350.3125,19022.82421875,459.361083984375
0.036,68001.8515625,11228.8017578125,23622.349609375,50217.5859375,26961.63671875,66081.1015625,19233.541015625,455.92788696289062
0.04,68684.8515625,11755.896484375,23562.865234375,50077.15625,27100.615234375,66003.9375,19325.6875,452.78076171875
0.044,68084.484375,11227.8232421875,23789.693359375,50293.57421875,26968.57421875,66120.859375,19218.615234375,455.73715209960938
0.048,66689.7109375,10078.9091796875,24008.5625,50676.54296875,26679.806640625,66333.421875,19017.271484375,456.309326171875
0.052,67762.4609375,11039.185546875,23692.349609375,50312.05078125,26927.28125,66141.3515625,19214.728515625,456.595458984375
0.056,68616.0859375,11694.5517578125,23551.05859375,50087.8125,27082.32421875,66010.421875,19318.869140625,457.33456420898438
0.06,68290.546875,11411.6201171875,23735.26171875,50227.5,27007.15234375,66083.5859375,19249.01171875,457.429931640625
