Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
0,14982.8095703125,14982.8095703125,11801.5107421875,14982.8095703125,14982.8095703125,14982.8095703125,14982.8095703125,17.445140838623047,0
0.004,58905.20703125,58905.20703125,46508.16796875,58905.20703125,58905.20703125,58905.20703125,58905.20703125,68.2471923828125,0
0.008,113810.0390625,113810.0390625,90074.75,113810.0390625,113810.0390625,113810.0390625,113810.0390625,131.52084350585938,0
0.012,160120.046875,160120.046875,126825.1484375,160120.046875,160120.046875,160120.046875,160120.046875,185.01412963867188,0
0.016,189828.125,189828.125,150188.078125,189828.125,189828.125,189828.125,189828.125,219.52619934082031,0
0.02,195473.171875,195473.171875,154477.703125,195473.171875,195473.171875,195473.171875,195473.171875,226.09590148925781,0
0.024,182205.578125,182205.578125,144006.34375,182205.578125,182205.578125,182205.578125,182205.578125,210.46611022949219,0
0.028,165717,165717,131036.4609375,165717,165717,165717,165717,191.0606689453125,0
0.032,155607.75,155607.75,122976.609375,155607.75,155607.75,155607.75,155607.75,179.18611145019531,0
0.036,150014.5,150014.5,118483.3984375,150014.5,150014.5,150014.5,150014.5,172.42509460449219,0
0.04,144612.046875,144612.046875,114287.046875,144612.046875,144612.046875,144612.046875,144612.046875,165.72248840332031,0
0.044,138174.296875,138174.296875,109279.7265625,138174.296875,138174.296875,138174.296875,138174.296875,158.22859191894531,0
0.048,130631.7734375,130631.7734375,103240.8125,130631.7734375,130631.7734375,130631.7734375,130631.7734375,150.06344604492188,0
0.052,122937.7734375,122937.7734375,97044.7734375,122937.7734375,122937.7734375,122937.7734375,122937.7734375,141.8616943359375,0
0.056,117950.8515625,117950.8515625,93142.2734375,117950.8515625,117950.8515625,117950.8515625,117950.8515625,136.58161926269531,0
0.06,116147.8515625,116147.8515625,91831.7890625,116147.8515625,116147.8515625,116147.8515625,116147.8515625,134.57490539550781,0
0.064,112708.8984375,112708.8984375,89099.1875,112708.8984375,112708.8984375,112708.8984375,112708.8984375,130.47274780273438,0
0.068,104170.2109375,104170.2109375,82229.4609375,104170.2109375,104170.2109375,104170.2109375,104170.2109375,120.470458984375,0
0.072,95019.859375,95019.859375,74963.4375,95019.859375,95019.859375,95019.859375,95019.859375,109.52227783203125,0
0.076,91471.4765625,91471.4765625,72242.9765625,91471.4765625,91471.4765625,91471.4765625,91471.4765625,105.19364929199219,0
0.08,91317.6015625,91317.6015625,72167.3125,91317.6015625,91317.6015625,91317.6015625,91317.6015625,105.25445556640625,0
0.084,87134.109375,87134.109375,68869.9609375,87134.109375,87134.109375,87134.109375,87134.109375,100.4869384765625,0
0.088,78116.109375,78116.109375,61629.875,78116.109375,78116.109375,78116.109375,78116.109375,89.8983154296875,0
0.092,71075.359375,71075.359375,55671.90625,71075.359375,71075.359375,71075.359375,71075.359375,81.902511596679688,0
0.096,69385.5,69385.5,54160.1796875,69385.5,69385.5,69385.5,69385.5,80.1744384765625,0
0.1,68245.125,68245.125,53628.51171875,68245.125,68245.125,68245.125,68245.125,78.980880737304688,0
0.104,62959.10546875,62959.10546875,49741.14453125,62959.10546875,62959.10546875,62959.10546875,62959.10546875,73.172035217285156,0
0.108,55787.65625,55787.65625,43910.8046875,55787.65625,55787.65625,55787.65625,55787.65625,65.05322265625,0
0.112,51297.14453125,51297.14453125,40248.0625,51297.14453125,51297.14453125,51297.14453125,51297.14453125,59.553306579589844,0
0.116,49382.8359375,49382.8359375,38967.57421875,49382.8359375,49382.8359375,49382.8359375,49382.8359375,56.820274353027344,0
0.12,46660.30078125,46660.30078125,36931.73828125,46660.30078125,46660.30078125,46660.30078125,46660.30078125,53.45074462890625,0
0.124,42019.64453125,42019.64453125,33008.1171875,42019.64453125,42019.64453125,42019.64453125,42019.64453125,48.311878204345703,0
0.128,37288.9375,37288.9375,29113.041015625,37288.9375,37288.9375,37288.9375,37288.9375,42.916461944580078,0
0.132,33771.36328125,33771.36328125,26577.703125,33771.36328125,33771.36328125,33771.36328125,33771.36328125,38.781486511230469,0
0.136,30920.515625,30920.515625,24538.556640625,30920.515625,30920.515625,30920.515625,30920.515625,35.931713104248047,0
0.14,27922.01171875,27922.01171875,21981.4375,27922.01171875,27922.01171875,27922.01171875,27922.01171875,33.006328582763672,0
0.144,24651.65625,24651.65625,19148.125,24651.65625,24651.65625,24651.65625,24651.65625,29.220348358154297,0
0.148,21238.568359375,21238.568359375,16564.328125,21238.568359375,21238.568359375,21238.568359375,21238.568359375,24.952493667602539,0
0.152,17872.693359375,17872.693359375,14171.078125,17872.693359375,17872.693359375,17872.693359375,17872.693359375,20.714859008789062,0
0.156,14890.958984375,14890.958984375,11800.46875,14890.958984375,14890.958984375,14890.958984375,14890.958984375,16.974941253662109,0
