Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
555897.3886166,42190.76953125,5291.6279296875,28001324.0,27622214.0,6608184.0,6392583.0,-21.6060791015625
555897.3915582,42056.11328125,6027.56494140625,36331540.0,28327994.0,6777031.0,6973308.0,-19.356796264648438
555897.3987342,43091.46875,6641.0576171875,44103648.0,29148432.0,6973308.0,6973308.0,-17.334484100341797
555897.4011653,43390.80078125,7123.37353515625,50742452.0,30038570.0,7186260.0,6973308.0,-15.474729537963867
555897.4054896,42367.08203125,7468.74072265625,55782092.0,30945958.0,7403338.5,6973308.0,-13.649656295776367
555897.4063233,41974.4296875,7674.38916015625,58896248.0,31815722.0,7611416.0,6973308.0,-11.8673677444458
555897.4073151,42877.48828125,7740.51953125,59915640.0,32595802.0,7798038.5,6973308.0,-10.125788688659668
555897.4078461,43481.23828125,7670.20068359375,58831980.0,33241802.0,7952583.0,6973308.0,-8.281527519226074
555897.4203161,42555.1171875,7469.1982421875,55788920.0,33721024.0,8067230.5,6973308.0,-6.282534122467041
555897.424952,41925.26953125,7145.75927734375,51061876.0,34015316.0,8137635.0,6973308.0,-4.321159362792969
555897.4264619,42659.23828125,6710.33056640625,45028536.0,34122336.0,8163237.5,6973308.0,-2.55924916267395
555897.4340655,43534.64453125,6175.25244140625,38133748.0,34055416.0,8147228.0,6973308.0,-0.8995956182479858
555897.4453216,42755.20703125,5554.40234375,30851386.0,33841664.0,8096091.0,8096091.0,0.813513457775116
555897.451214,41911.625,4862.8310546875,23647126.0,33518892.0,8018873.5,8096091.0,2.563127040863037
555897.4516616,42462.3984375,4116.38037109375,16944588.0,33131446.0,7926182.5,8096091.0,4.289647579193115
555897.4532833,43525.89453125,3331.291748046875,11097504.0,32725472.0,7829059.0,8096091.0,6.075791835784912
555897.4550277,42942.98046875,2523.839111328125,6369764.0,32344124.0,7737828.0,8096091.0,7.987941741943359
555897.459095,41946.4609375,1709.958984375,2923959.5,32023072.0,7661021.5,8096091.0,9.845715522766113
555897.4629381,42303.13671875,904.9201049804688,818880.375,31786922.0,7604526.5,8096091.0,11.402013778686523
