EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05,timestamp_rel,LIFU_LSL_time,marker
0.0,-4233.62353515625,-0.0068091736175119,4.636484663933516e-05,3.7091876947670244e-07,823.4577026367188,0.0,21.11691159999464,1.0
0.004,-4080.60546875,-0.0591132640838623,0.0034943777136504,2.832593963830732e-05,15769.5205078125,0.0,21.11691159999464,1.0
0.008,-4699.54052734375,-0.2605122029781341,0.0678666085004806,0.0005712588317692,15769.5205078125,0.0,21.11691159999464,1.0
0.012,-5101.9912109375,-0.7953386306762695,0.6325634717941284,0.0056317662820219,15769.5205078125,0.0,21.11691159999464,1.0
0.016,-4343.7958984375,-1.9191274642944336,3.683050155639648,0.0350961685180664,15769.5205078125,0.0,21.11691159999464,1.0
0.02,-4039.884033203125,-3.9241695404052734,15.399106979370115,0.1582890301942825,15769.5205078125,0.0,21.11691159999464,1.0
0.024,-4569.31640625,-7.088794708251953,50.251007080078125,0.5602970123291015,15769.5205078125,0.0,21.11691159999464,1.0
0.028,-5140.11474609375,-11.63556957244873,135.386474609375,1.643388748168945,15769.5205078125,0.0,21.11691159999464,1.0
0.032,-4459.5,-17.708120346069336,313.5775451660156,4.1520094871521,15769.5205078125,0.0,21.11691159999464,1.0
0.036,-4005.69482421875,-25.35054016113281,642.64990234375,9.293208122253418,15769.5205078125,0.0,21.11691159999464,1.0
0.04,-4430.19921875,-34.4826774597168,1189.0550537109375,18.805648803710938,15769.5205078125,0.0,21.11691159999464,1.0
0.044,-5130.3388671875,-44.88502883911133,2014.665771484375,34.9229736328125,15769.5205078125,0.0,21.11691159999464,1.0
0.048,-4584.19384765625,-56.2014274597168,3158.600341796875,60.1917724609375,15769.5205078125,0.0,21.11691159999464,1.0
0.052,-4016.852783203125,-67.95011901855469,4617.21875,97.1295166015625,15769.5205078125,0.0,21.11691159999464,1.0
0.056,-4321.17041015625,-79.53668212890625,6326.08447265625,147.7382049560547,15769.5205078125,0.0,21.11691159999464,1.0
0.06,-5079.07958984375,-90.27384185791016,8149.3662109375,212.9331512451172,15769.5205078125,0.0,21.11691159999464,1.0
0.064,-4730.22509765625,-99.41165924072264,9882.677734375,291.9945678710937,15769.5205078125,0.0,21.11691159999464,1.0
0.068,-4057.860595703125,-106.17350006103516,11272.8125,382.1770935058594,15769.5205078125,0.0,21.11691159999464,1.0
0.072,-4219.484375,-109.79295349121094,12054.4921875,478.6129760742188,15769.5205078125,0.0,21.11691159999464,1.0
0.076,-4988.9326171875,-109.5518798828125,12001.6142578125,574.6258544921875,15769.5205078125,0.0,21.11691159999464,1.0
0.08,-5267.50146484375,-104.8193817138672,10987.1015625,662.5227661132812,15769.5205078125,0.0,21.11691159999464,1.0
0.084,-5030.44140625,-95.09163665771484,9042.4189453125,734.8621215820312,15769.5205078125,0.0,21.11691159999464,1.0
