Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,37356.85546875,4304.36181640625,-12081.099609375,55824.78125,12688.78125,35765.3359375,44322.35546875,474.04769897460938
0.004,37202.95703125,4088.42578125,-12049.771484375,55723.98046875,12596.2734375,35702.9921875,44172.29296875,472.14031982421875
0.008,36667.42578125,4296.06494140625,-10897.1845703125,55719.35546875,12492.3251953125,35182.9296875,44320.84375,474.9775390625
0.012,36776.66796875,4521.6083984375,-10907.435546875,55782.73046875,12561.65625,35204.3125,44452.3125,473.18939208984375
0.016,37258.8671875,4350.4716796875,-11909.1767578125,55780.19921875,12667.083984375,35668.0625,44320.84375,473.83316040039062
0.02,37252.45703125,4102.85009765625,-12136.53125,55715.20703125,12610.2470703125,35737.73046875,44158.8671875,473.380126953125
0.024,36736.7734375,4237.08056640625,-11084.271484375,55702.4296875,12499.3095703125,35262.34375,44267.34375,472.83172607421875
0.028,36705.28125,4516.7919921875,-10787.4404296875,55768.6796875,12539.1484375,35141.20703125,44443.01953125,471.18667602539062
0.032,37182.36328125,4411.69775390625,-11723.3515625,55790,12652.46875,35585.36328125,44355.44921875,476.02655029296875
0.036,37306.59375,4128.57568359375,-12204.3857421875,55727.3671875,12628.794921875,35776.8046875,44172.21875,475.26361083984375
0.04,36832.59375,4183.7451171875,-11311.412109375,55692.98828125,12503.7919921875,35357.36328125,44230.41796875,472.259521484375
0.044,36649.85546875,4497.07568359375,-10694.3857421875,55758,12520.4345703125,35093.8359375,44440.91796875,471.83041381835938
0.048,37106.96875,4457.28369140625,-11532.068359375,55791.6171875,12640.953125,35504.6484375,44389.91796875,472.73641967773438
0.052,37340.6875,4153.0849609375,-12246.513671875,55734.0859375,12645.9609375,35795.8359375,44183.7109375,471.49658203125
0.056,36928.82421875,4140.7109375,-11541.9638671875,55694.30078125,12526.0126953125,35459.42578125,44194.32421875,472.42645263671875
0.06,36601.73828125,4467.75,-10637.3798828125,55746.63671875,12507.5361328125,35066.41796875,44419.4609375,473.64242553710938
0.064,37007.4296875,4485.10693359375,-11356.951171875,55785.83203125,12612.0341796875,35411.4296875,44405.2734375,473.66619873046875
0.068,37354.92578125,4194.18896484375,-12237.0732421875,55747.48828125,12657.7626953125,35797.79296875,44207.48046875,472.42645263671875
0.072,37024.76171875,4105.8779296875,-11750.865234375,55694.5859375,12547.375,35551.0234375,44170.45703125,473.66619873046875
0.076,36575.39453125,4417.61083984375,-10632.4921875,55730.34375,12485.076171875,35059.8359375,44387.0546875,473.59466552734375
0.08,37044.09375,4139.68603515625,-11732.03125,55702.7109375,12562.990234375,35557.25,44188.79296875,473.47549438476562
0.084,37329.60546875,4341.65087890625,-12026.6923828125,55788.85546875,12699.390625,35734.82421875,44315.3671875,471.28207397460938
0.088,37269.26171875,4396.5341796875,-11862.0654296875,55797.84375,12688.3984375,35666.83203125,44351.30078125,471.21054077148438
0.092,37264.42578125,4138.421875,-12115.646484375,55727.17578125,12631.7998046875,35742.9296875,44183.4921875,471.06747436523438
0.096,36741.8984375,4263.06787109375,-11079.9091796875,55706.88671875,12514.162109375,35263.73046875,44287.33203125,474.92984008789062
0.1,36715.67578125,4544.04443359375,-10756.7080078125,55784.32421875,12562.8017578125,35141.5625,44471.36328125,472.78408813476562
0.104,37192.9921875,4446.125,-11686.2080078125,55804.0859375,12677.4560546875,35587.29296875,44384.91796875,474.23843383789062
0.108,37306.4296875,4148.41259765625,-12191.8701171875,55732.9921875,12646.4609375,35770.89453125,44187.07421875,472.90325927734375
0.112,36843.63671875,4203.2958984375,-11305.953125,55705.95703125,12531.4970703125,35364.75,44243.38671875,474.23843383789062
0.116,36655.7109375,4518.03271484375,-10671.4736328125,55771.07421875,12546.802734375,35092.83203125,44456.1484375,474.54833984375
0.12,37110.0234375,4482.5078125,-11498.904296875,55804.04296875,12660.6953125,35500.8359375,44408.25,474.35760498046875
0.124,37347.08203125,4177.33203125,-12224.9375,55746.1796875,12664.2001953125,35793.44921875,44202.35546875,472.83172607421875
0.128,36945.2734375,4160.11865234375,-11538.125,55703.9296875,12549.091796875,35462.6171875,44213.70703125,472.3310546875
0.132,36611.98828125,4482.74609375,-10614.3720703125,55757.36328125,12526.8955078125,35068.73046875,44436.8359375,474.35760498046875
