Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-43745.96875,-90054.6484375,-96530.5234375,2154.469970703125,-90810.1640625,-44963.60546875,-43845.51953125,-97578.8984375
0.004,-45293.3359375,-89654.046875,-96594.4140625,1629.7818603515625,-90186.7734375,-46047.7109375,-45723.73046875,-97458.75
0.008,-46425.65625,-90015.875,-96968.7265625,1299.2623291015625,-90561.8515625,-46726.8984375,-46250.63671875,-97556.3359375
0.012,-44949.58203125,-90330.125,-96877.984375,1767.635498046875,-91075.8125,-45698.29296875,-44528.73046875,-97683.546875
0.016,-43675.3984375,-90129.2265625,-96554.1875,2179.02685546875,-90943.046875,-44899.23046875,-43664.86328125,-97593.1484375
0.02,-44953.42578125,-89696.8984375,-96556.671875,1742.4586181640625,-90308.0390625,-45816.51953125,-45371.2734375,-97470.484375
0.024,-46443.61328125,-89931.375,-96931.8125,1289.439208984375,-90499.6875,-46748.09375,-46368.98828125,-97507.1015625
0.028,-45283.1796875,-90299.6640625,-96923.6875,1657.4146728515625,-91042.375,-45925.23828125,-44868.42578125,-97671.5625
0.032,-43715.09375,-90220.4375,-96608.5859375,2162.95703125,-91085.1640625,-44910.21875,-43589.09375,-97626.9609375
0.036,-44628.625,-89768.3515625,-96537.1484375,1851.3443603515625,-90466.6875,-45594,-44998.36328125,-97480.25
0.04,-46365.45703125,-89844.375,-96874.546875,1306.7486572265625,-90434.7109375,-46711.73828125,-46415.09375,-97468.921875
0.044,-45609.88671875,-90247.6640625,-96954.296875,1545.548583984375,-90991.1484375,-46144.91796875,-45226.60546875,-97660.0625
0.048,-43849.46875,-90286.1015625,-96666.671875,2119.255126953125,-91195.1640625,-44980.58203125,-43622.1875,-97656.546875
0.052,-44329.3125,-89839.609375,-96521.4140625,1952.7913818359375,-90624.6015625,-45375.875,-44642.6875,-97489.9609375
0.056,-46185.73828125,-89761.4140625,-96802.0859375,1354.1939697265625,-90378.9609375,-46605.9921875,-46367.45703125,-97445.6640625
0.06,-45901.5859375,-90188.9375,-96976.4140625,1453.018310546875,-90932.921875,-46348.95703125,-45565.6796875,-97646.8984375
0.064,-44070.80078125,-90327.1015625,-96727.796875,2050.28076171875,-91261.609375,-45118.64453125,-43760.01953125,-97661.8359375
0.068,-44088.125,-89911.0625,-96519.8359375,2033.424560546875,-90772.2890625,-45208.88671875,-44331.0546875,-97505.2890625
0.072,-45942.0234375,-89693.3359375,-96729.4609375,1423.2398681640625,-90343.7890625,-46459.4375,-46236.4921875,-97432.671875
0.076,-46165.375,-90130.6015625,-96992.4140625,1366.138427734375,-90876.484375,-46534.73828125,-45865.2734375,-97619.875
0.08,-45013.5234375,-89805.921875,-96675.1640625,1637.7213134765625,-91193.5390625,-45835.76171875,-45328.1171875,-97445.2890625
0.084,-44212.41796875,-90491.25,-96888.4609375,1873.6842041015625,-92430.0234375,-45171.86328125,-43743.9921875,-97640.6015625
0.088,-44175.9375,-90091.4609375,-96681.625,1878.5478515625,-91959.3984375,-45224.45703125,-44250.3671875,-97475.2265625
0.092,-46032.17578125,-89852.796875,-96879.9765625,1263.7138671875,-91513.5234375,-46484.7109375,-46193.4375,-97406.6640625
0.096,-46313.67578125,-90282.984375,-97145.734375,1187.3724365234375,-92040.5234375,-46597.4375,-45879.3671875,-97594.5390625
0.1,-44490.91796875,-90515.5625,-96953.0625,1778.4833984375,-92473.921875,-45351.98828125,-43957.3984375,-97653.125
0.104,-43978.0234375,-90179.6875,-96688.8984375,1939.4400634765625,-92111.734375,-45080.55078125,-43963.21875,-97495.9375
0.108,-45722.1796875,-89833.125,-96819.6015625,1355.8150634765625,-91546.609375,-46288.20703125,-45957.46875,-97406.5390625
0.112,-46496.61328125,-90230.6484375,-97153.2265625,1128.387451171875,-91999.0859375,-46729.3046875,-46121.45703125,-97563.5859375
0.116,-44808.80078125,-90517.6484375,-97011.8125,1668.66796875,-92490.25,-45563.19921875,-44244.98828125,-97650.7265625
0.12,-43840.9375,-90256.6875,-96709.1484375,1976.609375,-92257.6484375,-44978.36328125,-43739.03125,-97531.3359375
0.124,-45382.38671875,-89837.171875,-96764.9140625,1459.2171630859375,-91612.7265625,-46064.73828125,-45655.46875,-97419.9375
0.128,-46602.9921875,-90163.4140625,-97138.0390625,1095.0804443359375,-91950.421875,-46807.1484375,-46298.89453125,-97507.671875
0.132,-45150.3046875,-90499.1015625,-97058.421875,1554.5609130859375,-92478.796875,-45789.53125,-44564.0546875,-97637.8359375
0.136,-43800.76171875,-90334.0625,-96740.3984375,1984.7633056640625,-92388.109375,-44936.73046875,-43599.82421875,-97569.4609375
0.14,-45046.59375,-89889.2265625,-96733.859375,1564.383544921875,-91741.734375,-45834.83203125,-45298.79296875,-97431.875
0.144,-46605.26171875,-90083.125,-97096.4140625,1086.1396484375,-91882.2109375,-46818.6171875,-46409.8984375,-97461.1640625
0.148,-45487.95703125,-90456.984375,-97098.6015625,1438.5941162109375,-92436.671875,-46017.3359375,-44919.3046875,-97631.3125
0.152,-43852.48046875,-90412.046875,-96790.296875,1968.0501708984375,-92509.109375,-44951.6796875,-43544.1484375,-97598.984375
0.156,-44718.76953125,-89964.109375,-96710.4609375,1677.2271728515625,-91899.0234375,-45602.34375,-44914.30078125,-97444.375
0.16,-46496.3671875,-90010.9609375,-97039.3359375,1112.9857177734375,-91828.9765625,-46759.4375,-46417.98046875,-97427.2109375
0.164,-45803.29296875,-90421.1640625,-97134.1875,1330.9716796875,-92389.6484375,-46233.34375,-45268.0859375,-97618.625
0.168,-43996.69921875,-90488.3125,-96855.0859375,1917.3148193359375,-92620.9609375,-45036.1484375,-43584.61328125,-97626.6015625
0.172,-44422.1484375,-90051.5390625,-96704.3984375,1770.9019775390625,-92063.5,-45396.8046875,-44551.0625,-97456.3515625
0.176,-46310.64453125,-89938.4140625,-96972.109375,1156.7593994140625,-91781.171875,-46652.98828125,-46350.71875,-97401.9140625
0.18,-46097.76171875,-90367.0234375,-97157.9609375,1229.262451171875,-92333.2109375,-46441.7734375,-45606.16796875,-97609.875
0.184,-44220.98046875,-90528.296875,-96914.296875,1839.900146484375,-92686.4765625,-45173.26953125,-43725.76171875,-97637.484375
0.188,-44168.23828125,-90132.3359375,-96699.6875,1847.4105224609375,-92220.421875,-45215.39453125,-44220.8046875,-97470.9375
0.192,-46051.21875,-89889.3515625,-96906.125,1225.066162109375,-91770.0625,-46491.9375,-46193.6484375,-97389.2109375
0.196,-46349.71875,-90318.25,-97176.8984375,1141.739013671875,-92291.2734375,-46615.3671875,-45901.6796875,-97588.1640625
0.2,-44510.75,-90552.8125,-96979.234375,1734.9722900390625,-92728.8359375,-45354.48828125,-43952.92578125,-97648.8984375
0.204,-43970.75,-90211.921875,-96709.1640625,1907.4681396484375,-92371.734375,-45064.86328125,-43931.4609375,-97490.75
0.208,-45738.2421875,-89873.7265625,-96844.25,1314.4495849609375,-91805.625,-46287.8984375,-45948.625,-97391.3984375
0.212,-46533.6796875,-90268.4609375,-97182.9765625,1082.6351318359375,-92249.4765625,-46745.5625,-46142.67578125,-97553.8359375
0.216,-44832.51953125,-90552.7890625,-97035.796875,1629.161865234375,-92739.125,-45569.6875,-44247.75,-97648.2734375
0.22,-43840.79296875,-90297.625,-96731.1484375,1945.901123046875,-92512.7109375,-44966.53125,-43715.67578125,-97523.125
0.224,-45391.9921875,-89880.796875,-96790.75,1421.427734375,-91875.171875,-46060.42578125,-45646.38671875,-97404.3515625
0.228,-46636.75,-90206.2734375,-97165.3984375,1049.208740234375,-92201.5234375,-46822.57421875,-46323.92578125,-97499.046875
0.232,-45171.98046875,-90538.3515625,-97087.171875,1510.2864990234375,-92726.875,-45801,-44584.70703125,-97639.1484375
0.236,-43806.125,-90379.1484375,-96768.3359375,1947.1409912109375,-92644.6484375,-44933.25,-43593.9296875,-97559.359375
0.24,-45051.4609375,-89935.875,-96761.1484375,1528.620849609375,-91998.359375,-45835.98046875,-45296.5546875,-97423.125
0.244,-46633.4609375,-90128.0234375,-97130.296875,1039.9105224609375,-92130.1015625,-46835.94921875,-46435.07421875,-97456.984375
0.248,-45517.46875,-90505.3515625,-97133.734375,1387.2386474609375,-92682.5859375,-46037.75,-44950.01171875,-97629.4609375
0.252,-43867.26171875,-90463.0625,-96826.359375,1921.3677978515625,-92765.9140625,-44960.66796875,-43547.1796875,-97594.8984375
0.256,-44732.09375,-90015.609375,-96747.046875,1630.544677734375,-92151.546875,-45616.98828125,-44924,-97441.3125
0.26,-46528.67578125,-90052.0859375,-97070.8984375,1061.2728271484375,-92065.7734375,-46788.9296875,-46455.125,-97422.9140625
0.264,-45837.66796875,-90461.25,-97164.8359375,1277.923583984375,-92624.984375,-46264.6484375,-45308.8984375,-97622.7109375
0.268,-44025.0859375,-90531.9140625,-96886.859375,1868.629638671875,-92862.375,-45056.01171875,-43607.9296875,-97617.7109375
0.272,-44435.05078125,-90096.125,-96733.859375,1729.583740234375,-92307.5,-45407.3671875,-44560.89453125,-97450.2734375
0.276,-46325.14453125,-89981.7265625,-97001.1640625,1114.964599609375,-92020.0234375,-46667.0546875,-46373.4375,-97400.7890625
0.28,-46131.375,-90411.7734375,-97191.3515625,1179.0277099609375,-92570.8359375,-46468.23828125,-45640.73828125,-97603.734375
0.284,-44255.6171875,-90577.75,-96950.921875,1789.5462646484375,-92930.484375,-45198.9921875,-43759.375,-97627.046875
0.288,-44185.83203125,-90180.859375,-96733.046875,1806.163818359375,-92464.7890625,-45226.8359375,-44230.15625,-97463.9765625
0.292,-46064.33203125,-89936.8359375,-96935.0234375,1184.8450927734375,-92011.2265625,-46501.35546875,-46201.83203125,-97390.5390625
0.296,-46381.38671875,-90363.4375,-97207.2265625,1097.4407958984375,-92525.359375,-46639.375,-45924.6875,-97575.1875
0.3,-44543.67578125,-90600.5,-97010.8125,1684.951904296875,-92963.3984375,-45386.91796875,-43987.25,-97642.375
0.304,-43992.05078125,-90264.5390625,-96740.421875,1861.8583984375,-92610.1484375,-45087.26953125,-43949.41796875,-97487.3125
0.308,-45740.9375,-89914.3984375,-96868.6640625,1274.180419921875,-92034.9375,-46298.08203125,-45956.0625,-97388.7265625
0.312,-46564.30078125,-90313.4375,-97211,1035.165771484375,-92478.8515625,-46767.95703125,-46167.73828125,-97543.296875
0.316,-44874.45703125,-90601.234375,-97069.484375,1571.4169921875,-92970.0625,-45602.11328125,-44283.61328125,-97645.0390625
0.32,-43871.3359375,-90346.0390625,-96759.296875,1889.9205322265625,-92743.9140625,-44989.13671875,-43738.73046875,-97519.859375
0.324,-45402.69921875,-89928.5625,-96813.546875,1374.7216796875,-92103.7265625,-46071.69921875,-45649.69921875,-97410.2109375
0.328,-46657.0859375,-90247.3515625,-97189.359375,1000.3328857421875,-92424.421875,-46835.3984375,-46328.40625,-97485.1875
0.332,-45213.03125,-90580.8359375,-97110.8515625,1453.6859130859375,-92946.859375,-45818.66796875,-44603.3046875,-97632.9140625
0.336,-43840.36328125,-90425.375,-96790.2734375,1891.613037109375,-92867.2890625,-44951.32421875,-43601.2734375,-97559.3125
0.34,-45065.98046875,-89981.796875,-96775.0625,1480.484130859375,-92222.6484375,-45837.95703125,-45276.29296875,-97420.296875
0.344,-46640.6875,-90166.9140625,-97137.7890625,995.11163330078125,-92345.9375,-46835.57421875,-46414.92578125,-97443.5859375
0.348,-45552.5625,-90547.046875,-97145.3984375,1337.5045166015625,-92896.5859375,-46054.01171875,-44954.375,-97622.25
0.352,-43903.09375,-90507.5625,-96837.125,1868.867919921875,-92980.4375,-44981.3125,-43549.8984375,-97591.4765625
0.356,-44747.07421875,-90054.9375,-96751.7265625,1584.1484375,-92369.421875,-45620.94921875,-44902.13671875,-97428.6875
0.36,-46529.53125,-90084.984375,-97072.7109375,1014.4949951171875,-92275.7265625,-46781.78125,-46425.20703125,-97411.75
0.364,-45865.82421875,-90491.9765625,-97168.9609375,1227.7366943359375,-92828.5625,-46271.28125,-45298.01171875,-97607.3125
0.368,-44066.5,-90572.2265625,-96896.8515625,1809.978515625,-93073.2109375,-45073.80078125,-43603.375,-97612.9609375
0.372,-44458.73046875,-90136.671875,-96738.5859375,1674.318359375,-92521.5390625,-45407.73046875,-44537.23828125,-97439.4140625
0.376,-46331.4296875,-90017.75,-97002.5234375,1062.4886474609375,-92225,-46653.11328125,-46341.15625,-97396.859375
0.38,-46155.3125,-90448.734375,-97189.359375,1125.8841552734375,-92769.796875,-46467.8046875,-45626.5,-97595.4609375
0.384,-44296.3359375,-90616.8359375,-96953.6640625,1729.6552734375,-93129.8125,-45211.1484375,-43754.39453125,-97627.2890625
0.388,-44211.41796875,-90224.609375,-96733.859375,1748.943359375,-92669.796875,-45230.34375,-44211.625,-97460.4765625
0.392,-46068.4296875,-89972.3359375,-96928.0859375,1136.851318359375,-92204.6875,-46488.57421875,-46172.07421875,-97381.859375
0.396,-46399.23828125,-90401.4765625,-97202.5234375,1045.8470458984375,-92715.546875,-46637.61328125,-45909.05078125,-97572.4140625
0.4,-44581.75,-90637.921875,-97009.9765625,1632.73828125,-93152.0390625,-45390.34375,-43976.0234375,-97633.5390625
0.404,-44019.63671875,-90309.0390625,-96738.5625,1810.669921875,-92804.5,-45085.86328125,-43923.86328125,-97479.7890625
0.408,-45751.0234375,-89956.1484375,-96861.5390625,1226.3538818359375,-92224.171875,-46281.21875,-45917.01953125,-97386.109375
0.412,-46581.80078125,-90352.796875,-97205.234375,985.193359375,-92661.125,-46760.9921875,-46137.55078125,-97542.125
0.416,-44910,-90642.734375,-97064.0625,1520.7529296875,-93150.1484375,-45603.42578125,-44264.4609375,-97630.7265625
0.42,-43899.4921875,-90391.7734375,-96758.7890625,1839.2564697265625,-92930.375,-44984.98828125,-43708.8046875,-97516.75
0.424,-45409.80078125,-89971.1015625,-96807.9375,1330.4234619140625,-92283.5390625,-46054.75,-45609.95703125,-97403.296875
0.428,-46669.01171875,-90286.2109375,-97181.375,956.96453857421875,-92593.0859375,-46824.79296875,-46305.3984375,-97483.609375
0.432,-45243.19921875,-90622.734375,-97109.8515625,1406.4075927734375,-93117.0390625,-45823.36328125,-44589.33203125,-97621.5234375
0.436,-43856.9296875,-90468,-96789.796875,1850.8675537109375,-93039.5234375,-44945.21875,-43578.6484375,-97554.046875
0.44,-45066.2421875,-90024.375,-96773.671875,1444.7213134765625,-92396.2265625,-45823.51171875,-45247.51171875,-97415.9609375
0.444,-46648.53125,-90202.2265625,-97133.2890625,954.34197998046875,-92507.25,-46824.51171875,-46399.76953125,-97440.3125
0.448,-45570.7109375,-90584.1015625,-97147.8515625,1293.25390625,-93056.75,-46046.1171875,-44939.66796875,-97606.8125
