Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13
2391631.7540249,-14390.3984375,-50460.32421875,-6466.2216796875,-12171.484375,61065.82421875,64985.78125,199999.96875,-14.771761894226074,218.2049560546875,817309.5,123833.9609375,88052.5234375,457.23919677734375
2391631.7559405,-11897.5185546875,-49257.6875,-2769.01708984375,-11227.9423828125,65331.98828125,70662.1484375,199999.96875,291.92059326171875,85217.625,818375.6875,123995.5,123995.5,451.1595153808594
2391631.7584287,-8631.6591796875,-48997.55078125,1567.8170166015625,-10805.4658203125,71947.1015625,79770.2109375,199999.96875,599.6609497070312,359593.25,824904.0,124984.6484375,123995.5,449.46673583984375
2391631.7591684,-10725.951171875,-50148.7734375,-1563.8353271484375,-11696.7451171875,68450.6015625,75163.75,199999.96875,901.62744140625,812932.0,840533.0,127352.671875,123995.5,452.852294921875
2391631.769983,-14328.8388671875,-50609.59375,-6407.38037109375,-12276.2939453125,61315.54296875,65378.5234375,199999.96875,1191.0670166015625,1418640.625,868373.0,131570.84375,123995.5,457.1914978027344
2391631.7710523,-12555.7919921875,-49461.73046875,-3721.95263671875,-11409.474609375,64119.8671875,69049.5,199999.96875,1461.461669921875,2135870.0,910706.875,137985.078125,123995.5,453.4483337402344
2391631.7715824,-8777.546875,-48824.60546875,1379.7047119140625,-10687.3046875,71490.484375,79128.2265625,199999.96875,1706.691162109375,2912794.75,968751.8125,146779.75,123995.5,450.6588439941406
2391631.7722179,-10104.490234375,-49909.40625,-680.27978515625,-11491.1796875,69561.609375,76684.1015625,199999.96875,1921.1826171875,3690942.75,1042508.6875,157955.046875,123995.5,452.1131896972656
2391631.7850838,-14062.357421875,-50717.26171875,-6072.0927734375,-12339.4033203125,61965.92578125,66335.75,199999.96875,2100.047607421875,4410200.0,1130712.625,171319.296875,123995.5,458.3836364746094
2391631.7856336,-13075.0908203125,-49648.07421875,-4512.6435546875,-11558.271484375,63172.5546875,67761.6015625,199999.96875,2239.19921875,5014013.5,1230893.375,186498.203125,123995.5,453.9252014160156
2391631.786707,-9167.7685546875,-48765.92578125,887.39404296875,-10684.7783203125,70627.5390625,77897.796875,199999.96875,2335.449951171875,5454326.5,1339543.625,202960.34375,220057.453125,448.7991638183594
2391631.7873789,-9614.3017578125,-49731.94921875,60.34374237060547,-11362.625,70462.5234375,77874.546875,199999.96875,2386.584716796875,5695786.5,1452384.375,220057.453125,220057.453125,448.2984924316406
2391631.800532,-13535.1669921875,-50721.8125,-5388.88037109375,-12301.2314453125,63062.19921875,67819.2890625,199999.96875,2391.41015625,5718842.5,1564703.375,237075.46875,220057.453125,456.52392578125
2391631.8012421,-13515.068359375,-49821.09375,-5185.50927734375,-11683.7265625,62381.58203125,66664.8515625,199999.96875,2349.77734375,5521453.5,1671742.625,253293.546875,220057.453125,456.11859130859375
2391631.8018713,-9723.7109375,-48774.67578125,158.3099365234375,-10724.6875,69473.1640625,76292.546875,199999.96875,2262.578125,5119260.0,1769097.75,268044.34375,220057.453125,449.1568298339844
2391631.8024862,-9196.734375,-49536.04296875,683.61767578125,-11194.1826171875,71194.3515625,78856.375,199999.96875,2131.71435546875,4544206.5,1853095.0,280771.15625,220057.453125,448.8706970214844
2391631.8134179,-12886.5732421875,-50636.60546875,-4539.7763671875,-12177.1357421875,64342.79296875,69594.75,199999.96875,1960.0458984375,3841780.0,1921110.75,291076.59375,220057.453125,456.88153076171875
2391631.8148027,-13890.958984375,-49992.0625,-5764.4130859375,-11801.7216796875,61721.73828125,65810.8515625,199999.96875,1751.3128662109375,3067096.75,1971802.375,298757.15625,220057.453125,457.2630310058594
2391631.8160294,-10382.771484375,-48842.3359375,-732.9464721679688,-10817.4345703125,68146.796875,74494.4609375,199999.96875,1510.0364990234375,2280210.0,2005225.75,303821.25,220057.453125,451.9939880371094
2391631.8173314,-8866.90625,-49338.125,1167.5120849609375,-11047.0546875,71736.0,79578.9609375,199999.96875,1241.40625,1541089.625,2022830.625,306488.6875,220057.453125,450.77801513671875
2391631.8286649,-12147.546875,-50495.58203125,-3554.84521484375,-12026.1689453125,65762.375,71525.1015625,199999.96875,951.14892578125,904684.3125,2027326.75,307169.90625,306429.15625,454.306640625
2391631.8302175,-14166.474609375,-50181.73046875,-6178.0693359375,-11947.966796875,61299.94921875,65239.38671875,199999.96875,645.3869018554688,416524.25,2022437.75,306429.15625,306429.15625,455.9278869628906
2391631.830666,-11117.3173828125,-49007.23046875,-1718.521240234375,-10988.451171875,66756.9375,72571.2890625,199999.96875,330.4913635253906,109224.5390625,2012557.625,304932.15625,306429.15625,451.3502502441406
2391631.8311585,-8626.1279296875,-49130.96875,1526.0458984375,-10882.4501953125,72076.9765625,79963.6875,199999.96875,12.930882453918457,167.2077178955078,2002346.625,303385.09375,306429.15625,448.9898986816406
2391631.8444378,-11385.3701171875,-50302.4375,-2513.265625,-11829.638671875,67192.7734375,73437.0859375,199999.96875,-300.87884521484375,90528.0859375,1996301.0,302469.0,306429.15625,453.7344665527344
2391631.8454512,-14330.912109375,-50389.69921875,-6412.5068359375,-12101.0078125,61138.0859375,65054.8984375,199999.96875,-604.7210693359375,365687.59375,1998339.0,302777.84375,306429.15625,457.3583984375
2391631.8469211,-11824.513671875,-49183.65625,-2707.41015625,-11147.7861328125,65429.86328125,70775.625,199999.96875,-892.7158203125,796941.5,2011440.0,304762.84375,306429.15625,451.5171813964844
2391631.8477448,-8566.1669921875,-48918.20703125,1619.1005859375,-10719.2060546875,72024.2890625,79864.0859375,199999.96875,-1159.4468994140625,1344317.0,2037373.0,308692.09375,306429.15625,448.274658203125
2391631.8748224,-10678.6015625,-50081.0625,-1536.631591796875,-11618.9013671875,68501.6875,75226.9140625,199999.96875,-1400.0732421875,1960205.0,2076542.75,314626.90625,342031.84375,453.1622619628906
2391631.8752018,-14276.2919921875,-50537.7109375,-6368.13671875,-12199.951171875,61371.07421875,65444.44921875,199999.96875,-1610.425537109375,2593470.75,2127962.75,322417.75,342031.84375,457.835205078125
2391631.8760973,-12491.4658203125,-49394.61328125,-3663.9453125,-11338.7841796875,64205.9609375,69137.0859375,199999.96875,-1787.08203125,3193662.0,2189361.5,331720.65625,342031.84375,454.7596740722656
2391631.8766606,-8707.1904296875,-48762.0625,1447.677734375,-10625.171875,71597.671875,79220.484375,199999.96875,-1927.4273681640625,3714976.0,2257415.25,342031.84375,342031.84375,447.8216857910156
2391631.8897141,-10046.5546875,-49857.64453125,-627.970703125,-11441.255859375,69648.4140625,76743.0859375,199999.96875,-2029.6871337890625,4119629.5,2328069.25,352736.9375,342031.84375,450.5873107910156
2391631.8905528,-14009.2626953125,-50661.85546875,-6018.63916015625,-12284.0654296875,62038.5234375,66366.2109375,199999.96875,-2092.94287109375,4380410.5,2396937.5,363171.5,342031.84375,457.71600341796875
2391631.8910323,-13002.373046875,-49585.70703125,-4436.01708984375,-11493.779296875,63282.76171875,67850.546875,199999.96875,-2117.12646484375,4482224.0,2459721.5,372684.25,342031.84375,456.7623596191406
2391631.8916017,-9092.2373046875,-48698.6875,958.6574096679688,-10611.6064453125,70731.7890625,77985.7265625,199999.96875,-2102.994140625,4422584.0,2512618.75,380699.0,342031.84375,449.0614318847656
2391631.905274,-9563.3984375,-49670.4609375,104.95186614990234,-11290.7421875,70528.671875,77928.5625,199999.96875,-2052.080810546875,4211035.0,2552675.5,386768.1875,342031.84375,454.6881408691406
2391631.9060429,-13486.2685546875,-50647.7109375,-5353.83203125,-12225.6767578125,63109.78125,67862.734375,199999.96875,-1966.6383056640625,3867666.0,2578053.5,390613.40625,342031.84375,457.64447021484375
2391631.9064803,-13443.5439453125,-49742.03125,-5125.64208984375,-11604.833984375,62466.9375,66771.296875,199999.96875,-1849.5579833984375,3420864.75,2588180.75,392147.84375,342031.84375,455.4510803222656
2391631.9071065,-9653.3544921875,-48701.1484375,217.41390991210938,-10657.8359375,69561.796875,76399.25,199999.96875,-1704.281982421875,2904577.25,2583775.25,391480.34375,342031.84375,449.32366943359375
2391631.9178003,-9148.8125,-49475.29296875,718.0213623046875,-11140.4189453125,71250.5859375,78919.5859375,199999.96875,-1534.7037353515625,2355315.5,2566741.5,388899.4375,342031.84375,450.3250427246094
2391631.9216463,-12834.1923828125,-50572.83203125,-4501.65234375,-12125.6611328125,64397.5546875,69644.6875,199999.96875,-1345.0618896484375,1809191.625,2539950.0,384840.09375,384840.09375,455.1888122558594
2391631.9224944,-13816.046875,-49925.16796875,-5692.29150390625,-11746.0498046875,61820.89453125,65898.9375,199999.96875,-1139.829833984375,1299212.0,2506924.0,379836.15625,384840.09375,458.5743713378906
2391631.9231123,-10314.8232421875,-48786.0234375,-664.591796875,-10772.7548828125,68249.6875,74580.984375,199999.96875,-923.60546875,853047.0,2471463.5,374463.40625,384840.09375,451.9224548339844
2391631.936215,-8814.0498046875,-49290.78125,1216.364013671875,-11003.662109375,71806.6484375,79620.625,199999.96875,-701.0011596679688,491402.65625,2437251.5,369279.6875,384840.09375,449.657470703125
