Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13
2392773.0844658,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46703.91796875,32207.328125,1037312000.0,559749824.0,84810584.0,60404480.0,50304.34375
2392773.084979,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,45479.73046875,28510.52734375,812850176.0,572622016.0,86760920.0,60404480.0,49633.08203125
2392773.0856281,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,43829.54296875,24294.76171875,590235456.0,580715008.0,87987120.0,60404480.0,49967.69921875
2392773.0862444,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,44910.69921875,19648.66796875,386070176.0,584572288.0,88571560.0,60404480.0,50676.11328125
2392773.0988814,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46719.98828125,14669.068359375,215181568.0,585066176.0,88646384.0,88646384.0,50493.36328125
2392773.1000808,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,45834.23828125,9458.6591796875,89466224.0,583317504.0,88381440.0,88646384.0,49719.45703125
2392773.1004598,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,43898.8671875,4123.57275390625,17003852.0,580594048.0,87968808.0,88646384.0,49771.0
2392773.1011739,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,44668.53125,-1229.0748291015625,1510624.75,578193088.0,87605016.0,88646384.0,50616.4609375
2392773.1438538,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46599.9609375,-6493.62353515625,42167148.0,577323840.0,87473320.0,88646384.0,50641.70703125
2392773.1504,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46096.0625,-11568.21875,133823680.0,578997568.0,87726896.0,88646384.0,49771.48046875
2392773.1510588,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,44132.26171875,-16357.0205078125,267552096.0,583936192.0,88475184.0,96678144.0,49651.53125
2392773.1515083,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,44460.61328125,-20772.208984375,431484672.0,592509312.0,89774144.0,96678144.0,50555.54296875
2392773.1517987,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46369.3125,-24735.755859375,611857600.0,604704768.0,91621936.0,96678144.0,50732.26171875
2392773.1520818,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46343.3984375,-28180.927734375,794164608.0,620134272.0,93959744.0,96678144.0,49850.65625
2392773.152506,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,44443.0625,-31053.478515625,964318528.0,638075712.0,96678144.0,96678144.0,49572.9921875
2392773.1527985,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,44273.48046875,-33312.48828125,1109721856.0,657545600.0,99628136.0,96678144.0,50463.25
2392773.1531648,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46080.09375,-34930.90625,1220168320.0,677396480.0,102635824.0,96678144.0,50787.6875
2392773.1549699,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,-200000.0,46547.25,-35895.7421875,1288504320.0,696427392.0,105519296.0,96678144.0,49955.13671875
