Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,40841.08203125,22035.337890625,9157.3017578125,12008.0732421875,32489.96875,43943,57119.63671875,465.059326171875
0.004,40587.7109375,21817.208984375,9338.904296875,12236.1669921875,32578.208984375,43666.17578125,57070.35546875,462.91351318359375
0.008,40301.8984375,21594.287109375,9713.865234375,12575.2470703125,32774.28125,43158.30078125,57187.96875,465.5361328125
0.012,40459.44921875,21767.119140625,9582.568359375,12402.1064453125,32695.9375,43349.4609375,57213.4296875,466.06069946289062
0.016,40781.36328125,22000.71875,9189.4638671875,12032.6767578125,32496.599609375,43867.6171875,57112.01171875,463.00894165039062
0.02,40690.64453125,21896.88671875,9241.8203125,12119.890625,32521.130859375,43810.13671875,57057.5,462.698974609375
0.024,40314.0546875,21598.578125,9696.984375,12548.4716796875,32766.15234375,43186.79296875,57175.6875,465.10702514648438
0.028,40372.0859375,21702.818359375,9665.037109375,12477.0654296875,32738.1875,43236.35546875,57216.08203125,467.34814453125
0.032,40731.07421875,21972.681640625,9225.583984375,12056.232421875,32511.546875,43794.32421875,57119.20703125,465.48846435546875
0.036,40789.41796875,21969.890625,9144.521484375,12024.951171875,32475.521484375,43933.94921875,57052.76171875,465.34539794921875
0.04,40330.21875,21603.228515625,9657.5517578125,12522.888671875,32752.609375,43222.09375,57153.0625,464.43939208984375
0.044,40299.5625,21641.99609375,9715.8671875,12537.8154296875,32757.525390625,43144.0859375,57209.0625,464.39175415039062
0.048,40689.6875,21939.806640625,9266.638671875,12088.3955078125,32525.568359375,43722.9375,57128,465.48846435546875
0.052,40860.8671875,22024.490234375,9103.7294921875,11972.09375,32449.775390625,44008.26171875,57072.0234375,465.55999755859375
0.056,40348.84375,21613.552734375,9622.193359375,12488.5810546875,32728.724609375,43263.60546875,57132.125,463.67645263671875
0.06,40267.5625,21601.822265625,9753.013671875,12578.25,32773.94921875,43094.9921875,57202.73046875,465.65536499023438
0.064,40660.71875,21909.21484375,9326.4111328125,12138.271484375,32556.91796875,43651.89453125,57154.04296875,468.8740234375
0.068,40880.44921875,22037.412109375,9099.1279296875,11957.7421875,32453.708984375,44005.92578125,57085.3046875,466.03680419921875
0.072,40389.65625,21651.462890625,9549.6904296875,12425.7578125,32690.505859375,43351.70703125,57105.85546875,464.34408569335938
0.076,40254.40625,21580.412109375,9745.5283203125,12584.8076171875,32775.07421875,43081.38671875,57195.48046875,465.464599609375
0.08,40606.07421875,21864.296875,9392.0966796875,12206.435546875,32601.740234375,43552.6171875,57180.71875,466.513671875
0.084,40279.70703125,21555.734375,9699.630859375,12575.6044921875,32747.462890625,43108.6796875,57170.92578125,465.08316040039062
0.088,40434.88671875,21721.83984375,9560.013671875,12388.46875,32660.796875,43293.98046875,57190.4921875,465.55999755859375
0.092,40769.2421875,21964.16796875,9175.7783203125,12029.099609375,32470.087890625,43823.625,57098.20703125,465.48846435546875
0.096,40672.46875,21855.80859375,9220.3388671875,12119.2001953125,32495.859375,43757.9921875,57040.6484375,465.750732421875
0.1,40299.82421875,21557.30859375,9676.21875,12542.1298828125,32739.572265625,43139.69921875,57156.1875,461.864501953125
0.104,40351.73046875,21655.587890625,9636.2373046875,12455.0126953125,32702.328125,43186.14453125,57189.875,464.32022094726562
0.108,40722.92578125,21936.96484375,9216.833984375,12048.388671875,32490.494140625,43758.4921875,57105.78125,465.25009155273438
0.112,40771.30078125,21929.384765625,9135.748046875,12014.2001953125,32453.494140625,43881.20703125,57037.26171875,463.36654663085938
0.116,40315.9609375,21563.603515625,9645.224609375,12508.2265625,32726.291015625,43171.71875,57137.65625,465.20233154296875
0.12,40285.44921875,21603.443359375,9703.2080078125,12521.2451171875,32736.115234375,43100.95703125,57186.8671875,465.91763305664062
0.124,40686.46875,21907.49609375,9256.5546875,12077.1669921875,32510.59375,43686.9375,57115.3671875,466.156005859375
0.128,40847.3046875,21988.083984375,9090.734375,11960.3408203125,32434.15625,43965.19921875,57050.0859375,465.36929321289062
0.132,40324.48046875,21573.259765625,9599.28125,12469.6982421875,32699.82421875,43216.5625,57105.83203125,464.01025390625
0.136,40250.83203125,21570.63671875,9728.669921875,12558.6533203125,32752.921875,43057.0625,57182.91796875,466.01303100585938
0.14,40645.86328125,21878.150390625,9304.0703125,12123.990234375,32533.291015625,43617.5859375,57135.84375,464.96395874023438
0.144,40858.41796875,22002.984375,9083.5341796875,11948.6591796875,32430.462890625,43969.96875,57064.7734375,465.44082641601562
0.148,40372.04296875,21618.677734375,9533.40625,12420.0595703125,32666.421875,43313.0546875,57089.5,463.48574829101562
0.152,40246.8671875,21552.208984375,9737.015625,12579.3955078125,32753.375,43055.0859375,57179.21875,463.58114624023438
0.156,40593.01171875,21835.853515625,9386.0625,12200.5,32576.302734375,43523.8359375,57162.76953125,464.58245849609375
0.16,40845.01953125,21995.546875,9103.3955078125,11963.1064453125,32440.94921875,43932.20703125,57078.60546875,465.84609985351562
0.164,40448.38671875,21675.77734375,9437.7763671875,12333.513671875,32607.916015625,43437.41796875,57065.65625,464.03411865234375
0.168,40260.7421875,21543.650390625,9728.646484375,12582.5654296875,32752.77734375,43068.53125,57180.2421875,467.01434326171875
0.172,40524.58203125,21774.69921875,9474.849609375,12287.4033203125,32623.03125,43408.30078125,57184.01171875,464.60635375976562
0.176,40805.58203125,21971.181640625,9140.015625,12000.203125,32451.990234375,43871.14453125,57089.1171875,464.89242553710938
0.18,40556.6484375,21751.431640625,9333.6591796875,12232.828125,32549.552734375,43586.4921875,57047.73046875,463.27117919921875
0.184,40277.01171875,21536.400390625,9707.404296875,12567.544921875,32748.416015625,43091.15625,57170.5859375,464.12948608398438
0.188,40434.40625,21706.990234375,9567.546875,12392.8330078125,32667.115234375,43284.7734375,57194.09375,464.12948608398438
0.192,40755.13671875,21940.68359375,9178.0908203125,12029.052734375,32464.74609375,43801.38671875,57095.8671875,464.630126953125
0.196,40666.30078125,21831.91796875,9228.1123046875,12125.015625,32497.52734375,43737.51171875,57038.3359375,464.32022094726562
0.2,40298.48828125,21539.90234375,9687.9501953125,12552.046875,32741.16796875,43125.5625,57158.14453125,466.03680419921875
0.204,40357.66796875,21646.072265625,9653.3310546875,12476.779296875,32708.005859375,43178.5859375,57196.48046875,466.9189453125
0.208,40716.625,21913.197265625,9221.3876953125,12061.740234375,32481.697265625,43734.21875,57099.5625,464.98779296875
0.212,40775.5859375,21909.046875,9144.8076171875,12043.0966796875,32451.728515625,43866.01953125,57038.79296875,465.17855834960938
0.216,40317.25,21545.556640625,9658.4814453125,12544.203125,32729.224609375,43159.70703125,57138.3046875,465.5361328125
0.22,40290.48046875,21590.212890625,9710.5751953125,12561.083984375,32734.921875,43087.34375,57189.42578125,464.773193359375
0.224,40678.55078125,21885.15625,9256.435546875,12114.716796875,32497.337890625,43664.48828125,57109.57421875,465.464599609375
0.228,40843.39453125,21969.322265625,9092.2373046875,11998.0595703125,32423.474609375,43947.58203125,57048.63671875,464.1533203125
0.232,40328.8125,21563.83984375,9607.1015625,12518.1923828125,32700.708984375,43205.36328125,57112.48828125,465.464599609375
0.236,40242.98828125,21552.208984375,9729.2919921875,12603.927734375,32738.068359375,43035.84375,57175.44921875,464.916259765625
0.24,40641.45703125,21860.603515625,9301.4013671875,12161.4716796875,32521.55859375,43596.625,57127.0234375,464.60635375976562
0.244,40854.625,21987.4375,9081.125,11985.46875,32411.71875,43951.39453125,57050.6875,464.32022094726562
0.248,40374.0625,21603.228515625,9531.044921875,12456.0126953125,32650.08984375,43295.625,57076.98828125,465.27386474609375
0.252,40239.625,21529.29296875,9721.875,12610.7236328125,32731.34375,43031.125,57157.46875,463.938720703125
0.256,40592.10546875,21814.541015625,9366.65625,12228.966796875,32557.728515625,43506.2421875,57138.9921875,463.74798583984375
0.26,40839.84375,21976.474609375,9085.25,11988.498046875,32421.828125,43917.42578125,57053.3984375,463.08047485351562
0.264,40453.03125,21663.35546875,9424.3544921875,12357.4267578125,32596.759765625,43424.04296875,57043.67578125,464.79705810546875
0.268,40248.23046875,21518.46875,9695.3876953125,12589.646484375,32731.05859375,43046.8359375,57146.0546875,464.43939208984375
0.272,40521.40625,21757.53125,9443.1875,12303.7578125,32605.056640625,43393.01953125,57156.33203125,466.41830444335938
0.276,40804.89453125,21955.708984375,9112.3828125,12011.4814453125,32434.490234375,43862.5625,57065.82421875,465.48846435546875
0.28,40552.78125,21740.271484375,9307.7421875,12245.154296875,32535.38671875,43582.54296875,57027.0546875,465.94149780273438
0.284,40265.2734375,21514.396484375,9675.1220703125,12573.123046875,32724.8125,43075.13671875,57134.82421875,465.36929321289062
0.288,40438.10546875,21695.328125,9546.7578125,12403.130859375,32654.8125,43274.64453125,57170.41796875,467.276611328125
0.292,40766.55078125,21930.291015625,9158.5654296875,12047.625,32461.12109375,43797.46875,57073.38671875,463.48574829101562
0.296,40661.86328125,21814.87109375,9202.5048828125,12134.2919921875,32484.822265625,43724.83203125,57012.34375,465.36929321289062
0.3,40293.2421875,21520.1875,9667.4453125,12566.615234375,32728.625,43109.32421875,57130.19921875,463.48574829101562
0.304,40358.875,21628.76171875,9637.6904296875,12493.3017578125,32701.328125,43169.59375,57177.2109375,467.37197875976562
