Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-14257.146484375,-50985.51171875,-6231.5224609375,-12575.53125,61741.98046875,66135.6484375,199999.96875,459.74258422851562
0.004,-13304.2109375,-49913.19921875,-4730.10546875,-11796.140625,62867.71875,67465.234375,199999.96875,454.783447265625
0.008,-9405.1142578125,-49018.26953125,663.01824951171875,-10912.490234375,70294.6484375,77566.7265625,199999.96875,448.29849243164062
0.012,-9818.935546875,-49979.09375,-110.17324066162109,-11586.5966796875,70196.5390625,77649.3359375,199999.96875,452.37542724609375
0.016,-13737.3232421875,-50977.94921875,-5557.32275390625,-12536.4326171875,62818.29296875,67631.109375,199999.96875,457.73989868164062
0.02,-13748.0986328125,-50084.5234375,-5407.38134765625,-11928.7265625,62068.7734375,66377.9765625,199999.96875,457.33456420898438
0.024,-9976.5546875,-49040.80078125,-82.182899475097656,-10984.0888671875,69125.2734375,75946.2734375,199999.96875,448.51309204101562
0.028,-9404.6611328125,-49794.17578125,509.95355224609375,-11452.5576171875,70936.375,78624.3984375,199999.96875,449.46673583984375
0.032,-13077.6904296875,-50901.20703125,-4692.91259765625,-12438.8466796875,64124.54296875,69411.75,199999.96875,457.23919677734375
0.036,-14114.833984375,-50264.71875,-5968.16650390625,-12069.630859375,61440.875,65528.13671875,199999.96875,456.11859130859375
0.04,-10641.3125,-49122.76953125,-972.84326171875,-11092.6640625,67807.0390625,74134.296875,199999.96875,449.32366943359375
0.044,-9075.1171875,-49596.79296875,996.75665283203125,-11305.7626953125,71475.6640625,79333.8359375,199999.96875,448.679931640625
0.048,-12335.9921875,-50754.98046875,-3702.927001953125,-12281.060546875,65542.2265625,71354.7734375,199999.96875,458.59814453125
0.052,-14396.2158203125,-50453.86328125,-6390.0234375,-12212.896484375,60998.46875,64965.25,199999.96875,457.072265625
0.056,-11374.640625,-49276.48046875,-1969.5045166015625,-11258.5078125,66400.671875,72223.8359375,199999.96875,452.80459594726562
0.06,-8836.2705078125,-49372.3671875,1337.2662353515625,-11136.03125,71788.3515625,79714.1875,199999.96875,449.72900390625
0.064,-11573.482421875,-50551.91796875,-2664.733154296875,-12085.0810546875,66966.984375,73271.421875,199999.96875,453.92520141601562
0.068,-14541.1015625,-50655.89453125,-6602.859375,-12369.5625,60864.66796875,64812.3984375,199999.96875,459.71875
0.072,-12073.779296875,-49457.58203125,-2944.875,-11424.3984375,65084.82421875,70431.3359375,199999.96875,453.16226196289062
0.076,-8792.4501953125,-49179.625,1421.5709228515625,-10985.685546875,71720.6640625,79564.5390625,199999.96875,451.040283203125
0.08,-10860.1591796875,-50334.125,-1667.451904296875,-11877.037109375,68286.6484375,75036.5,199999.96875,454.59271240234375
0.084,-8731.388671875,-49107.10546875,1471.9488525390625,-10920.453125,71789,79641.984375,199999.96875,446.39111328125
0.088,-10821.9404296875,-50272.92578125,-1640.0816650390625,-11821.0078125,68332.8125,75079.6875,199999.96875,453.71060180664062
0.092,-12667.1328125,-49601.70703125,-3825.283203125,-11546.9951171875,63966.70703125,68896.0234375,199999.96875,455.64178466796875
0.096,-8878.6611328125,-48955.9921875,1290.0355224609375,-10817.8388671875,71343.2890625,78971.3515625,199999.96875,447.440185546875
0.1,-10211.46875,-50052.2421875,-758.62420654296875,-11635.8779296875,69436.6015625,76543.875,199999.96875,454.306640625
0.104,-14159.7294921875,-50858.7109375,-6144.71484375,-12471.701171875,61860.94921875,66211.609375,199999.96875,458.78890991210938
0.108,-13180.185546875,-49780.80078125,-4610.4912109375,-11673.498046875,63021.92578125,67600.796875,199999.96875,453.63906860351562
0.112,-9271.4794921875,-48884.6796875,786.09002685546875,-10779.2158203125,70458.0625,77729.375,199999.96875,449.27603149414062
