Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-200000,-200000,-200000,-200000,-200000,-200000,45893.8125,50059.4609375
0.004,-200000,-200000,-200000,-200000,-200000,-200000,44185.33203125,49614.19921875
0.008,-200000,-200000,-200000,-200000,-200000,-200000,43387.25,50370.5546875
0.012,-200000,-200000,-200000,-200000,-200000,-200000,44959.8359375,50832.3671875
0.016,-200000,-200000,-200000,-200000,-200000,-200000,46054.67578125,50198.6796875
0.02,-200000,-200000,-200000,-200000,-200000,-200000,44584.92578125,49630.76953125
0.024,-200000,-200000,-200000,-200000,-200000,-200000,43272.1171875,50171.07421875
0.028,-200000,-200000,-200000,-200000,-200000,-200000,44623.09375,50791.3125
0.032,-200000,-200000,-200000,-200000,-200000,-200000,46142.19921875,50373.25
0.036,-200000,-200000,-200000,-200000,-200000,-200000,44970.92578125,49690.98828125
0.04,-200000,-200000,-200000,-200000,-200000,-200000,43261.41796875,49980.88671875
0.044,-200000,-200000,-200000,-200000,-200000,-200000,44293.09375,50706.1484375
0.048,-200000,-200000,-200000,-200000,-200000,-200000,46145.3671875,50567.125
0.052,-200000,-200000,-200000,-200000,-200000,-200000,45312.19921875,49769.90625
0.056,-200000,-200000,-200000,-200000,-200000,-200000,43352.73046875,49791.60546875
0.06,-200000,-200000,-200000,-200000,-200000,-200000,44065.71875,50654.3671875
0.064,-200000,-200000,-200000,-200000,-200000,-200000,45994.98046875,50692.15625
0.068,-200000,-200000,-200000,-200000,-200000,-200000,45565.23046875,49824.625
0.072,-200000,-200000,-200000,-200000,-200000,-200000,43602.6796875,49681.36328125
0.076,-200000,-200000,-200000,-200000,-200000,-200000,43861.32421875,50584.2734375
0.08,-200000,-200000,-200000,-200000,-200000,-200000,45760.4921875,50780.5625
0.084,-200000,-200000,-200000,-200000,-200000,-200000,44012.76953125,50577.1171875
0.088,-200000,-200000,-200000,-200000,-200000,-200000,45911.3359375,50770.40625
0.092,-200000,-200000,-200000,-200000,-200000,-200000,45938.9921875,49891.57421875
0.096,-200000,-200000,-200000,-200000,-200000,-200000,44050.7421875,49597.125
0.1,-200000,-200000,-200000,-200000,-200000,-200000,43829.42578125,50482.32421875
0.104,-200000,-200000,-200000,-200000,-200000,-200000,45613.38671875,50814.8671875
0.108,-200000,-200000,-200000,-200000,-200000,-200000,46135.45703125,49994.78125
0.112,-200000,-200000,-200000,-200000,-200000,-200000,44426.0859375,49571.875
0.116,-200000,-200000,-200000,-200000,-200000,-200000,43680.55078125,50350.0234375
0.12,-200000,-200000,-200000,-200000,-200000,-200000,45267.65625,50803.95703125
0.124,-200000,-200000,-200000,-200000,-200000,-200000,46322.61328125,50156.48046875
0.128,-200000,-200000,-200000,-200000,-200000,-200000,44837.05078125,49605.44921875
0.132,-200000,-200000,-200000,-200000,-200000,-200000,43561.98828125,50157.69921875
0.136,-200000,-200000,-200000,-200000,-200000,-200000,44928.625,50766.0625
0.14,-200000,-200000,-200000,-200000,-200000,-200000,46418.8125,50334.05078125
0.144,-200000,-200000,-200000,-200000,-200000,-200000,45219.92578125,49659.73828125
0.148,-200000,-200000,-200000,-200000,-200000,-200000,43545.8671875,49973.04296875
0.152,-200000,-200000,-200000,-200000,-200000,-200000,44602.83203125,50684.09375
0.156,-200000,-200000,-200000,-200000,-200000,-200000,46432.57421875,50526.3125
0.16,-200000,-200000,-200000,-200000,-200000,-200000,45569.0859375,49745.94921875
0.164,-200000,-200000,-200000,-200000,-200000,-200000,43624.1171875,49776.625
0.168,-200000,-200000,-200000,-200000,-200000,-200000,44366.79296875,50628.5234375
0.172,-200000,-200000,-200000,-200000,-200000,-200000,46298.19921875,50666.9296875
0.176,-200000,-200000,-200000,-200000,-200000,-200000,45831.96875,49799.3984375
0.18,-200000,-200000,-200000,-200000,-200000,-200000,43861.20703125,49663.23828125
0.184,-200000,-200000,-200000,-200000,-200000,-200000,44159.4375,50568.13671875
0.188,-200000,-200000,-200000,-200000,-200000,-200000,46060.375,50751.95703125
0.192,-200000,-200000,-200000,-200000,-200000,-200000,46067.09375,49876.21875
0.196,-200000,-200000,-200000,-200000,-200000,-200000,44184.73828125,49588.70703125
0.2,-200000,-200000,-200000,-200000,-200000,-200000,43982.58203125,50475.7421875
0.204,-200000,-200000,-200000,-200000,-200000,-200000,45776.9921875,50806.64453125
0.208,-200000,-200000,-200000,-200000,-200000,-200000,46271.04296875,49978.57421875
0.212,-200000,-200000,-200000,-200000,-200000,-200000,44550.15625,49556.42578125
0.216,-200000,-200000,-200000,-200000,-200000,-200000,43830.92578125,50344.51953125
0.22,-200000,-200000,-200000,-200000,-200000,-200000,45422.53125,50795.53125
0.224,-200000,-200000,-200000,-200000,-200000,-200000,46456.125,50139.86328125
0.228,-200000,-200000,-200000,-200000,-200000,-200000,44963.60546875,49595.76953125
0.232,-200000,-200000,-200000,-200000,-200000,-200000,43706.9921875,50155.59375
0.236,-200000,-200000,-200000,-200000,-200000,-200000,45082.48046875,50759.8671875
0.24,-200000,-200000,-200000,-200000,-200000,-200000,46558.2421875,50318.21875
0.244,-200000,-200000,-200000,-200000,-200000,-200000,45352.125,49647.6171875
0.248,-200000,-200000,-200000,-200000,-200000,-200000,43682.67578125,49966.29296875
0.252,-200000,-200000,-200000,-200000,-200000,-200000,44748.28125,50682.88671875
0.256,-200000,-200000,-200000,-200000,-200000,-200000,46574.16796875,50510.8359375
0.26,-200000,-200000,-200000,-200000,-200000,-200000,45699.90625,49733.5
0.264,-200000,-200000,-200000,-200000,-200000,-200000,43760.92578125,49774.41796875
0.268,-200000,-200000,-200000,-200000,-200000,-200000,44508.8671875,50624.8046875
0.272,-200000,-200000,-200000,-200000,-200000,-200000,46445.4921875,50654.625
0.276,-200000,-200000,-200000,-200000,-200000,-200000,45973.01953125,49787.90625
0.28,-200000,-200000,-200000,-200000,-200000,-200000,43995.3125,49653.73046875
0.284,-200000,-200000,-200000,-200000,-200000,-200000,44314.3359375,50562.07421875
0.288,-200000,-200000,-200000,-200000,-200000,-200000,46215.89453125,50742.53125
0.292,-200000,-200000,-200000,-200000,-200000,-200000,46207.14453125,49862.98828125
0.296,-200000,-200000,-200000,-200000,-200000,-200000,44311.7421875,49578.9296875
0.3,-200000,-200000,-200000,-200000,-200000,-200000,44126.4375,50465.94921875
0.304,-200000,-200000,-200000,-200000,-200000,-200000,45927,50797.23046875
0.308,-200000,-200000,-200000,-200000,-200000,-200000,46402.625,49962.4296875
0.312,-200000,-200000,-200000,-200000,-200000,-200000,44680.7421875,49552.51953125
0.316,-200000,-200000,-200000,-200000,-200000,-200000,43971.13671875,50339.48828125
0.32,-200000,-200000,-200000,-200000,-200000,-200000,45575.1171875,50789.21875
0.324,-200000,-200000,-200000,-200000,-200000,-200000,46594.57421875,50126.0546875
0.328,-200000,-200000,-200000,-200000,-200000,-200000,45088.84375,49584.32421875
0.332,-200000,-200000,-200000,-200000,-200000,-200000,43854.3125,50154.375
0.336,-200000,-200000,-200000,-200000,-200000,-200000,45243.5546875,50754.5234375
0.34,-200000,-200000,-200000,-200000,-200000,-200000,46703.91796875,50304.34375
0.344,-200000,-200000,-200000,-200000,-200000,-200000,45479.73046875,49633.08203125
0.348,-200000,-200000,-200000,-200000,-200000,-200000,43829.54296875,49967.69921875
0.352,-200000,-200000,-200000,-200000,-200000,-200000,44910.69921875,50676.11328125
0.356,-200000,-200000,-200000,-200000,-200000,-200000,46719.98828125,50493.36328125
0.36,-200000,-200000,-200000,-200000,-200000,-200000,45834.23828125,49719.45703125
0.364,-200000,-200000,-200000,-200000,-200000,-200000,43898.8671875,49771
0.368,-200000,-200000,-200000,-200000,-200000,-200000,44668.53125,50616.4609375
0.372,-200000,-200000,-200000,-200000,-200000,-200000,46599.9609375,50641.70703125
0.376,-200000,-200000,-200000,-200000,-200000,-200000,46096.0625,49771.48046875
0.38,-200000,-200000,-200000,-200000,-200000,-200000,44132.26171875,49651.53125
0.384,-200000,-200000,-200000,-200000,-200000,-200000,44460.61328125,50555.54296875
0.388,-200000,-200000,-200000,-200000,-200000,-200000,46369.3125,50732.26171875
0.392,-200000,-200000,-200000,-200000,-200000,-200000,46343.3984375,49850.65625
0.396,-200000,-200000,-200000,-200000,-200000,-200000,44443.0625,49572.9921875
0.4,-200000,-200000,-200000,-200000,-200000,-200000,44273.48046875,50463.25
0.404,-200000,-200000,-200000,-200000,-200000,-200000,46080.09375,50787.6875
0.408,-200000,-200000,-200000,-200000,-200000,-200000,46547.25,49955.13671875
0.412,-200000,-200000,-200000,-200000,-200000,-200000,44815.85546875,49542.09375
0.416,-200000,-200000,-200000,-200000,-200000,-200000,44125.84375,50338.125
0.42,-200000,-200000,-200000,-200000,-200000,-200000,45732.66796875,50781.04296875
0.424,-200000,-200000,-200000,-200000,-200000,-200000,46731.1875,50105.9296875
0.428,-200000,-200000,-200000,-200000,-200000,-200000,45226.625,49573.7109375
0.432,-200000,-200000,-200000,-200000,-200000,-200000,43997.21875,50149.51953125
0.436,-200000,-200000,-200000,-200000,-200000,-200000,45398.95703125,50743.48828125
