Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10, Ch11, Ch12, Ch13
0,-14257.146484375,-50985.51171875,-6231.5224609375,-12575.53125,61741.98046875,66135.6484375,199999.96875,-0.00018434727098792791,3.3983916125635005e-08,6.7967836914206714e-10,-0.81212121248245239,0.34112805128097534,459.74258422851562
0.004,-13304.2109375,-49913.19921875,-4730.10546875,-11796.140625,62867.71875,67465.234375,199999.96875,-0.0026994477957487106,7.2870184339990374e-06,1.4642004941833875e-07,-0.81212121248245239,404.59368896484375,454.783447265625
0.008,-9405.1142578125,-49018.26953125,663.01824951171875,-10912.490234375,70294.6484375,77566.7265625,199999.96875,-0.019499281421303749,0.00038022198714315891,7.7508593676611781e-06,-0.81211996078491211,1024.8017578125,448.29849243164062
0.012,-9818.935546875,-49979.09375,-110.17324066162109,-11586.5966796875,70196.5390625,77649.3359375,199999.96875,-0.093207463622093201,0.008687630295753479,0.00018150344840250909,-0.81209373474121094,14517.1640625,452.37542724609375
0.016,-13737.3232421875,-50977.94921875,-5557.32275390625,-12536.4326171875,62818.29296875,67631.109375,199999.96875,-0.3338775634765625,0.11147423833608627,0.0024109885562211275,-0.8117559552192688,14517.1640625,457.73989868164062
0.02,-13748.0986328125,-50084.5234375,-5407.38134765625,-11928.7265625,62068.7734375,66377.9765625,199999.96875,-0.96227759122848511,0.92597818374633789,0.02093055285513401,-0.80894982814788818,14517.1640625,457.33456420898438
0.024,-9976.5546875,-49040.80078125,-82.182899475097656,-10984.0888671875,69125.2734375,75946.2734375,199999.96875,-2.3384692668914795,5.4684386253356934,0.13029932975769043,-0.79237890243530273,14517.1640625,448.51309204101562
0.028,-9404.6611328125,-49794.17578125,509.95355224609375,-11452.5576171875,70936.375,78624.3984375,199999.96875,-4.9540390968322754,24.542505264282227,0.62114942073822021,-0.71800774335861206,14517.1640625,449.46673583984375
0.032,-13077.6904296875,-50901.20703125,-4692.91259765625,-12438.8466796875,64124.54296875,69411.75,199999.96875,-9.3790512084960938,87.966598510742188,2.3804812431335449,-0.4514421820640564,14517.1640625,457.23919677734375
0.036,-14114.833984375,-50264.71875,-5968.16650390625,-12069.630859375,61440.875,65528.13671875,199999.96875,-16.172451019287109,261.54818725585938,7.6114449501037598,0.34112805128097534,14517.1640625,456.11859130859375
0.04,-10641.3125,-49122.76953125,-972.84326171875,-11092.6640625,67807.0390625,74134.296875,199999.96875,-25.777191162109375,664.46356201171875,20.900716781616211,2.3546543121337891,14517.1640625,449.32366943359375
0.044,-9075.1171875,-49596.79296875,996.75665283203125,-11305.7626953125,71475.6640625,79333.8359375,199999.96875,-38.423572540283203,1476.370849609375,50.428131103515625,6.8285050392150879,14517.1640625,448.679931640625
0.048,-12335.9921875,-50754.98046875,-3702.927001953125,-12281.060546875,65542.2265625,71354.7734375,199999.96875,-54.057819366455078,2922.24755859375,108.87308502197266,15.683799743652344,14517.1640625,458.59814453125
0.052,-14396.2158203125,-50453.86328125,-6390.0234375,-12212.896484375,60998.46875,64965.25,199999.96875,-72.303688049316406,5227.8232421875,213.42953491210938,31.525690078735352,14517.1640625,457.072265625
0.056,-11374.640625,-49276.48046875,-1969.5045166015625,-11258.5078125,66400.671875,72223.8359375,199999.96875,-92.456871032714844,8548.2734375,384.39501953125,57.429553985595703,14517.1640625,452.80459594726562
0.06,-8836.2705078125,-49372.3671875,1337.2662353515625,-11136.03125,71788.3515625,79714.1875,199999.96875,-113.50754547119141,12883.9638671875,642.07421875,96.471847534179688,14517.1640625,449.72900390625
0.064,-11573.482421875,-50551.91796875,-2664.733154296875,-12085.0810546875,66966.984375,73271.421875,199999.96875,-134.18391418457031,18005.322265625,1002.1806640625,151.033447265625,14517.1640625,453.92520141601562
0.068,-14541.1015625,-50655.89453125,-6602.859375,-12369.5625,60864.66796875,64812.3984375,199999.96875,-153.0108642578125,23412.32421875,1470.4273681640625,221.97993469238281,14517.1640625,459.71875
0.072,-12073.779296875,-49457.58203125,-2944.875,-11424.3984375,65084.82421875,70431.3359375,199999.96875,-168.38093566894531,28352.13671875,2037.4700927734375,307.89544677734375,14517.1640625,453.16226196289062
0.076,-8792.4501953125,-49179.625,1421.5709228515625,-10985.685546875,71720.6640625,79564.5390625,199999.96875,-178.6348876953125,31910.421875,2675.678466796875,404.59368896484375,14517.1640625,451.040283203125
0.08,-10860.1591796875,-50334.125,-1667.451904296875,-11877.037109375,68286.6484375,75036.5,199999.96875,-182.1502685546875,33178.71875,3339.252685546875,505.13525390625,14517.1640625,454.59271240234375
0.084,-8731.388671875,-49107.10546875,1471.9488525390625,-10920.453125,71789,79641.984375,199999.96875,-177.43270874023438,31482.365234375,3968.89990234375,600.53643798828125,14517.1640625,446.39111328125
0.088,-10821.9404296875,-50272.92578125,-1640.0816650390625,-11821.0078125,68332.8125,75079.6875,199999.96875,-163.20622253417969,26636.271484375,4501.625,681.25225830078125,14517.1640625,453.71060180664062
0.092,-12667.1328125,-49601.70703125,-3825.283203125,-11546.9951171875,63966.70703125,68896.0234375,199999.96875,-138.49662780761719,19181.318359375,4885.25244140625,739.37762451171875,14517.1640625,455.64178466796875
0.096,-8878.6611328125,-48955.9921875,1290.0355224609375,-10817.8388671875,71343.2890625,78971.3515625,199999.96875,-102.70212554931641,10547.7265625,5096.2060546875,771.34033203125,14517.1640625,447.440185546875
0.1,-10211.46875,-50052.2421875,-758.62420654296875,-11635.8779296875,69436.6015625,76543.875,199999.96875,-55.647380828857422,3096.630859375,5158.13916015625,780.72412109375,14517.1640625,454.306640625
0.104,-14159.7294921875,-50858.7109375,-6144.71484375,-12471.701171875,61860.94921875,66211.609375,199999.96875,2.3768908977508545,5.6496109962463379,5158.25244140625,780.7412109375,14517.1640625,458.78890991210938
0.108,-13180.185546875,-49780.80078125,-4610.4912109375,-11673.498046875,63021.92578125,67600.796875,199999.96875,70.584754943847656,4982.20703125,5257.89599609375,795.8387451171875,14517.1640625,453.63906860351562
0.112,-9271.4794921875,-48884.6796875,786.09002685546875,-10779.2158203125,70458.0625,77729.375,199999.96875,147.67692565917969,21808.474609375,5694.0654296875,861.92510986328125,14517.1640625,449.27603149414062
0.116,-9734.8701171875,-49865.0546875,-41.961669921875,-11473.6796875,70308.8125,77723.8515625,199999.96875,231.8389892578125,53749.3125,6769.05224609375,1024.8017578125,14517.1640625,452.49462890625
0.12,-13648.5361328125,-50849.89453125,-5484.3662109375,-12419.0341796875,62944.63671875,67705.421875,199999.96875,320.762451171875,102888.546875,8826.8232421875,1336.5853271484375,14517.1640625,457.3583984375
0.124,-13615.609375,-49942.3984375,-5289.0537109375,-11785.435546875,62229.63671875,66535.9140625,199999.96875,411.69253540039062,169490.75,12216.6376953125,1850.1937255859375,14517.1640625,457.47763061523438
0.128,-9819.341796875,-48889.8046875,49.567222595214844,-10818.8173828125,69280.0859375,76138.859375,199999.96875,501.50473022460938,251507,17246.77734375,2612.3359375,14517.1640625,450.01507568359375
0.132,-9322.1435546875,-49672.41796875,572.96759033203125,-11325.765625,71033.2734375,78706.484375,199999.96875,586.80780029296875,344343.40625,24133.646484375,3655.801513671875,14517.1640625,451.56484985351562
0.136,-13021.326171875,-50789.1171875,-4639.67431640625,-12342.287109375,64250.98046875,69461.8515625,199999.96875,664.06707763671875,440985.09375,32953.34375,4992.11962890625,14517.1640625,456.6669921875
0.14,-13995.505859375,-50131.46875,-5858.01708984375,-11938.1923828125,61602.6171875,65662.25,199999.96875,729.7392578125,532519.375,43603.73828125,6605.8154296875,14517.1640625,456.88153076171875
0.144,-10463.046875,-48964.38671875,-822.97332763671875,-10912.2763671875,67956.3125,74332.546875,199999.96875,780.41046142578125,609040.5,55784.55078125,8451.3935546875,14517.1640625,452.61386108398438
