Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10, Ch11, Ch12, Ch13
0,-200000,-200000,-200000,-200000,-200000,-200000,45893.8125,-0.0025619759690016508,6.5637204897939228e-06,1.3127439046911604e-07,-0.81212121248245239,276.97549438476562,50059.4609375
0.004,-200000,-200000,-200000,-200000,-200000,-200000,44185.33203125,-0.0378279909491539,0.0014309569960460067,2.8750413548550569e-05,-0.81211692094802856,113264.796875,49614.19921875
0.008,-200000,-200000,-200000,-200000,-200000,-200000,43387.25,-0.27583113312721252,0.076082810759544373,0.0015504067996516824,-0.81188631057739258,287427.4375,50370.5546875
0.012,-200000,-200000,-200000,-200000,-200000,-200000,44959.8359375,-1.3333801031112671,1.777902364730835,0.037108451128005981,-0.80649870634078979,4033613.25,50832.3671875
0.016,-200000,-200000,-200000,-200000,-200000,-200000,46054.67578125,-4.8395719528198242,23.421457290649414,0.50553768873214722,-0.73552453517913818,4033613.25,50198.6796875
0.02,-200000,-200000,-200000,-200000,-200000,-200000,44584.92578125,-14.154647827148438,200.35404968261719,4.5126180648803711,-0.12839122116565704,4033613.25,49630.76953125
0.024,-200000,-200000,-200000,-200000,-200000,-200000,43272.1171875,-34.9345703125,1220.4241943359375,28.921102523803711,3.5698637962341309,4033613.25,50171.07421875
0.028,-200000,-200000,-200000,-200000,-200000,-200000,44623.09375,-75.162353515625,5649.37890625,141.90866088867188,20.689189910888672,4033613.25,50791.3125
0.032,-200000,-200000,-200000,-200000,-200000,-200000,46142.19921875,-144.4140625,20855.421875,559.01708984375,83.887435913085938,4033613.25,50373.25
0.036,-200000,-200000,-200000,-200000,-200000,-200000,44970.92578125,-252.42636108398438,63719.0625,1833.398193359375,276.97549438476562,4033613.25,49690.98828125
0.04,-200000,-200000,-200000,-200000,-200000,-200000,43261.41796875,-407.30410766601562,165896.625,5151.3310546875,779.69256591796875,4033613.25,49980.88671875
0.044,-200000,-200000,-200000,-200000,-200000,-200000,44293.09375,-613.79718017578125,376746.9375,12686.2705078125,1921.3502197265625,4033613.25,50706.1484375
0.048,-200000,-200000,-200000,-200000,-200000,-200000,46145.3671875,-871.9764404296875,760342.875,27893.125,4225.41943359375,4033613.25,50567.125
0.052,-200000,-200000,-200000,-200000,-200000,-200000,45312.19921875,-1176.4674072265625,1384075.625,55574.64453125,8419.5888671875,4033613.25,49769.90625
0.056,-200000,-200000,-200000,-200000,-200000,-200000,43352.73046875,-1516.2535400390625,2299024.75,101555.125,15386.328125,4033613.25,49791.60546875
0.06,-200000,-200000,-200000,-200000,-200000,-200000,44065.71875,-1874.9827880859375,3515560.75,171866.34375,26039.54296875,4033613.25,50654.3671875
0.064,-200000,-200000,-200000,-200000,-200000,-200000,45994.98046875,-2231.658203125,4980298.5,271472.34375,41131.36328125,4033613.25,50692.15625
0.068,-200000,-200000,-200000,-200000,-200000,-200000,45565.23046875,-2561.606689453125,6561829.5,402708.90625,61015.6875,4033613.25,49824.625
0.072,-200000,-200000,-200000,-200000,-200000,-200000,43602.6796875,-2837.65576171875,8052290.5,563754.8125,85416.5859375,4033613.25,49681.36328125
0.076,-200000,-200000,-200000,-200000,-200000,-200000,43861.32421875,-3031.487060546875,9189915,747553,113264.796875,4033613.25,50584.2734375
0.08,-200000,-200000,-200000,-200000,-200000,-200000,45760.4921875,-3115.116455078125,9703950,941632,142670.703125,4033613.25,50780.5625
0.084,-200000,-200000,-200000,-200000,-200000,-200000,44012.76953125,-3062.459716796875,9378661,1129205.375,171090.921875,4033613.25,50577.1171875
0.088,-200000,-200000,-200000,-200000,-200000,-200000,45911.3359375,-2850.89794921875,8127619,1291757.625,195720.046875,4033613.25,50770.40625
0.092,-200000,-200000,-200000,-200000,-200000,-200000,45938.9921875,-2462.76953125,6065234.5,1413062.375,214099.546875,4033613.25,49891.57421875
0.096,-200000,-200000,-200000,-200000,-200000,-200000,44050.7421875,-1886.7113037109375,3559679.5,1484255.75,224886.421875,4033613.25,49597.125
0.1,-200000,-200000,-200000,-200000,-200000,-200000,43829.42578125,-1118.767333984375,1251640.375,1509288.75,228679.328125,4033613.25,50482.32421875
0.104,-200000,-200000,-200000,-200000,-200000,-200000,45613.38671875,-163.21003723144531,26637.515625,1509821.625,228760.046875,4033613.25,50814.8671875
0.108,-200000,-200000,-200000,-200000,-200000,-200000,46135.45703125,966.98370361328125,935057.5,1528522.625,231593.546875,4033613.25,49994.78125
0.112,-200000,-200000,-200000,-200000,-200000,-200000,44426.0859375,2250.010986328125,5062549.5,1629773.625,246934.59375,4033613.25,49571.875
0.116,-200000,-200000,-200000,-200000,-200000,-200000,43680.55078125,3655.495361328125,13362646,1897026.625,287427.4375,4033613.25,50350.0234375
0.12,-200000,-200000,-200000,-200000,-200000,-200000,45267.65625,5145.10791015625,26472138,2426469.25,367646.09375,4033613.25,50803.95703125
0.124,-200000,-200000,-200000,-200000,-200000,-200000,46322.61328125,6673.5419921875,44536160,3317192.75,502604.15625,4033613.25,50156.48046875
0.128,-200000,-200000,-200000,-200000,-200000,-200000,44837.05078125,8189.81494140625,67073068,4658654.5,705855.875,4033613.25,49605.44921875
0.132,-200000,-200000,-200000,-200000,-200000,-200000,43561.98828125,9638.84375,92907312,6516800,987393.1875,4033613.25,50157.69921875
0.136,-200000,-200000,-200000,-200000,-200000,-200000,44928.625,10963.2607421875,120193088,8920662,1351614.75,4033613.25,50766.0625
0.14,-200000,-200000,-200000,-200000,-200000,-200000,46418.8125,12105.3720703125,146540032,11851462,1795675.375,4033613.25,50334.05078125
0.144,-200000,-200000,-200000,-200000,-200000,-200000,45219.92578125,13009.2470703125,169240528,15236272,2308525.5,4033613.25,49659.73828125
0.148,-200000,-200000,-200000,-200000,-200000,-200000,43545.8671875,13622.7998046875,185580672,18947884,2870890.75,4033613.25,49973.04296875
0.152,-200000,-200000,-200000,-200000,-200000,-200000,44602.83203125,13899.828125,193205216,22811990,3456361.5,4033613.25,50684.09375
0.156,-200000,-200000,-200000,-200000,-200000,-200000,46432.57421875,13801.9248046875,190493136,26621852,4033613.25,4033613.25,50526.3125
0.16,-200000,-200000,-200000,-200000,-200000,-200000,45569.0859375,13300.177734375,176894720,30159750,4569658.5,4033613.25,49745.94921875
0.164,-200000,-200000,-200000,-200000,-200000,-200000,43624.1171875,12376.630859375,153181008,33223370,5033843,4033613.25,49776.625
