Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
1002148.040324,36667.44921875,2295.493408203125,5269290.5,7997383.0,1913249.0,1300812.75,-76.05986022949219
1002148.0493398,36902.09375,1443.5150146484375,2083735.625,8034561.5,1922143.375,1921478.75,-75.11492919921875
1002148.0506031,37381.91796875,537.7283935546875,289151.84375,8034829.5,1922207.625,1921478.75,-74.1319351196289
1002148.0534404,37252.26171875,-402.8841247558594,162315.625,8031784.0,1921478.75,1921478.75,-72.8737564086914
1002148.055057,36728.9296875,-1358.2529296875,1844851.0,8062043.0,1928717.75,1921478.75,-71.23760986328125
1002148.0558347,36834.36328125,-2307.708984375,5325521.5,8162144.0,1952665.625,1921478.75,-69.40499114990234
1002148.0575566,37328.21875,-3230.489013671875,10436059.0,8365316.0,2001271.375,1921478.75,-67.59869384765625
1002148.0600098,37340.5,-4106.23974609375,16861206.0,8698405.0,2080957.625,1921478.75,-65.89737701416016
1002148.0659257,36831.36328125,-4915.51806640625,24162316.0,9179232.0,2195988.0,1921478.75,-64.30975341796875
1002148.0669999,36784.9375,-5640.2607421875,31812540.0,9814637.0,2347998.75,1921478.75,-62.83648681640625
1002148.0680548,37267.1171875,-6264.22509765625,39240512.0,10599430.0,2535748.0,1921478.75,-61.41704177856445
1002148.0716582,37412.05078125,-6773.37353515625,45878584.0,11516350.0,2755107.25,1921478.75,-59.92345428466797
1002148.0727069,36936.8359375,-7156.20947265625,51211340.0,12537080.0,2999301.25,1921478.75,-58.25999069213867
1002148.0768159,36738.96875,-7404.04443359375,54819872.0,13624278.0,3259396.0,3259396.0,-56.44408416748047
1002148.0789452,37193.9921875,-7511.19287109375,56418016.0,14734448.0,3524987.25,3259396.0,-54.5543098449707
1002148.0796283,37461.66796875,-7475.09375,55877024.0,15821424.0,3785029.25,3259396.0,-52.63713836669922
1002148.0874704,37060.3125,-7296.35302734375,53236768.0,16840170.0,4028748.0,3259396.0,-50.699302673339844
1002148.0899582,36719.2734375,-6978.70458984375,48702316.0,17750554.0,4246543.0,3259396.0,-48.734100341796875
1002148.0907533,37130.66796875,-6528.90380859375,42626584.0,18520774.0,4430806.5,3259396.0,-46.73772048950195
1002148.0939128,37509.15625,-5956.5380859375,35480344.0,19130076.0,4576572.0,3259396.0,-44.73561477661133
1002148.1050979,37187.9609375,-5273.78369140625,27812794.0,19570550.0,4681949.5,3259396.0,-42.75986862182617
1002148.1057876,36714.125,-4495.0859375,20205798.0,19847756.0,4748266.5,4784136.0,-40.7706413269043
1002148.1064173,37064.29296875,-3636.809814453125,13226387.0,19980220.0,4779956.0,4784136.0,-38.697105407714844
1002148.1067112,37520.40625,-2716.83203125,7381176.0,19997690.0,4784136.0,4784136.0,-36.5948600769043
1002148.1197627,37289.86328125,-1754.1156005859375,3076921.5,19938416.0,4769955.0,4784136.0,-34.600303649902344
1002148.1205493,36759.8046875,-768.2596435546875,590222.875,19845664.0,4747766.5,4784136.0,-32.70347213745117
1002148.121882,37004.92578125,220.9534912109375,48820.44921875,19763718.0,4728161.5,4784136.0,-30.768733978271484
1002148.1225213,37501.95703125,1194.0084228515625,1425656.0,19733872.0,4721021.5,4784136.0,-28.77593994140625
1002148.1333661,37384.80078125,2132.08984375,4545807.0,19790666.0,4734608.0,4784136.0,-26.8294677734375
1002148.13642,36827.61328125,3017.490234375,9105246.0,19958774.0,4774826.5,4784136.0,-24.943618774414062
1002148.1404174,36939.7421875,3833.982421875,14699421.0,20250874.0,4844706.5,4784136.0,-23.019216537475586
1002148.1411849,37445.45703125,4567.14453125,20858810.0,20666588.0,4944159.0,4784136.0,-21.041574478149414
1002148.1451105,37453.9609375,5204.63818359375,27088256.0,21192730.0,5070030.5,4784136.0,-19.117229461669922
1002148.1472073,36910.15625,5736.4248046875,32906570.0,21804704.0,5216436.0,5216436.0,-17.2680606842041
1002148.1492924,36860.6796875,6154.93359375,37883212.0,22469002.0,5375359.0,5216436.0,-15.379681587219238
1002148.1500359,37354.46875,6455.1474609375,41668928.0,23146502.0,5537440.0,5216436.0,-13.441282272338867
1002148.1650337,37491.11328125,6634.64306640625,44018488.0,23796236.0,5692879.0,5216436.0,-11.622576713562012
1002148.1661614,37009.69921875,6693.5625,44803776.0,24379324.0,5832373.5,5216436.0,-9.986165046691895
1002148.1676986,36802.80078125,6634.5224609375,44016888.0,24862572.0,5947983.0,5216436.0,-8.350193977355957
1002148.1692635,37268.66796875,6462.4755859375,41763596.0,25221510.0,6033853.5,5216436.0,-6.571369171142578
1002148.1881366,37522.01171875,6184.51708984375,38248248.0,25442492.0,6086720.0,5216436.0,-4.7265119552612305
1002148.1895304,37109.57421875,5809.64306640625,33751956.0,25523718.0,6106152.0,5216436.0,-2.8890292644500732
1002148.1914484,36750.91796875,5348.48974609375,28606342.0,25475024.0,6094503.0,6056599.0,-0.9659652709960938
1002148.1918326,37164.1875,4813.02587890625,23165216.0,25316588.0,6056599.0,6056599.0,1.0962902307510376
1002148.2047878,37535.0234375,4216.2373046875,17776656.0,25076572.0,5999179.0,6056599.0,3.1222712993621826
1002148.2051869,37211.83203125,3571.795654296875,12757725.0,24788038.0,5930152.0,6056599.0,4.8910369873046875
1002148.2055797,36730.03125,2893.7265625,8373653.5,24485418.0,5857755.0,6056599.0,6.423628330230713
1002148.2059598,37070.94921875,2196.086669921875,4822796.0,24200912.0,5789691.0,6056599.0,7.9099860191345215
1002148.2199548,37517.86328125,1492.6470947265625,2227995.25,23961178.0,5732338.5,6056599.0,9.404594421386719
