Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
898812.0435328,-45606.85546875,2315.561767578125,5361826.5,21953692.0,5252079.0,7202525.5,-7227.68994140625
898812.0489251,-43945.38671875,1977.7581787109375,3911527.5,21638550.0,5176686.5,7202525.5,-7365.2294921875
898812.0592414,-44758.54296875,1646.5687255859375,2711188.75,21472800.0,5137033.5,5137033.5,-7498.18359375
898812.0649158,-46566.5859375,1326.272216796875,1758998.0,21415898.0,5123420.0,5137033.5,-7622.5703125
898812.0657733,-45930.19921875,1020.2742309570312,1040959.5,21418794.0,5124113.5,5137033.5,-7736.59521484375
898812.0668764,-44106.10546875,731.111328125,534523.8125,21428166.0,5126355.0,5137033.5,-7842.37109375
898812.0674558,-44468.09375,460.4867248535156,212048.046875,21390922.0,5117445.5,5137033.5,-7942.12646484375
898812.0685404,-46355.5859375,209.3248291015625,43816.88671875,21258506.0,5085766.5,5137033.5,-8035.60302734375
898812.0758321,-46213.4375,-22.150142669677734,490.6288146972656,20990762.0,5021713.5,5137033.5,-8120.78515625
898812.0790251,-44345.3359375,-234.32150268554688,54906.5625,20558940.0,4918406.5,5137033.5,-8196.576171875
898812.0835164,-44219.42578125,-428.07391357421875,183247.296875,19947702.0,4772177.5,5137033.5,-8264.8330078125
898812.0842485,-46082.76171875,-604.6795654296875,365637.40625,19155948.0,4582762.5,5137033.5,-8328.2998046875
898812.0888168,-46455.29296875,-765.6803588867188,586266.375,18196518.0,4353233.5,4353233.5,-8385.9921875
898812.0908298,-44637.8984375,-912.7703857421875,833149.8125,17094748.0,4089652.0,4353233.5,-8433.9892578125
898812.2569488,-44043.92578125,-1047.6842041015625,1097642.375,15886152.0,3800514.0,4353233.5,-8472.185546875
898812.2573876,-45767.59375,-1172.0902099609375,1373795.625,14613392.0,3496026.0,4353233.5,-8505.5439453125
898812.2591216,-46632.48828125,-1287.4990234375,1657653.75,13322854.0,3187285.25,4353233.5,-8535.8154296875
898812.2638137,-44971.4921875,-1395.1829833984375,1946535.625,12061118.0,2885434.75,4353233.5,-8557.888671875
898812.2654808,-43932.13671875,-1496.1116943359375,2238350.0,10871611.0,2600863.25,4353233.5,-8568.8388671875
898812.2749346,-45424.34375,-1590.9068603515625,2530984.75,9791677.0,2342506.0,1782100.0,-8574.2294921875
898812.2766882,-46714.66796875,-1679.8138427734375,2821774.75,8850310.0,2117298.75,1782100.0,-8578.8251953125
898812.2808066,-45314.6484375,-1762.69140625,3107081.25,8066624.0,1929813.75,1782100.0,-8577.451171875
898812.2827142,-43913.17578125,-1839.021484375,3382000.0,7449180.0,1782100.0,1782100.0,-8563.8720703125
898812.2842847,-45099.0,-1907.9332275390625,3640209.25,6996125.5,1673713.75,1782100.0,-8542.716796875
898812.2892933,-46706.15625,-1968.2445068359375,3873986.75,6696078.5,1601932.0,1782100.0,-8521.6669921875
898812.2967986,-45663.67578125,-2018.5166015625,4074409.25,6529638.5,1562114.0,1617323.75,-8497.2421875
898812.2990056,-44001.80078125,-2057.119140625,4231739.0,6471349.5,1548169.375,1617323.75,-8461.138671875
898812.3080512,-44795.44921875,-2082.306640625,4336001.5,6491924.0,1553091.375,1617323.75,-8416.0732421875
898812.3128811,-46594.8359375,-2092.29443359375,4377696.0,6560545.5,1569508.0,1617323.75,-8371.1904296875
898812.3204798,-45987.6796875,-2085.346923828125,4348672.0,6647060.0,1590205.375,1617323.75,-8325.1376953125
898812.3242037,-44184.35546875,-2059.854248046875,4242999.0,6723920.0,1608592.75,887983.6875,-8268.828125
898812.3261958,-44519.59375,-2014.4166259765625,4057874.0,6767741.5,1619076.375,887983.6875,-8202.921875
898812.3312778,-46396.66796875,-1947.915771484375,3794375.5,6760416.0,1617323.75,887983.6875,-8136.96875
898812.3348542,-46279.08203125,-1859.580078125,3458038.0,6689743.0,1600416.625,887983.6875,-8071.76025390625
898812.3375039,-44418.05078125,-1749.0406494140625,3059143.25,6549577.5,1566884.0,887983.6875,-7998.05224609375
898812.3419763,-44277.38671875,-1616.3724365234375,2612659.5,6339560.0,1516640.625,887983.6875,-7913.8984375
898812.3446279,-46118.8125,-1462.1256103515625,2137811.25,6064476.0,1450831.0,469457.25,-7828.17822265625
898812.3469621,-46503.4296875,-1287.3388671875,1657241.375,5733356.0,1371615.75,469457.25,-7744.15234375
898812.3541968,-44702.9375,-1093.5404052734375,1195830.625,5358396.0,1281912.375,469457.25,-7653.87646484375
