Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
397874.8184995,199999.96875,252.4117431640625,63711.6875,1833.1669921875,438.00164794921875,152643376.0,87.63676452636719
397874.8250732,199999.96875,407.28369140625,165880.0,5150.76708984375,1231.6859130859375,152643376.0,73.9747543334961
397874.8398105,199999.96875,613.7698974609375,376713.5,12685.037109375,3034.142578125,152643376.0,64.273193359375
397874.8566054,199999.96875,871.9417114257812,760282.375,27890.68359375,6671.85693359375,177210208.0,58.2206916809082
397874.866823,199999.96875,1176.4241943359375,1383973.75,55570.15625,13293.740234375,177210208.0,54.68654251098633
397874.8752159,199999.96875,1516.2017822265625,2298867.5,101547.5,24293.10546875,177210208.0,51.6727180480957
397874.8778264,199999.96875,1874.9228515625,3515335.5,171854.21875,41112.89453125,177210208.0,47.34782791137695
397874.8797873,199999.96875,2231.591064453125,4979998.5,271454.1875,64940.63671875,177210208.0,41.49340057373047
397874.892006,199999.96875,2561.533203125,6561452.0,402683.1875,96335.125,177210208.0,35.22477340698242
397874.9030361,199999.96875,2837.578857421875,8051854.5,563720.3125,134860.75,177210208.0,29.421438217163086
397874.921619,199999.96875,3031.40771484375,9189432.0,747508.875,178829.328125,177210208.0,24.112600326538086
397874.9228862,199999.96875,3115.0390625,9703469.0,941578.3125,225257.421875,177210208.0,19.15322494506836
397874.9269355,199999.96875,3062.387939453125,9378221.0,1129142.75,270129.25,177210208.0,14.641136169433594
397874.9313718,199999.96875,2850.8359375,8127265.5,1291688.0,309015.6875,177210208.0,10.576268196105957
397874.9491137,199999.96875,2462.721435546875,6064997.5,1412988.0,338034.84375,177210208.0,6.677367210388184
397874.9670136,199999.96875,1886.6802978515625,3559562.75,1484179.375,355066.25,165969408.0,2.712853193283081
397874.9697686,199999.96875,1118.758544921875,1251620.625,1509211.625,361054.84375,165969408.0,-1.2491092681884766
397874.977099,199999.96875,163.2273712158203,26643.171875,1509744.625,361182.34375,165969408.0,-4.982161045074463
397874.982587,199999.96875,-966.9368286132812,934966.8125,1528443.75,365655.84375,165969408.0,-8.338772773742676
397874.9854312,199999.96875,-2249.931640625,5062192.0,1629687.75,389876.90625,165969408.0,-11.328727722167969
397874.9894513,199999.96875,-3655.382080078125,13361819.0,1896924.0,453809.0,165969408.0,-14.054662704467773
397874.9913852,199999.96875,-5144.95947265625,26470608.0,2426336.0,580462.5,165969408.0,-16.606857299804688
397874.998854,199999.96875,-6673.3583984375,44533716.0,3317010.75,793542.6875,165969408.0,-19.01837158203125
397875.0024585,199999.96875,-8189.5966796875,67069492.0,4658400.0,1114449.375,165969408.0,-21.339197158813477
397875.0066802,199999.96875,-9638.5966796875,92902552.0,6516451.0,1558959.0,165969408.0,-23.690927505493164
397875.0216329,199999.96875,-10962.982421875,120186984.0,8920190.0,2134016.0,165969408.0,-26.10565757751465
397875.0231246,199999.96875,-12105.0703125,146532704.0,11850845.0,2835129.5,165969408.0,-28.385839462280273
397875.3589707,199999.96875,-13008.9296875,169232256.0,15235491.0,3644853.5,165969408.0,-30.33860206604004
397875.3696114,199999.96875,-13622.4736328125,185571792.0,18946924.0,4532756.0,165969408.0,-32.06441116333008
397875.3748268,199999.96875,-13899.5,193196112.0,22810848.0,5457140.0,142532688.0,-33.77838134765625
397875.3768948,199999.96875,-13801.6015625,190484192.0,26620534.0,6368548.0,142532688.0,-35.43402099609375
397875.3808891,199999.96875,-13299.8720703125,176886608.0,30158266.0,7214895.0,142532688.0,-36.82319259643555
397875.3924569,199999.96875,-12376.3515625,153174096.0,33221744.0,7947785.5,142532688.0,-38.00455856323242
397875.399462,199999.96875,-11025.1611328125,121554176.0,35652824.0,8529382.0,142532688.0,-39.24916458129883
397875.4030224,199999.96875,-9253.255859375,85622744.0,37365280.0,8939061.0,142532688.0,-40.5573844909668
397875.4056526,199999.96875,-7080.8046875,50137792.0,38368044.0,9178957.0,142532688.0,-41.65193557739258
