Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06
1606243.6590572,-12412.763671875,804.865234375,647808.0,2117484.75,506574.6875,538191.5
1606243.6607432,-12218.7626953125,842.8176879882812,710341.6875,2050203.625,490478.75,538191.5
1606243.66097,-11832.9765625,866.2410278320312,750373.5,1969379.0,471142.75,538191.5
1606243.6612457,-12008.380859375,876.244140625,767803.8125,1877266.0,449106.15625,538191.5
1606243.6708092,-12440.919921875,874.1087646484375,764066.1875,1777017.375,425123.1875,425123.1875
1606243.6731199,-12254.40625,861.2385864257812,741731.875,1672423.625,400100.75,425123.1875
1606243.6735811,-11885.953125,839.1103515625,704106.1875,1567600.75,375023.5,425123.1875
1606243.676085,-11887.169921875,809.2249145507812,654844.875,1466655.375,350873.9375,425123.1875
1606243.6877215,-12440.515625,773.0612182617188,597623.6875,1373356.0,328553.5,425123.1875
1606243.6884409,-12288.0234375,732.0369262695312,535878.0,1290841.75,308813.25,425123.1875
1606243.6889015,-11949.3017578125,687.4733276367188,472619.59375,1221387.375,292197.40625,425123.1875
1606243.6913025,-11793.3515625,640.56591796875,410324.6875,1166248.75,279006.34375,425123.1875
1606243.7037277,-12417.53125,592.3621215820312,350892.90625,1125595.375,269280.65625,425123.1875
1606243.703989,-12314.5830078125,543.7445068359375,295658.09375,1098532.375,262806.1875,259140.671875
1606243.7049407,-12004.5673828125,495.4234313964844,245444.375,1083210.375,259140.671875,259140.671875
1606243.7060834,-11726.5234375,447.93426513671875,200645.09375,1077004.375,257655.96875,259140.671875
1606243.7196084,-12337.9013671875,401.64202880859375,161316.328125,1076751.0,257595.375,259140.671875
1606243.7204623,-12323.2138671875,356.75048828125,127270.9140625,1079015.0,258137.0,259140.671875
1606243.7213547,-12050.1767578125,313.3185119628906,98168.484375,1080366.625,258460.34375,259140.671875
1606243.7223451,-11714.3642578125,271.279296875,73592.4609375,1077644.0,257809.0,259140.671875
1606243.7314698,-12220.3359375,230.4626922607422,53113.05078125,1068182.625,255545.5,259140.671875
1606243.7323105,-12345.4580078125,190.6201171875,36336.0234375,1049990.375,251193.328125,259140.671875
1606243.7346125,-12118.6513671875,151.4515380859375,22937.568359375,1021864.5,244464.625,259140.671875
1606243.7356309,-11731.982421875,112.632568359375,12686.0966796875,983438.375,235271.796875,259140.671875
1606243.7469153,-12080.693359375,73.8402099609375,5452.37646484375,935162.1875,223722.453125,223722.453125
1606243.7497482,-12370.1357421875,34.77778244018555,1209.494140625,878222.3125,210100.46875,223722.453125
1606243.7504747,-12163.4267578125,-4.80205774307251,23.05975914001465,814411.375,194834.703125,223722.453125
1606243.7514425,-11776.138671875,-45.077606201171875,2031.9906005859375,745961.8125,178459.203125,223722.453125
1606243.7611433,-11953.6171875,-86.14251708984375,7420.53369140625,675357.3125,161568.171875,223722.453125
1606243.7630377,-12411.09375,-127.99394226074219,16382.4501953125,605141.8125,144770.203125,223722.453125
1606243.7632529,-12217.7861328125,-170.5247039794922,29078.671875,537737.875,128644.859375,223722.453125
1606243.7638942,-11839.4375,-213.520263671875,45590.8984375,475289.90625,113705.1640625,223722.453125
1606243.7775394,-11834.240234375,-256.6602478027344,65874.484375,419538.84375,100367.5859375,223722.453125
1606243.779733,-12417.888671875,-299.5238342285156,89714.5234375,371739.09375,88932.234375,223722.453125
1606243.7800379,-12251.8798828125,-341.59906005859375,116689.9140625,332616.34375,79572.734375,79572.734375
1606243.7804598,-11894.9423828125,-382.296875,146150.921875,302366.9375,72336.0390625,79572.734375
1606243.7920366,-11743.1640625,-420.967041015625,177213.25,280694.59375,67151.25,79572.734375
1606243.7936582,-12398.6982421875,-456.9170837402344,208773.21875,266877.4375,63845.71875,79572.734375
1606243.7952052,-12291.0283203125,-489.433349609375,239545.0,259856.921875,62166.17578125,79572.734375
1606243.7956516,-11965.7060546875,-517.8035888671875,268120.59375,258340.078125,61803.29296875,79572.734375
1606243.8075356,-11698.0810546875,-541.3392333984375,293048.15625,260905.828125,62417.10546875,79572.734375
1606243.8079316,-12336.6845703125,-559.39794921875,312926.09375,266106.9375,63661.39453125,79572.734375
1606243.808429,-12332.4892578125,-571.404296875,326502.90625,272561.65625,65205.58203125,79572.734375
1606243.8087574,-12043.380859375,-576.8704833984375,332779.59375,279028.34375,66752.6484375,79572.734375
1606243.8385385,-11719.7294921875,-575.4137573242188,331101.0,284462.1875,68052.6015625,68052.6015625
1606243.8389833,-12228.609375,-566.7703857421875,321228.65625,288050.90625,68911.1484375,68052.6015625
1606243.8396161,-12367.677734375,-550.8082885742188,303389.75,289230.34375,69193.296875,68052.6015625
1606243.8400261,-12130.2138671875,-527.5339965820312,278292.15625,287682.75,68823.0625,68052.6015625
1606243.8543872,-11749.435546875,-497.09765625,247106.078125,283319.59375,67779.25,68052.6015625
1606243.855005,-12101.1982421875,-459.79345703125,211410.0,276252.75,66088.609375,68052.6015625
1606243.8559854,-12398.6484375,-416.0557556152344,173102.375,266758.6875,63817.3125,68052.6015625
1606243.8565962,-12184.6689453125,-366.45159912109375,134286.796875,255237.578125,61061.0625,68052.6015625
1606243.8700283,-11795.3798828125,-311.6712951660156,97139.0,242172.875,57935.54296875,51083.59375
1606243.8703858,-11966.96875,-252.5136260986328,63763.13671875,228092.078125,54566.92578125,51083.59375
1606243.8710672,-12413.7890625,-189.8697052001953,36050.5,213531.75,51083.59375,51083.59375
1606243.8714329,-12218.546875,-124.70378112792969,15551.0341796875,199008.125,47609.04296875,51083.59375
1606243.8854292,-11837.7705078125,-58.0333366394043,3367.868408203125,184993.375,44256.23828125,51083.59375
1606243.8889945,-11836.4345703125,9.092864990234375,82.6801986694336,171898.125,41123.3984375,51083.59375
1606243.8894288,-12419.9638671875,75.61749267578125,5718.00537109375,160060.0,38291.3125,51083.59375
1606243.8898533,-12261.3203125,140.4967803955078,19739.34375,149737.25,35821.75,51083.59375
1606243.9012069,-11895.8017578125,202.7215118408203,41096.01171875,141106.75,33757.04296875,51083.59375
1606243.9018145,-11747.599609375,261.3377990722656,68297.4375,134266.21875,32120.552734375,51083.59375
1606243.9021014,-12399.458984375,315.4666442871094,99519.2109375,129238.75,30917.806640625,51083.59375
1606243.9029948,-12306.9765625,364.3207092285156,132729.578125,125980.171875,30138.244140625,51083.59375
1606243.9146404,-11970.998046875,407.21820068359375,165826.671875,124387.8359375,29757.302734375,29757.302734375
1606243.9168055,-11700.5595703125,443.5951232910156,196776.625,124310.4609375,29738.791015625,29757.302734375
1606243.9173791,-12338.3544921875,473.0142517089844,223742.46875,125558.984375,30037.48046875,29757.302734375
1606243.9195545,-12337.0419921875,495.17138671875,245194.703125,127917.4609375,30601.708984375,29757.302734375
1606243.9299676,-12039.4013671875,509.89788818359375,259995.84375,131154.0,31376.0,29757.302734375
1606243.9306403,-11703.1826171875,517.1598510742188,267454.34375,135031.25,32303.572265625,29757.302734375
1606243.9326404,-12226.1533203125,517.0556640625,267346.59375,139315.921875,33328.61328125,29757.302734375
1606243.9335899,-12365.318359375,509.80975341796875,259905.96875,143787.328125,34398.33203125,29757.302734375
1606243.9428764,-12124.0625,495.7638244628906,245781.75,148244.203125,35464.5625,29757.302734375
1606243.943906,-11734.1767578125,475.3655700683594,225972.421875,152509.921875,36485.07421875,37424.25
1606243.944734,-12099.982421875,449.1558532714844,201740.96875,156435.703125,37424.25,37424.25
1606243.9467976,-12394.6923828125,417.7547912597656,174519.078125,159901.875,38253.48046875,37424.25
1606243.9587319,-12184.40625,381.8456115722656,145806.078125,162817.546875,38951.01171875,37424.25
