Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
401039.829417,199999.96875,-10266.498046875,105400984.0,434929088.0,104050024.0,101793984.0,19.1069393157959
401039.8295658,199999.96875,-8758.5029296875,76711384.0,428742240.0,102569904.0,101793984.0,19.875377655029297
401039.8297843,199999.96875,-7280.6279296875,53007544.0,425498880.0,101793984.0,101793984.0,20.553970336914062
401039.8300362,199999.96875,-5851.94775390625,34245292.0,424394592.0,101529816.0,101793984.0,21.003149032592773
401039.8451966,199999.96875,-4487.62890625,20138812.0,424457312.0,101544808.0,101793984.0,21.208215713500977
401039.8459098,199999.96875,-3198.97021484375,10233411.0,424631744.0,101586544.0,101793984.0,21.233882904052734
401039.8460768,199999.96875,-1993.5413818359375,3974207.25,423867904.0,101403800.0,101793984.0,21.1612548828125
401039.8462555,199999.96875,-875.4412841796875,766397.375,421206880.0,100767192.0,101793984.0,21.08766746520996
401039.8581842,199999.96875,154.3602294921875,23827.078125,415856544.0,99487208.0,101793984.0,21.115764617919922
401039.8597145,199999.96875,1097.6051025390625,1204737.0,407251200.0,97428520.0,101793984.0,21.323486328125
401039.8618394,199999.96875,1958.2747802734375,3834840.0,395091200.0,94519424.0,101793984.0,21.739925384521484
401039.862484,199999.96875,2742.082763671875,7519018.5,379358880.0,90755712.0,101793984.0,22.315210342407227
401039.8751799,199999.96875,3455.947998046875,11943576.0,360312160.0,86199080.0,86199080.0,22.916391372680664
401039.8753505,199999.96875,4107.47265625,16871334.0,338455968.0,80970328.0,86199080.0,23.394323348999023
401039.875529,199999.96875,4704.44140625,22131770.0,314496160.0,75238312.0,86199080.0,23.6821231842041
401039.875762,199999.96875,5254.34912109375,27608186.0,289279168.0,69205544.0,86199080.0,23.810665130615234
401039.8905475,199999.96875,5763.98193359375,33223488.0,263724416.0,63091960.0,86199080.0,23.82390785217285
401039.8923642,199999.96875,6239.06884765625,38925976.0,238754048.0,57118196.0,86199080.0,23.7332820892334
401039.8926969,199999.96875,6683.9873046875,44675692.0,215226928.0,51489696.0,86199080.0,23.5614070892334
401039.8929503,199999.96875,7101.56494140625,50432224.0,193880672.0,46382936.0,86199080.0,23.371898651123047
401039.9029845,199999.96875,7492.94384765625,56144212.0,175286784.0,41934636.0,86199080.0,23.2252197265625
401039.905019,199999.96875,7857.54443359375,61741004.0,159820800.0,38234644.0,35322708.0,23.13307762145996
401039.9052382,199999.96875,8193.099609375,67126888.0,147648896.0,35322708.0,35322708.0,23.082839965820312
401039.9054052,199999.96875,8495.7705078125,72178112.0,138731056.0,33189248.0,35322708.0,23.059444427490234
401039.9203713,199999.96875,8760.3203125,76743208.0,132838680.0,31779590.0,35322708.0,23.0205078125
401039.921039,199999.96875,8980.3701171875,80647040.0,129584808.0,31001148.0,35322708.0,22.9123477935791
401039.9219954,199999.96875,9148.6796875,83698344.0,128463024.0,30732780.0,35322708.0,22.73138999938965
401039.9229612,199999.96875,9257.4892578125,85701104.0,128891712.0,30835338.0,35322708.0,22.536962509155273
401039.9346542,199999.96875,9298.865234375,86468904.0,130259624.0,31162588.0,35322708.0,22.39518165588379
401039.9351654,199999.96875,9265.0830078125,85841768.0,131969392.0,31571626.0,35322708.0,22.327829360961914
401039.9362903,199999.96875,9148.974609375,83703728.0,133475952.0,31932044.0,35322708.0,22.308990478515625
401039.936482,199999.96875,8944.3095703125,80000680.0,134317312.0,32133328.0,35322708.0,22.27971839904785
401039.9488329,199999.96875,8646.099609375,74755048.0,134136512.0,32090074.0,32090074.0,22.170684814453125
401039.9490136,199999.96875,8250.904296875,68077424.0,132693952.0,31744966.0,32090074.0,21.931991577148438
401039.9492701,199999.96875,7757.0732421875,60172184.0,129870320.0,31069452.0,32090074.0,21.575490951538086
401039.9495723,199999.96875,7164.93603515625,51336308.0,125660864.0,30062410.0,32090074.0,21.205087661743164
401039.9642962,199999.96875,6476.9365234375,41950708.0,120162840.0,28747088.0,32090074.0,20.938167572021484
401039.9644635,199999.96875,5697.69677734375,32463750.0,113557288.0,27166816.0,32090074.0,20.777435302734375
401039.9648262,199999.96875,4834.01953125,23367744.0,106087728.0,25379836.0,32090074.0,20.62057113647461
401039.9650338,199999.96875,3894.824951171875,15169661.0,98037416.0,23453930.0,32090074.0,20.38627052307129
401039.9786614,199999.96875,2891.017578125,8357982.5,89706688.0,21460928.0,32090074.0,20.088449478149414
401039.9798158,199999.96875,1835.3017578125,3368332.75,81392624.0,19471920.0,17552950.0,19.798410415649414
401039.9800441,199999.96875,741.9353637695312,550468.0,73371328.0,17552950.0,17552950.0,19.554794311523438
401039.9802517,199999.96875,-373.5586853027344,139546.09375,65884096.0,15761744.0,17552950.0,19.31488609313965
401039.9934703,199999.96875,-1494.720458984375,2234189.25,59127768.0,14145398.0,17552950.0,18.995037078857422
401039.9953611,199999.96875,-2604.510986328125,6783477.5,53248972.0,12738987.0,17552950.0,18.555130004882812
401039.9958943,199999.96875,-3685.686279296875,13584283.0,48342260.0,11565133.0,17552950.0,18.034826278686523
401039.9960504,199999.96875,-4721.1826171875,22289564.0,44451544.0,10634341.0,17552950.0,17.51694679260254
401040.0234076,199999.96875,-5694.5,32427328.0,41574104.0,9945957.0,17552950.0,17.082860946655273
401040.0272556,199999.96875,-6590.0654296875,43428960.0,39666488.0,9489589.0,17552950.0,16.792831420898438
401040.0301818,199999.96875,-7393.5810546875,54665044.0,38651776.0,9246835.0,17552950.0,16.663116455078125
401040.0313429,199999.96875,-8092.3427734375,65486008.0,38427264.0,9193125.0,17552950.0,16.64115333557129
401040.0385516,199999.96875,-8675.5107421875,75264488.0,38872404.0,9299616.0,9299616.0,16.61333656311035
401040.0401356,199999.96875,-9134.3330078125,83436032.0,39856216.0,9534979.0,9299616.0,16.44378089904785
401040.04094,199999.96875,-9462.3388671875,89535856.0,41244160.0,9867022.0,9299616.0,16.038463592529297
401040.0411833,199999.96875,-9655.4423828125,93227568.0,42904044.0,10264125.0,9299616.0,15.432714462280273
401040.0537711,199999.96875,-9712.0205078125,94323352.0,44711028.0,10696416.0,9299616.0,14.79650592803955
