Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
78.828,-73223.234375,199999.96875,199999.96875,175621.75,49839.73828125,199999.96875,199999.96875,-1.998311499986329,0
78.832,-72177.109375,199999.96875,199999.96875,175534.171875,49910.38671875,199999.96875,199999.96875,-1.9943114999863383,0
78.836,-73515.8515625,199999.96875,199999.96875,175709.25,50333.0234375,199999.96875,199999.96875,-1.9903114999863334,0
78.84,-74548.859375,199999.96875,199999.96875,175810.921875,50229.90625,199999.96875,199999.96875,-1.9863114999863285,0
78.844,-73478.109375,199999.96875,199999.96875,175634.453125,49878.76953125,199999.96875,199999.96875,-1.9823114999863378,0
78.848,-72096.875,199999.96875,199999.96875,175507.25,49859.05078125,199999.96875,199999.96875,-1.978311499986333,0
78.852,-73186.5625,199999.96875,199999.96875,175636.21875,50262.0234375,199999.96875,199999.96875,-1.974311499986328,0
78.856,-74438.9609375,199999.96875,199999.96875,175807.09375,50273.51953125,199999.96875,199999.96875,-1.9703114999863374,0
78.86,-73624.5625,199999.96875,199999.96875,175653.71875,49927.66796875,199999.96875,199999.96875,-1.9663114999863325,0
78.864,-71930.9609375,199999.96875,199999.96875,175474.328125,49798.25,199999.96875,199999.96875,-1.9623114999863276,0
78.868,-72611.2890625,199999.96875,199999.96875,175547.203125,50162.125,199999.96875,199999.96875,-1.958311499986337,0
78.872,-73973.7109375,199999.96875,199999.96875,175772.328125,50297.4296875,199999.96875,199999.96875,-1.954311499986332,0
78.876,-73562.859375,199999.96875,199999.96875,175640.625,49960.98046875,199999.96875,199999.96875,-1.9503114999863271,0
78.88,-71905.3125,199999.96875,199999.96875,175450.796875,49745.63671875,199999.96875,199999.96875,-1.9463114999863365,0
78.884,-72193.3984375,199999.96875,199999.96875,175487.96875,50060.73046875,199999.96875,199999.96875,-1.9423114999863316,0
78.888,-73615.4609375,199999.96875,199999.96875,175730.46875,50312.45703125,199999.96875,199999.96875,-1.9383114999863267,0
78.892,-73546.2734375,199999.96875,199999.96875,175629.078125,50000.29296875,199999.96875,199999.96875,-1.934311499986336,0
78.896,-71906.5625,199999.96875,199999.96875,175433.671875,49727.20703125,199999.96875,199999.96875,-1.9303114999863311,0
78.9,-71753.3984375,199999.96875,199999.96875,175439.0,49975.1796875,199999.96875,199999.96875,-1.9263114999863262,0
78.904,-73267.109375,199999.96875,199999.96875,175659.71875,50313.16796875,199999.96875,199999.96875,-1.9223114999863355,0
78.908,-73601.4765625,199999.96875,199999.96875,175627.171875,50053.48046875,199999.96875,199999.96875,-1.9183114999863307,0
78.912,-72104.6875,199999.96875,199999.96875,175429.71875,49736.40625,199999.96875,199999.96875,-1.9143114999863258,0
78.916,-71507.4140625,199999.96875,199999.96875,175410.34375,49907.16796875,199999.96875,199999.96875,-1.910311499986335,0
78.92,-72984.0,199999.96875,199999.96875,175600.5,50295.8046875,199999.96875,199999.96875,-1.9063114999863302,0
78.924,-73674.796875,199999.96875,199999.96875,175632.46875,50104.69921875,199999.96875,199999.96875,-1.9023114999863253,0
78.928,-72358.375,199999.96875,199999.96875,175452.703125,49771.21875,199999.96875,199999.96875,-1.8983114999863346,0
78.932,-71352.7265625,199999.96875,199999.96875,175385.078125,49846.0546875,199999.96875,199999.96875,-1.8943114999863297,0
78.936,-72686.3125,199999.96875,199999.96875,175549.34375,50258.96875,199999.96875,199999.96875,-1.8903114999863249,0
78.94,-73682.8359375,199999.96875,199999.96875,175645.375,50158.90625,199999.96875,199999.96875,-1.8863114999863342,0
78.944,-72621.3515625,199999.96875,199999.96875,175480.5,49813.98828125,199999.96875,199999.96875,-1.8823114999863293,0
78.948,-71287.921875,199999.96875,199999.96875,175367.0,49794.32421875,199999.96875,199999.96875,-1.8783114999863386,0
78.952,-72379.5625,199999.96875,199999.96875,175489.921875,50201.0859375,199999.96875,199999.96875,-1.8743114999863337,0
78.956,-73617.2734375,199999.96875,199999.96875,175653.296875,50216.91796875,199999.96875,199999.96875,-1.8703114999863288,0
78.96,-72856.6875,199999.96875,199999.96875,175505.671875,49876.45703125,199999.96875,199999.96875,-1.8663114999863382,0
78.964,-71318.859375,199999.96875,199999.96875,175344.703125,49754.88671875,199999.96875,199999.96875,-1.8623114999863333,0
78.968,-72064.4140625,199999.96875,199999.96875,175426.625,50129.0546875,199999.96875,199999.96875,-1.8583114999863284,0
78.972,-73467.75,199999.96875,199999.96875,175647.921875,50270.54296875,199999.96875,199999.96875,-1.8543114999863377,0
78.976,-73065.0,199999.96875,199999.96875,175522.59375,49945.23828125,199999.96875,199999.96875,-1.8503114999863328,0
