Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
36.836,199999.96875,199999.96875,199999.96875,199999.96875,374.1502990722656,199999.96875,-19895.197265625,-1.999483700037004,2
36.84,199999.96875,199999.96875,199999.96875,199999.96875,383.1148376464844,199999.96875,-19816.900390625,-1.9954837000369992,2
36.844,199999.96875,199999.96875,199999.96875,199999.96875,310.54022216796875,199999.96875,-19534.828125,-1.9914837000370014,2
36.848,199999.96875,199999.96875,199999.96875,199999.96875,318.3365173339844,199999.96875,-19012.71484375,-1.9874837000370036,2
36.852,199999.96875,199999.96875,199999.96875,199999.96875,379.0617065429688,199999.96875,-18993.712890625,-1.9834837000370058,2
36.856,199999.96875,199999.96875,199999.96875,199999.96875,395.274169921875,199999.96875,-19081.333984375,-1.979483700037001,2
36.86,199999.96875,199999.96875,199999.96875,199999.96875,288.2242736816406,199999.96875,-18902.515625,-1.9754837000370031,2
36.864,199999.96875,199999.96875,199999.96875,199999.96875,281.9300231933594,199999.96875,-18594.625,-1.9714837000370053,2
36.868,199999.96875,199999.96875,199999.96875,199999.96875,390.2197265625,199999.96875,-18748.166015625,-1.9674837000370005,2
36.872,199999.96875,199999.96875,199999.96875,199999.96875,435.8291931152344,199999.96875,-18961.693359375,-1.9634837000370027,2
36.876,199999.96875,199999.96875,199999.96875,199999.96875,283.5751037597656,199999.96875,-19027.115234375,-1.959483700037005,2
36.88,199999.96875,199999.96875,199999.96875,199999.96875,255.2747802734375,199999.96875,-19023.27734375,-1.955483700037,2
36.884,199999.96875,199999.96875,199999.96875,199999.96875,366.568603515625,199999.96875,-19127.96484375,-1.9514837000370022,2
36.888,199999.96875,199999.96875,199999.96875,199999.96875,454.59271240234375,199999.96875,-19270.994140625,-1.9474837000370044,2
36.892,199999.96875,199999.96875,199999.96875,199999.96875,296.3304748535156,199999.96875,-19214.10546875,-1.9434837000369996,2
36.896,199999.96875,199999.96875,199999.96875,199999.96875,140.42855834960938,199999.96875,-19107.583984375,-1.9394837000370018,2
36.9,199999.96875,199999.96875,199999.96875,199999.96875,244.6890106201172,199999.96875,-18461.396484375,-1.935483700037004,2
36.904,199999.96875,199999.96875,199999.96875,199999.96875,476.6941833496094,199999.96875,-17912.224609375,-1.931483700036999,2
36.908,199999.96875,199999.96875,199999.96875,199999.96875,291.53826904296875,199999.96875,-17645.744140625,-1.9274837000370013,2
36.912,199999.96875,199999.96875,199999.96875,199999.96875,-6.127357482910156,199999.96875,-17137.505859375,-1.9234837000370035,2
36.916,199999.96875,199999.96875,199999.96875,199999.96875,183.01010131835935,199999.96875,-16082.669921875,-1.9194837000370057,2
36.92,199999.96875,199999.96875,199999.96875,199999.96875,373.4588928222656,199999.96875,-15110.732421875,-1.9154837000370009,2
36.924,199999.96875,199999.96875,199999.96875,199999.96875,304.412841796875,199999.96875,-14399.552734375,-1.911483700037003,2
36.928,199999.96875,199999.96875,199999.96875,199999.96875,-33.06865692138672,199999.96875,-13937.068359375,-1.9074837000370053,2
36.932,199999.96875,199999.96875,199999.96875,199999.96875,89.40696716308595,199999.96875,-13237.810546875,-1.9034837000370004,2
36.936,199999.96875,199999.96875,199999.96875,199999.96875,577.8551635742188,199999.96875,-13174.7734375,-1.8994837000370026,2
36.94,199999.96875,199999.96875,199999.96875,199999.96875,568.0084838867188,199999.96875,-13459.0390625,-1.8954837000370048,2
36.944,199999.96875,199999.96875,199999.96875,199999.96875,-89.66923522949219,199999.96875,-13475.609375,-1.891483700037,2
