Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
46.52,46880.08203125,-23011.375,48890.28125,12009.287109375,9486.2001953125,45476.91796875,-3308.201171875,-1.99907889998984,1
46.524,49603.0859375,-19801.85546875,48357.82421875,10802.412109375,10745.9794921875,45878.41796875,-1924.5625,-1.9950788999898421,1
46.528,47449.8046875,-23600.103515625,48346.0234375,11650.3251953125,9378.171875,45467.28125,-3371.453857421875,-1.9910788999898443,1
46.532,44494.8671875,-27203.41796875,48747.26171875,12824.3935546875,7954.88427734375,44933.82421875,-4927.73046875,-1.9870788999898465,1
46.536,46279.2421875,-23904.396484375,48882.23046875,12249.9716796875,9156.8251953125,45375.94921875,-3655.219482421875,-1.9830788999898417,1
46.54,49502.23828125,-19776.322265625,48393.0625,10889.6015625,10759.1640625,45898.65625,-1905.6322021484373,-1.9790788999898439,1
46.544,48082.42578125,-22673.849609375,48226.7421875,11395.4326171875,9733.84375,45577.625,-2982.42578125,-1.975078899989846,1
46.548,44712.07421875,-27079.25,48604.44921875,12718.5595703125,8011.484375,44961.19921875,-4848.52880859375,-1.9710788999898412,1
46.552,45779.375,-24679.49609375,48860.76953125,12459.732421875,8877.349609375,45290.83203125,-3941.655517578125,-1.9670788999898434,1
46.556,49208.16796875,-20037.962890625,48433.76171875,11050.0595703125,10660.8876953125,45878.9609375,-2008.7005615234373,-1.9630788999898456,1
46.56,48633.0546875,-21828.724609375,48119.5,11158.609375,10046.029296875,45667.58203125,-2640.12841796875,-1.9590788999898407,1
46.564,45133.33203125,-26647.35546875,48478.23046875,12570.810546875,8201.7421875,45046.33203125,-4629.58837890625,-1.955078899989843,1
46.568,45332.08203125,-25399.021484375,48814.3671875,12633.396484375,8629.4658203125,45204.55078125,-4211.85546875,-1.9510788999898452,1
46.572,48768.9296875,-20527.24609375,48464.30078125,11250.4501953125,10475.302734375,45817.23828125,-2217.674560546875,-1.9470788999898403,1
46.576,49100.14453125,-21057.728515625,48035.03125,10967.1376953125,10334.1123046875,45748.5,-2337.52734375,-1.9430788999898425,1
46.58,45658.54296875,-26017.978515625,48334.76953125,12362.71875,8460.8095703125,45145.54296875,-4353.61962890625,-1.9390788999898447,1
46.584,44980.5546875,-26032.85546875,48732.6875,12763.7158203125,8410.8359375,45128.01953125,-4439.92578125,-1.9350788999898398,1
46.588,48231.91796875,-21204.666015625,48493.21875,11495.28125,10227.013671875,45740.34375,-2489.185546875,-1.931078899989842,1
46.592,49460.39453125,-20399.71484375,47968.625,10821.3671875,10574.1044921875,45819.6171875,-2081.37060546875,-1.9270788999898443,1
46.596,46299.19921875,-25211.744140625,48205.83203125,12136.365234375,8801.4375,45284.25,-3988.957763671875,-1.9230788999898465,1
46.6,44756.03125,-26517.25,48627.7109375,12835.3359375,8264.732421875,45067.71875,-4609.46630859375,-1.9190788999898416,1
46.604,47642.6171875,-21998.21484375,48505.05078125,11744.4765625,9938.8857421875,45645.79296875,-2812.337890625,-1.9150788999898438,1
46.608,49714.2109375,-19874.478515625,47949.67578125,10756.015625,10785.1513671875,45895.4609375,-1864.433349609375,-1.911078899989846,1
46.612,46994.07421875,-24293.828125,48080.35546875,11887.693359375,9183.7890625,45425.7734375,-3577.11328125,-1.9070788999898411,1
46.616,44658.78125,-26837.58984375,48483.5625,12834.9326171875,8165.2646484375,45019.4609375,-4710.0068359375,-1.9030788999898434,1
46.62,47056.63671875,-22827.271484375,48500.51953125,11996.388671875,9641.599609375,45551.94921875,-3132.177001953125,-1.8990788999898456,1
46.624,49797.32421875,-19585.634765625,47956.875,10776.28125,10905.9580078125,45953.25,-1736.8079833984375,-1.8950788999898407,1
46.628,47699.14453125,-23307.609375,47936.30078125,11606.3359375,9576.0126953125,45549.96875,-3151.46435546875,-1.891078899989843,1
46.632,44737.8671875,-26926.927734375,48334.5546875,12789.4892578125,8157.77880859375,45017.89453125,-4706.93212890625,-1.8870788999898451,1
46.636,46493.51171875,-23667.8125,48471.40625,12228.966796875,9344.125,45458.08203125,-3449.201904296875,-1.8830788999898402,1
46.64,49712.28125,-19536.521484375,47980.16796875,10868.1220703125,10943.2001953125,45982.125,-1697.7548828125,-1.8790788999898425,1
46.644,48344.26171875,-22370.771484375,47807.6484375,11353.8515625,9946.7294921875,45670.1796875,-2745.62841796875,-1.8750788999898447,1
46.648,45005.11328125,-26746.609375,48173.05078125,12672.4267578125,8248.9267578125,45057.04296875,-4596.4716796875,-1.8710788999898398,1
46.652,46017.1484375,-24423.265625,48421.625,12423.515625,9082.6767578125,45370.84375,-3723.66943359375,-1.867078899989842,1
46.656,49434.6171875,-19794.275390625,48006.80078125,11033.4169921875,10858.203125,45971.5859375,-1791.2152099609375,-1.8630788999898442,1
46.66,48911.1171875,-21506.384765625,47689.61328125,11127.8544921875,10275.9609375,45769.40625,-2390.456298828125,-1.8590788999898464,1
