Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
55.084,41802.71875,-452.9476623535156,-7523.46630859375,122810.5859375,-4342.84228515625,42655.01953125,42106.91796875,-1.9989887000145359,0
55.088,41495.61328125,-697.7796630859375,-7696.3662109375,122791.5390625,-4679.1796875,42596.41796875,42451.48046875,-1.994988700014538,0
55.092,41454.625,-1908.540771484375,-8372.3076171875,122955.4765625,-6181.7646484375,42696.3359375,43618.5625,-1.9909887000145403,0
55.096,41774.41796875,-1717.49609375,-8243.15625,122945.1484375,-5891.22802734375,42744.9921875,43264.23046875,-1.9869887000145425,0
55.1,41795.66796875,-618.67236328125,-7635.47509765625,122759.375,-4524.51806640625,42627.48046875,42161.04296875,-1.9829887000145376,0
55.104,41486.4296875,-606.34619140625,-7659.12646484375,122706.796875,-4556.29931640625,42549.5859375,42269.01953125,-1.9789887000145399,0
55.108,41377.8046875,-1784.4918212890625,-8323.193359375,122858.3984375,-6017.70947265625,42629.89453125,43433.95703125,-1.974988700014542,0
55.112,41688.63671875,-1884.6751708984373,-8360.9111328125,122895.5625,-6093.9794921875,42703.8671875,43369.53125,-1.9709887000145372,0
55.116,41780.14453125,-824.3323364257811,-7765.84228515625,122724.109375,-4763.484375,42608.5234375,42271.5234375,-1.9669887000145394,0
55.12,41487.58203125,-548.4343872070312,-7642.36572265625,122630.3515625,-4472.5419921875,42510.34375,42116.76953125,-1.9629887000145416,0
55.124,41319.92578125,-1609.468505859375,-8248.0439453125,122753.3515625,-5797.00537109375,42567.54296875,43201.3046875,-1.9589887000145367,0
55.128,41598.11328125,-2024.3408203125,-8461.7861328125,122831.734375,-6261.99365234375,42657.44921875,43453.88671875,-1.954988700014539,0
55.132,41748.67578125,-1058.2926025390625,-7911.9208984375,122683.0,-5037.38037109375,42592.67578125,42415.09375,-1.9509887000145412,0
55.136,41499.8046875,-526.28515625,-7641.9833984375,122555.4609375,-4424.6435546875,42475.73046875,41991.98046875,-1.9469887000145363,0
55.14,41282.65625,-1424.6226806640625,-8166.33837890625,122649.171875,-5552.7451171875,42504.29296875,42939.07421875,-1.9429887000145385,0
55.144,41498.8046875,-2134.418701171875,-8547.2841796875,122768.796875,-6397.0810546875,42610.08203125,43511.91796875,-1.9389887000145407,0
55.148,41705.54296875,-1295.9244384765625,-8068.37109375,122645.3515625,-5320.1201171875,42573.90625,42570.8046875,-1.9349887000145358,0
55.152,41509.03125,-537.3001708984375,-7666.77978515625,122487.859375,-4418.4443359375,42444.63671875,41898.70703125,-1.930988700014538,0
55.156,41251.44921875,-1240.6351318359375,-8089.63818359375,122541.9375,-5310.7021484375,42444.0859375,42665.39453125,-1.9269887000145403,0
55.16,41391.375,-2200.10302734375,-8612.2998046875,122692.359375,-6478.57275390625,42558.79296875,43517.83203125,-1.9229887000145425,0
55.164,41651.80078125,-1534.724365234375,-8223.748046875,122602.8515625,-5605.6982421875,42547.6796875,42726.3984375,-1.9189887000145376,0
55.168,41527.84375,-589.2516479492188,-7709.62353515625,122421.7109375,-4461.83740234375,42419.48828125,41845.80078125,-1.9149887000145398,0
55.172,41247.63671875,-1064.8489990234375,-8006.07275390625,122450.1484375,-5077.31494140625,42396.5,42420.80078125,-1.910988700014542,0
55.176,41291.07421875,-2209.759033203125,-8638.453125,122615.875,-6487.91796875,42505.10546875,43487.45703125,-1.9069887000145371,0
55.18,41590.3125,-1757.6458740234375,-8370.5908203125,122559.1015625,-5878.4482421875,42521.40625,42880.32421875,-1.9029887000145393,0
55.184,41543.1484375,-693.46435546875,-7784.15234375,122373.1484375,-4568.6005859375,42396.1875,41843.9375,-1.8989887000145416,0
55.188,41237.14453125,-936.74658203125,-7952.6904296875,122355.7890625,-4903.60302734375,42346.125,42195.34375,-1.8949887000145367,0
55.192,41203.8359375,-2144.98046875,-8630.0859375,122522.2890625,-6402.921875,42442.0625,43361.23828125,-1.890988700014539,0
55.196,41521.07421875,-1956.9876708984373,-8500.599609375,122511.671875,-6119.6328125,42490.21875,43010.95703125,-1.886988700014541,0
55.2,41544.91796875,-855.1598510742188,-7891.60791015625,122327.9609375,-4750.49072265625,42373.20703125,41905.14453125,-1.8829887000145362,0
55.204,41235.16796875,-841.6653442382812,-7916.0927734375,122276.2890625,-4775.4287109375,42297.19921875,42008.48046875,-1.8789887000145384,0
55.208,41123.3671875,-2017.951171875,-8581.615234375,122425.296875,-6239.27197265625,42378.6171875,43174.67578125,-1.8749887000145407,0
55.212,41435.76953125,-2121.520263671875,-8620.8828125,122460.0859375,-6315.5888671875,42449.88671875,43112.66796875,-1.8709887000145358,0
55.216,41524.91796875,-1063.2994384765625,-8026.6484375,122288.9765625,-4988.59912109375,42353.6796875,42010.86328125,-1.866988700014538,0
55.22,41237.26171875,-784.7786865234375,-7899.81005859375,122196.984375,-4690.33740234375,42256.40625,41855.2421875,-1.8629887000145402,0
55.224,41066.0546875,-1844.3587646484373,-8509.0419921875,122320.4375,-6019.640625,42311.71875,42941.26953125,-1.8589887000145424,0
55.228,41344.0,-2263.236328125,-8721.0673828125,122399.6875,-6490.875,42402.32421875,43198.5625,-1.8549887000145375,0
55.232,41496.33203125,-1296.591796875,-8172.29833984375,122254.0,-5264.5927734375,42333.23046875,42162.0625,-1.8509887000145397,0
55.236,41247.51953125,-760.3406982421875,-7901.26416015625,122123.609375,-4649.4248046875,42220.33203125,41737.80078125,-1.846988700014542,0
55.24,41027.3359375,-1660.823974609375,-8428.7890625,122214.3984375,-5780.62646484375,42252.7109375,42687.84375,-1.842988700014537,0
