location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.005530899856239557,0.016815099865198135,0.016815099865198135,12.34881899971515,space,12.30970050022006,None,,,,,,,,,,,,,,,,,,,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
,,,,,,,,,,,,,,,,,,,,,12.348905900027603,12.356880099978298,13.372340600006282,13.343055699951947,,,,,,,,,,,,,,,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,13.372340600006282,,,,,,,,,,,,,,13.360058799851686,13.372340600006282,13.372340600006282,13.372340600006282,14.343808999750763,14.368495299946517,15.335575999692082,15.352966299746186,None,1,None,2104701.3011497,,,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,15.361872799694538,,,,,,,,,,,,,,15.353817000053823,15.361872799694538,15.361872799694538,15.361872799694538,16.344558199867606,16.353085999842733,17.337280499748886,17.346738799940795,None,1,None,2104703.2951618,17.354634399991482,17.354634399991482,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,17.354634399991482,,,,,,,,,,,,,,17.347424400039017,17.354634399991482,17.354634399991482,17.354634399991482,18.346646199934185,18.346646199934185,19.338409399613738,19.339108099695295,None,1,collecting_baseline,2104705.2888017,19.34652779996395,19.34652779996395,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,19.34652779996395,,,,,,,,,,,,,,19.339952499605715,19.34652779996395,19.34652779996395,19.34652779996395,20.33960419986397,20.33960419986397,21.33244499983266,21.332936099730432,None,1,None,2104707.2813084,21.341178299859166,21.341178299859166,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,21.341178299859166,,,,,,,,,,,,,,21.333525899797678,21.341178299859166,21.341178299859166,21.341178299859166,22.341241399757564,22.333189900033176,23.334607699885964,23.326404799707234,None,0,collecting_baseline,2104709.2749037,23.334607699885964,23.334607699885964,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,23.334607699885964,,,,,,,,,,,,,,23.32709169993177,23.342422399669886,23.342422399669886,23.342422399669886,24.343659800011665,24.334933700039983,25.336841399781406,25.327978000044823,None,1,collecting_baseline,2104711.2684631,25.336841399781406,25.336841399781406,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,25.336841399781406,,,,,,,,,,,,,,25.329179499763995,25.34431489976123,25.34431489976123,25.34431489976123,26.34463269961998,26.3362082997337,27.336827399674803,27.328981599770486,None,1,collecting_baseline,2104713.270519,27.336827399674803,27.336827399674803,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,27.336827399674803,,,,,,,,,,,,,,27.329544299747795,27.34529750002548,27.34529750002548,27.34529750002548,28.346210199873894,28.337952999863774,29.338591099716723,29.330627999734133,None,1,collecting_baseline,2104715.2709284,29.338591099716723,29.338591099716723,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,29.338591099716723,,,,,,,,,,,,,,29.331303699873388,29.347533399704844,29.347533399704844,29.347533399704844,30.34768070001155,30.339254499878734,31.339821300003678,31.332627600058913,None,0,LIFU_ON,2104717.2726678,31.339821300003678,31.339821300003678,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,31.339821300003678,,,,,,,,,,,,,,31.33322639996186,31.339821300003678,31.339821300003678,31.339821300003678,32.34109009988606,32.33269289974123,33.3333765999414,33.32599769998342,None,0,None,2104719.2746027,33.3333765999414,33.3333765999414,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,33.3333765999414,,,,,,,,,,,,,,33.32692799996585,33.341869099996984,33.341869099996984,33.341869099996984,34.343042799737304,34.334940399974585,35.3369169998914,35.32917340006679,None,1,LIFU_OFF,2104721.2682981,35.3369169998914,35.3369169998914,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,35.3369169998914,,,,,,,,,,,,,,35.3321110997349,35.34410490002483,35.34410490002483,35.34410490002483,36.34495559986681,36.336138600017875,37.33638959983364,37.32970939995721,None,1,None,2104723.2734316,37.33638959983364,37.33638959983364,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,37.33638959983364,,,,,,,,,,,,,,37.33025550004095,37.34556739963591,37.34556739963591,37.34556739963591,38.346643599681556,38.338289299979806,39.33818929968402,39.33061379985884,None,1,None,2104725.2716515,39.33818929968402,39.33818929968402,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,39.33818929968402,,,,,,,,,,,,,,39.331201899796724,39.347061599604785,39.347061599604785,39.347061599604785,40.42214839998633,40.42214839998633,,41.34985810006037,None,1,None,2104727.2725596,41.34044329961762,41.34044329961762,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, -0.2]",space,14,14,0,None,0,0,14,14,14,41.35713029978797,,,,,,,,,,,,,,41.350612399633974,41.35713029978797,41.35713029978797,41.35713029978797,42.340517200063914,42.34907619981095,43.333062399644405,43.3430360998027,None,0,None,2104729.2919814,43.35183519963175,43.35183519963175,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, 0.2]",None,15,15,0,None,1,0,15,15,15,43.35183519963175,,,,,,,,,,,,,,43.34406249970198,43.35183519963175,43.35183519963175,43.35183519963175,44.34227559994906,44.34227559994906,45.33504249993712,45.33562649972737,None,1,LIFU_ON,2104731.2852197,45.34257199987769,45.34257199987769,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,0,16,16,16,45.34257199987769,,,,,,,,,,,,,,45.33633610000834,45.34257199987769,45.34257199987769,45.34257199987769,46.344236199744046,46.336030799895525,47.33657949976623,47.328770000021905,None,1,None,2104733.2777036,47.33657949976623,47.33657949976623,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, 0]",None,17,17,0,None,1,0,17,17,17,47.33657949976623,,,,,,,,,,,,,,47.32955479994416,47.34482039976865,47.34482039976865,47.34482039976865,48.34576119994745,48.33723589964211,49.338088599964976,49.33031489979476,None,1,None,2104735.2708703,49.338088599964976,49.338088599964976,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, -0.2]",None,18,18,0,None,1,0,18,18,18,49.338088599964976,,,,,,,,,,,,,,49.33083189977333,49.34629389969632,49.34629389969632,49.34629389969632,50.347996699623764,50.33924899995327,51.341009699739516,51.332955699879676,None,1,LIFU_OFF,2104737.2722328,51.341009699739516,51.341009699739516,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0]",None,19,19,0,None,1,0,19,19,19,51.341009699739516,,,,,,,,,,,,,,51.33373889978975,51.341009699739516,51.341009699739516,51.341009699739516,52.34138499991968,52.33297339966521,53.33557289978489,53.32619279995561,None,1,None,2104739.2750484,53.33557289978489,53.33557289978489,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, -0.2]",space,20,20,0,None,0,0,20,20,20,53.33557289978489,,,,,,,,,,,,,,53.327086799778044,53.34337309980765,53.34337309980765,53.34337309980765,54.342557199765,54.342557199765,55.33465969981626,55.32777989981696,None,0,None,2104741.2684316,55.33465969981626,55.33465969981626,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,0,21,21,21,55.33465969981626,,,,,,,,,,,,,,55.328342400025576,55.34317879984155,55.34317879984155,55.34317879984155,56.34393829992041,56.33536969963461,57.34076719963923,57.33334769960493,None,1,None,2104743.2697294,57.34076719963923,57.34076719963923,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,0,22,22,22,57.34076719963923,,,,,,,,,,,,,,57.334183800034225,57.34076719963923,57.34076719963923,57.34076719963923,58.35110489977524,58.33789249975234,59.355019100010395,59.34262159978971,None,1,None,2104745.2755282,59.33252119971439,59.33252119971439,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,0,23,23,23,59.355019100010395,,,,,,,,,,,,,,59.34331809962168,59.355019100010395,59.355019100010395,59.355019100010395,60.348249699920416,60.348249699920416,61.353638999629766,61.33960169972852,None,0,None,2104747.2846793,61.353638999629766,61.353638999629766,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0, 0]",None,24,24,0,None,1,0,24,24,24,61.353638999629766,,,,,,,,,,,,,,61.34068570006639,61.353638999629766,61.353638999629766,61.353638999629766,62.34004169981927,62.34817019989714,63.33246419997886,63.341689199674875,None,1,LIFU_ON,2104749.2819319,63.34921139990911,63.34921139990911,003,001,2026-07-07_09h02.33.063,untitled,,2026.1.3,113.8082402139007,2026-07-07 09h02.33.420321 -0700,
"[0.2, 0.2]",None,25,25,0,,,0,25,25,25,63.34921139990911,,,,,,,,,,,,,,63.342315999791026,63.34921139990911,63.34921139990911,63.34921139990911,64.33841719990596,64.34415529994294,,,,,,,,,,,,,,,,,
