location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials.response_2.rt,trials.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.006780300289392471,0.018544699996709824,0.018544699996709824,58.089564700145274,space,58.06845499994233,None,,,,,,,,,,,,,,,,,,,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
,,,,,,,,,,,,,,,,,,,,,,,58.089631700422615,58.09721530042589,59.11082760011777,59.081780300009996,,,,,,,,,,,,,,,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,59.11082760011777,,,,,,,,,,,,,,59.09836510010064,59.11082760011777,59.11082760011777,59.11082760011777,60.08193790027872,60.107178300153464,61.07436820026487,61.09166580019519,None,1,None,2112871.2569985,,,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,61.09932530019432,,,,,,,,,,,,,,61.09229620033875,61.09932530019432,61.09932530019432,61.09932530019432,62.08336120005697,62.09195220004767,63.076655900105834,63.08478010026738,None,1,None,2112873.2516127,63.09317220002413,63.09317220002413,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,,,0,2,2,2,63.09317220002413,,,,,,,,,,,,,,63.085350800305605,63.09317220002413,63.09317220002413,63.09317220002413,64.08486580010504,64.08486580010504,65.07798290019855,65.07848450029269,None,1,None,2112875.2447043,65.08579799998552,65.08579799998552,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, 0]",None,3,3,0,None,1,,,0,3,3,3,65.08579799998552,,,,,,,,,,,,,,65.07903060037643,65.08579799998552,65.08579799998552,65.08579799998552,66.08671240042895,66.07849530037493,67.08034009998664,67.071426700335,None,1,None,2112877.2383825,67.08034009998664,67.08034009998664,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,,,0,4,4,4,67.08034009998664,,,,,,,,,,,,,,67.07231230009347,67.08766810037196,67.08766810037196,67.08766810037196,68.08839640021324,68.08036240004003,69.08068260038272,69.07289690012112,None,0,None,2112879.2316467,69.08068260038272,69.08068260038272,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,,,0,5,5,5,69.08068260038272,,,,,,,,,,,,,,69.07359850034118,69.08068260038272,69.08068260038272,69.08068260038272,70.08167830016464,70.07338160043582,71.07457619998604,71.06635119998828,None,1,None,2112881.2329424,71.07457619998604,71.07457619998604,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,71.07457619998604,,,,,,,,,,,,,,71.066994599998,71.08264950010926,71.08264950010926,71.08264950010926,72.08317010011524,72.07528580026701,73.07667169999331,73.06791970040649,None,1,None,2112883.2263331,73.07667169999331,73.07667169999331,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,73.07667169999331,,,,,,,,,,,,,,73.06849500024691,73.08465530024841,73.08465530024841,73.08465530024841,74.08528870018199,74.07723130006343,75.07747400039807,75.06987250037491,None,1,None,2112885.2278482,75.07747400039807,75.07747400039807,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
