location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.0070418999530375,0.019005099777132273,0.019005099777132273,16.48880029981956,space,16.45035109994933,None,,,,,,,,,,,,,,,,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
,,,,,,,,,,,,,,,,,,,,,16.48896780004725,16.498442799784243,17.489464599639177,,,,,,,,,,,,,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,17.527270999737084,,,,,,,,,,,,,17.515422399621457,17.527270999737084,17.527270999737084,17.527270999737084,18.480555499903858,18.52326209982857,19.47395769972354,19.49171179998666,None,1,1.0,2123783.9691439,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,19.498713199980557,,,,,,,,,,,,,19.492364099714905,19.498713199980557,19.498713199980557,19.498713199980557,20.482763199601322,20.49069989984855,21.474950599949807,21.48406259994954,None,1,None,2123785.9462149,21.491441200021654,21.491441200021654,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,21.491441200021654,,,,,,,,,,,,,21.484749999828637,21.491441200021654,21.491441200021654,21.491441200021654,22.48442199965939,22.48442199965939,23.476621399633586,23.47718119993806,None,1,0.0,2123787.9386051,23.48486980004236,23.48486980004236,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,23.48486980004236,,,,,,,,,,,,,23.477653099689633,23.48486980004236,23.48486980004236,23.48486980004236,24.48655080003664,24.477109799627215,25.48002230003476,25.472513899672776,None,1,None,2123789.9315422,25.48002230003476,25.48002230003476,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,25.48002230003476,,,,,,,,,,,,,25.47333179973066,25.48002230003476,25.48002230003476,25.48002230003476,26.487723299767822,26.470607900060713,27.480036299675703,27.47204410005361,None,0,None,2123791.9270823,27.471575899980962,27.471575899980962,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,27.480036299675703,,,,,,,,,,,,,27.47259259968996,27.480036299675703,27.480036299675703,27.480036299675703,28.48128469986841,28.4722030996345,29.473850999958813,29.465259099844843,None,1,None,2123793.9264661,29.473850999958813,29.473850999958813,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,29.473850999958813,,,,,,,,,,,,,29.466033999808133,29.48349819984287,29.48349819984287,29.48349819984287,30.482441099826247,30.473908300045878,31.47469379985705,31.467033599969,None,1,None,2123795.9198653,31.47469379985705,31.47469379985705,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,31.47469379985705,,,,,,,,,,,,,31.467689799610525,31.48346549971029,31.48346549971029,31.48346549971029,32.484925999771804,32.4755468997173,33.47647179989144,33.46911279996857,None,1,1.0,2123797.9215407,33.47647179989144,33.47647179989144,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,33.47647179989144,,,,,,,,,,,,,33.469894899986684,33.48865529987961,33.48865529987961,33.48865529987961,34.48511949973181,34.48511949973181,35.479324099607766,35.471798699814826,None,0,None,2123799.9236429,35.479324099607766,35.479324099607766,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,35.479324099607766,,,,,,,,,,,,,35.47266800003126,35.479324099607766,35.479324099607766,35.479324099607766,36.48861399991438,36.47070699976757,37.488226799760014,37.480313499923795,None,0,None,2123801.9264517,37.47088019968942,37.47088019968942,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,37.488226799760014,,,,,,,,,,,,,37.480994099751115,37.488226799760014,37.488226799760014,37.488226799760014,38.481034399941564,38.481034399941564,39.473079700022936,39.473619000054896,None,1,0.0,2123803.9348222,39.481431500054896,39.481431500054896,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,39.481431500054896,,,,,,,,,,,,,39.47440339997411,39.481431500054896,39.481431500054896,39.481431500054896,40.483295399695635,40.47386260004714,41.47499689972028,41.46652439981699,None,1,None,2123805.9282538,41.47499689972028,41.47499689972028,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,41.47499689972028,,,,,,,,,,,,,41.46698029991239,41.48346439981833,41.48346439981833,41.48346439981833,42.48426289996132,42.47509399987757,43.4755615000613,43.46907449979335,None,1,None,2123807.9208595,43.4755615000613,43.4755615000613,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,43.4755615000613,,,,,,,,,,,,,43.46962670003995,43.485475099645555,43.485475099645555,43.485475099645555,44.5696689998731,44.5696689998731,,45.49552719993517,None,1,None,2123809.9234973,45.47975769964978,45.47975769964978,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, -0.2]",space,14,14,0,None,0,0,14,14,14,45.502825799863786,,,,,,,,,,,,,45.49609160004184,45.502825799863786,45.502825799863786,45.502825799863786,46.48730289982632,46.49486549990252,47.47975489962846,47.48883519973606,None,0,None,2123811.9499471,47.49537379993126,47.49537379993126,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0.2]",None,15,15,0,None,1,0,15,15,15,47.49537379993126,,,,,,,,,,,,,47.48947749985382,47.49537379993126,47.49537379993126,47.49537379993126,48.48024669988081,48.48890359979123,49.47311390005052,49.481224899645895,None,1,1.0,2123813.9433343,49.489709299989045,49.489709299989045,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,0,16,16,16,49.489709299989045,,,,,,,,,,,,,49.48177329963073,49.489709299989045,49.489709299989045,49.489709299989045,50.4817466000095,50.4817466000095,51.47349669970572,51.47392060002312,None,1,None,2123815.9356444,51.482572000008076,51.482572000008076,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
