location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.004982499871402979,0.013993499800562859,0.013993499800562859,19.06742879981175,space,19.051524000242352,None,,,,,,,,,,,,,,,,,,,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
,,,,,,,,,,,,,,,,,,,,,19.067466100212187,19.075488599948585,20.081420099828392,20.05943029979244,,,,,,,,,,,,,,,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,20.081420099828392,,,,,,,,,,,,,,20.07472260016948,20.081420099828392,20.081420099828392,20.081420099828392,21.05965849990025,21.07674410007894,22.052430300042033,22.068823600187898,None,1,1.0,2631674.9718284,,,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,22.077445399947464,,,,,,,,,,,,,,22.069154900033027,22.077445399947464,22.077445399947464,22.077445399947464,23.06152499979362,23.069682400207967,24.053841600194573,24.06270040012896,None,1,None,2631676.9662705,24.070567599963397,24.070567599963397,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,24.070567599963397,,,,,,,,,,,,,,24.063020400237292,24.070567599963397,24.070567599963397,24.070567599963397,25.062915599904954,25.062915599904954,26.055680899880826,26.05591499991715,None,1,0.0,2631678.9601425,26.06382070016116,26.06382070016116,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,26.06382070016116,,,,,,,,,,,,,,26.05619279993698,26.06382070016116,26.06382070016116,26.06382070016116,27.064801400061697,27.05659729987383,28.05712589994073,28.049119799863547,None,1,None,2631680.9533215,28.05712589994073,28.05712589994073,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,28.05712589994073,,,,,,,,,,,,,,28.049422400072217,28.06569440010935,28.06569440010935,28.06569440010935,29.058073500171304,29.058073500171304,30.050237299874425,30.050458900164813,None,0,None,2631682.9465413,30.058942299801856,30.058942299801856,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,30.058942299801856,,,,,,,,,,,,,,30.050736399833113,30.058942299801856,30.058942299801856,30.058942299801856,31.059422899968922,31.051244699861854,32.05205890024081,32.04424689989537,None,1,None,2631684.9478657,32.05205890024081,32.05205890024081,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,32.05205890024081,,,,,,,,,,,,,,32.04453899990767,32.06029250007123,32.06029250007123,32.06029250007123,33.06121740024537,33.052987799979746,34.05353680020198,34.04540489986539,None,1,None,2631686.9416672,34.05353680020198,34.05353680020198,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,34.05353680020198,,,,,,,,,,,,,,34.0457553002052,34.062185199931264,34.062185199931264,34.062185199931264,35.06263109995052,35.054598699789494,36.0554304998368,36.0469268001616,None,1,None,2631688.9428715,36.0554304998368,36.0554304998368,active_demo,001,2026-07-13_11h24.39.221,untitled,,2026.1.3,119.68207650758544,2026-07-13 11h24.39.489976 -0700,
