location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.009451999794691801,0.019551199860870838,0.019551199860870838,25.1607483997941,space,25.117266400251538,None,,,,,,,,,,,,,,,,,,,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
,,,,,,,,,,,,,,,,,,,,,25.16088469978422,25.168141199741513,26.19197589997202,26.15954690007493,,,,,,,,,,,,,,,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,26.19197589997202,,,,,,,,,,,,,,26.17945839976892,26.19197589997202,26.19197589997202,26.19197589997202,27.150928999762982,27.185216299723834,28.144463299773633,28.1694571999833,None,1,1.0,2298730.615972,,,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,28.17821339983493,,,,,,,,,,,,,,28.170309099834412,28.17821339983493,28.17821339983493,28.17821339983493,29.152315499726683,29.17023769998923,30.145724500063807,30.162870400119573,None,1,None,2298732.6068503,,,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,30.169906799681485,,,,,,,,,,,,,,30.163555500097573,30.169906799681485,30.169906799681485,30.169906799681485,31.15406179986894,31.163249699864537,32.14673310006037,32.156733399722725,None,1,0.0,2298734.6000975,32.1643642000854,32.1643642000854,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,32.1643642000854,,,,,,,,,,,,,,32.15751409996301,32.1643642000854,32.1643642000854,32.1643642000854,33.15816369978711,33.15816369978711,34.15856499969959,34.14932329999283,None,1,None,2298736.5940414,34.15856499969959,34.15856499969959,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,34.15856499969959,,,,,,,,,,,,,,34.149969200138,34.15856499969959,34.15856499969959,34.15856499969959,35.15858149994165,35.1497113998048,36.14986009988934,36.143039599992335,None,0,None,2298738.5865404,36.14986009988934,36.14986009988934,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,36.14986009988934,,,,,,,,,,,,,,36.143749999813735,36.159080300014466,36.159080300014466,36.159080300014466,37.16021389979869,37.15107519971207,38.15199270006269,38.14408619981259,None,1,None,2298740.5803215,38.15199270006269,38.15199270006269,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,38.15199270006269,,,,,,,,,,,,,,38.14478259999305,38.15199270006269,38.15199270006269,38.15199270006269,39.15307749994099,39.144653799943626,40.1452107001096,40.13764850003645,None,1,None,2298742.5813396,40.1452107001096,40.1452107001096,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,40.1452107001096,,,,,,,,,,,,,,40.13846139982343,40.152709499932826,40.152709499932826,40.152709499932826,41.15501159988344,41.146256799809635,42.14666759967804,42.13975299987942,None,1,None,2298744.5749985,42.14666759967804,42.14666759967804,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
