location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials_2.response_2.rt,trials_2.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.007756600040011108,0.022209600021596998,0.022209600021596998,6.824569100048393,space,6.7805525999865495,None,,,,,,,,,,,,,,,,,,,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
,,,,,,,,,,,,,,,,,,,,,,,6.8246430000290275,6.8315240000374615,7.84364460001234,7.818890700000338,,,,,,,,,,,,,,,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,7.84364460001234,,,,,,,,,,,,,,7.831642700009979,7.84364460001234,7.84364460001234,7.84364460001234,8.819215400028042,8.835707499994896,9.819089800002985,9.827188300027046,None,1,None,None,,,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,9.834790699998848,,,,,,,,,,,,,,9.827804400003515,9.834790699998848,9.834790699998848,9.834790699998848,10.820454100030474,10.828176900045946,11.811702600040007,11.821170200011693,None,1,1.0,471438.2750377,11.829215100035071,11.829215100035071,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0, 0]",space,2,2,0,space,1,0.6375266999821179,0.09753160004038364,0,2,2,2,11.829215100035071,,,,,,,,,,,,,,11.822047900001053,11.829215100035071,11.829215100035071,11.829215100035071,12.820411399996374,12.827798500016797,13.811190100037493,13.82066060003126,space,1,None,None,13.828104000014719,13.828104000014719,0.6375266999821179,0.09753160004038364,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[-0.2, 0.2]",None,3,3,0,None,1,,,0,3,3,3,13.828104000014719,,,,,,,,,,,,,,13.821355400024913,13.828104000014719,13.828104000014719,13.828104000014719,14.820891200040933,14.820891200040933,15.815494400041644,15.815974000026472,None,1,0.0,471443.2797577,15.82209920004243,15.82209920004243,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0.2, -0.2]",None,4,4,0,None,1,,,0,4,4,4,15.82209920004243,,,,,,,,,,,,,,15.816484800016042,15.82209920004243,15.82209920004243,15.82209920004243,16.821730500028934,16.81420230004005,17.815529700019397,17.808475900033955,None,1,None,None,17.815529700019397,17.815529700019397,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[-0.2, 0]",None,5,5,0,None,1,,,0,5,5,5,17.815529700019397,,,,,,,,,,,,,,17.809188100043684,17.815529700019397,17.815529700019397,17.815529700019397,18.82158710004296,18.813467400032096,19.813834300031886,19.804989400028717,None,1,1.0,471445.7665953,19.804476200020872,19.804476200020872,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,19.813834300031886,,,,,,,,,,,,,,19.805656300042756,19.821029800048564,19.821029800048564,19.821029800048564,20.819994700024836,20.811776200018357,21.8113642000244,21.804118800035212,None,1,None,None,21.8113642000244,21.8113642000244,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,21.8113642000244,,,,,,,,,,,,,,21.804866800026502,21.820301400031894,21.820301400031894,21.820301400031894,22.819461500039324,22.811948999995366,23.812295000010636,23.804803400009405,None,1,0.0,471450.7687447,23.812295000010636,23.812295000010636,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0, -0.2]",space,8,8,0,space,1,0.5295336000272073,0.13608369999565184,0,8,8,8,23.812295000010636,,,,,,,,,,,,,,23.805339800019283,23.82125940005062,23.82125940005062,23.82125940005062,24.82131140003912,24.812800400017295,25.81513390003238,25.807642100029625,space,1,None,None,25.81513390003238,25.81513390003238,0.5295336000272073,0.13608369999565184,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
"[0, 0]",None,9,9,0,None,1,,,0,9,9,9,25.81513390003238,,,,,,,,,,,,,,25.808253500028513,25.81513390003238,25.81513390003238,25.81513390003238,26.820648099994287,26.81303800002206,27.812088400009088,27.805329900002107,None,1,1.0,471453.9041614,27.812088400009088,27.812088400009088,,,delsjhfkjhdsk,001,2026-06-18_11h21.51.354,untitled,,2026.1.3,116.76036687680644,2026-06-18 11h21.51.723740 -0700,
