location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,grid_lines_2.stopped,response_2.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,trials_2.response_2.rt,trials_2.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0021147001534700394,0.008128700079396367,0.008128700079396367,5.688087600050494,space,5.664799399906769,None,,,,,,,,,,,,,,,,,,,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
,,,,,,,,,,,,,,,,,,,,,,,5.688166800187901,5.692959200125188,6.691127200145274,6.678209000034258,,,,,,,,,,,,,,,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,6.691127200145274,,,,,,,,,,,,,,6.684150600107387,6.691127200145274,6.691127200145274,6.691127200145274,7.686000199988484,7.686000199988484,8.677917000139132,8.686440699966624,8.686440699966624,8.678208700148389,None,1,1.0,1606269.7886676,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,8.686440699966624,,,,,,,,,,,,,,8.678563500056043,8.686440699966624,8.686440699966624,8.686440699966624,9.678379700053483,9.686123100109398,10.678081199992448,10.678081199992448,10.678081199992448,10.670367200160399,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, 0]",space,2,2,0,space,1,0.5942295000422746,0.10685189999639988,0,2,2,2,10.678081199992448,,,,,,,,,,,,,,10.670639100018889,10.686609199969098,10.686609199969098,10.686609199969098,11.678434000117704,11.68650050018914,12.678159500006586,12.678159500006586,12.678159500006586,12.670527500100434,space,1,0.0,1606273.9663923,0.5942295000422746,0.10685189999639988,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[-0.2, 0.2]",None,3,3,0,None,1,,,0,3,3,3,12.678159500006586,,,,,,,,,,,,,,12.670800999971107,12.686742700170726,12.686742700170726,12.686742700170726,13.67837500013411,13.686407300177962,14.678299200022593,14.678299200022593,14.678299200022593,14.670163900125772,None,1,1.0,1606277.1038918,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, -0.2]",None,4,4,0,None,1,,,0,4,4,4,14.678299200022593,,,,,,,,,,,,,,14.67043530009687,14.68674540007487,14.68674540007487,14.68674540007487,15.678662300109863,15.686438500182703,16.678367899963632,16.678367899963632,16.678367899963632,16.67027540015988,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[-0.2, 0]",None,5,5,0,None,1,,,0,5,5,5,16.678367899963632,,,,,,,,,,,,,,16.670548800146207,16.686851000180468,16.686851000180468,16.686851000180468,17.678745000157505,17.686465700156987,18.67841499997303,18.67841499997303,18.67841499997303,18.67037499998696,None,1,0.0,1606281.3794115,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,18.67841499997303,,,,,,,,,,,,,,18.670686700148508,18.686901800101623,18.686901800101623,18.686901800101623,19.678820200031623,19.68661199999042,20.67801300017163,20.67801300017163,20.67801300017163,20.670159599976614,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,20.67801300017163,,,,,,,,,,,,,,20.670476800063625,20.6871870001778,20.6871870001778,20.6871870001778,21.678464600117877,21.686909400159493,22.678236900130287,22.678236900130287,22.678236900130287,22.670206800103188,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, -0.2]",space,8,8,0,space,1,0.4777029000688344,0.19638779992237687,0,8,8,8,22.678236900130287,,,,,,,,,,,,,,22.6706075000111,22.68727029999718,22.68727029999718,22.68727029999718,23.678582899970934,23.68683040002361,24.68417160003446,24.68417160003446,24.68417160003446,24.676708800019696,space,1,None,None,0.4777029000688344,0.19638779992237687,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, 0]",None,9,9,0,None,1,,,0,9,9,9,24.68417160003446,,,,,,,,,,,,,,24.676986400038004,24.68417160003446,24.68417160003446,24.68417160003446,25.676142200129107,25.684652300085872,26.67616320005618,26.67616320005618,26.67616320005618,26.668973100138828,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, 0]",None,10,10,0,None,1,,,0,10,10,10,26.67616320005618,,,,,,,,,,,,,,26.66924720001407,26.684774599969387,26.684774599969387,26.684774599969387,27.67629580013454,27.684335900004953,28.676295900018886,28.676295900018886,28.676295900018886,28.66811400000006,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, 0]",space,11,11,0,space,1,0.3527563000097871,0.16792070004157722,0,11,11,11,28.676295900018886,,,,,,,,,,,,,,28.668402000097558,28.684717900119722,28.684717900119722,28.684717900119722,29.676341200014576,29.684450500179082,30.676378700183704,30.676378700183704,30.676378700183704,30.668302500154823,space,1,None,None,0.3527563000097871,0.16792070004157722,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,,,0,12,12,12,30.676378700183704,,,,,,,,,,,,,,30.668662700103596,30.684870900120586,30.684870900120586,30.684870900120586,31.676516900071874,31.684487499995157,32.676400100113824,32.676400100113824,32.676400100113824,32.66847799997777,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,,,0,13,13,13,32.676400100113824,,,,,,,,,,,,,,32.66876470018178,32.68505990016274,32.68505990016274,32.68505990016274,33.67657480016351,33.68523730011657,34.67647389997728,34.67647389997728,34.67647389997728,34.66863339999691,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, -0.2]",None,14,14,0,space,0,1.067158400081098,0.11641919985413551,0,14,14,14,34.67647389997728,,,,,,,,,,,,,,34.66890410007909,34.68508750014007,34.68508750014007,34.68508750014007,35.676350499968976,35.684679000172764,36.67610809998587,36.67610809998587,36.67610809998587,36.66863670013845,space,0,None,None,1.067158400081098,0.11641919985413551,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[-0.2, -0.2]",space,15,15,0,None,0,,,0,15,15,15,36.67610809998587,,,,,,,,,,,,,,36.66897070012055,36.68492659996264,36.68492659996264,36.68492659996264,37.67655130010098,37.68485060008243,38.68260050006211,38.68260050006211,38.68260050006211,38.67429650016129,None,0,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, 0.2]",None,16,16,0,None,1,,,0,16,16,16,38.68260050006211,,,,,,,,,,,,,,38.67462190007791,38.68260050006211,38.68260050006211,38.68260050006211,39.674450900172815,39.68225469999015,40.67471050005406,40.67471050005406,40.67471050005406,40.66718880017288,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0.2, 0.2]",None,17,17,0,None,1,,,0,17,17,17,40.67471050005406,,,,,,,,,,,,,,40.66763660009019,40.68236560001969,40.68236560001969,40.68236560001969,41.68018850008957,41.68018850008957,42.67207960016094,42.68089219997637,42.68089219997637,42.67234260006808,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, 0]",None,18,18,0,space,0,0.6193540999665856,0.19618549989536405,0,18,18,18,42.68089219997637,,,,,,,,,,,,,,42.67259450000711,42.68089219997637,42.68089219997637,42.68089219997637,43.672193800099194,43.680677599972114,44.671630300115794,44.671630300115794,44.671630300115794,44.66380110010505,space,0,None,None,0.6193540999665856,0.19618549989536405,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
"[0, -0.2]",None,19,19,0,None,1,,,0,19,19,19,44.671630300115794,,,,,,,,,,,,,,44.6640724001918,44.68072649999522,44.68072649999522,44.68072649999522,45.6713507999666,45.67985559999943,46.67172900005244,46.679668500088155,46.679668500088155,46.67198460013606,None,1,None,None,,,demo,001,2026-06-08_14h05.29.904,untitled,,2026.1.3,119.99212834469185,2026-06-08 14h05.30.092588 -0700,
