location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials_2.response_2.rt,trials_2.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0033414000063203275,0.012600500020198524,0.012600500020198524,5.092102200025693,space,5.060846300038975,None,,,,,,,,,,,,,,,,,,,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
,,,,,,,,,,,,,,,,,,,,,,,5.092176900012419,5.098940299998503,6.1151580000296235,6.086103100038599,,,,,,,,,,,,,,,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,6.1151580000296235,,,,,,,,,,,,,,6.102147000026889,6.1151580000296235,6.1151580000296235,6.1151580000296235,7.083900900033768,7.108427099999972,8.074146400031168,8.099603400041815,None,1,None,None,,,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,8.107806000043638,,,,,,,,,,,,,,8.100477700005285,8.107806000043638,8.107806000043638,8.107806000043638,9.082529500010423,9.099818899994716,10.075168400013354,10.092424000031315,None,1,None,None,10.100181200017687,10.100181200017687,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0, 0]",space,2,2,0,space,1,0.47315490001346916,0.09859120001783594,0,2,2,2,10.100181200017687,,,,,,,,,,,,,,10.093218000023626,10.100181200017687,10.100181200017687,10.100181200017687,11.090978100022767,11.090978100022767,12.082893100043293,12.083659199997783,space,1,None,None,12.090871700027492,12.090871700027492,0.47315490001346916,0.09859120001783594,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[-0.2, 0.2]",None,3,3,0,None,1,,,0,3,3,3,12.090871700027492,,,,,,,,,,,,,,12.084374900034163,12.090871700027492,12.090871700027492,12.090871700027492,13.083255500008818,13.083255500008818,14.076836000022013,14.077401100017596,None,1,None,None,14.085219000000507,14.085219000000507,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0.2, -0.2]",None,4,4,0,None,1,,,0,4,4,4,14.085219000000507,,,,,,,,,,,,,,14.078024399990682,14.085219000000507,14.085219000000507,14.085219000000507,15.085805899987463,15.077845600026194,16.076859200024046,16.06942270003492,None,1,None,None,16.076859200024046,16.076859200024046,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[-0.2, 0]",None,5,5,0,None,1,,,0,5,5,5,16.076859200024046,,,,,,,,,,,,,,16.07010509999236,16.085658100026194,16.085658100026194,16.085658100026194,17.086012100044172,17.077441800036468,18.076777300040703,18.069832300010603,None,1,None,None,18.076777300040703,18.076777300040703,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,18.076777300040703,,,,,,,,,,,,,,18.07050780003192,18.085270500043407,18.085270500043407,18.085270500043407,19.08543020003708,19.077109800011385,20.076810300000943,20.06958680000389,None,1,None,None,20.076810300000943,20.076810300000943,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,20.076810300000943,,,,,,,,,,,,,,20.07052810001187,20.085278000042308,20.085278000042308,20.085278000042308,21.085333800001536,21.076834700012114,22.07664310000837,22.06908690003911,None,1,None,None,22.07664310000837,22.07664310000837,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0, -0.2]",space,8,8,0,space,1,0.572113599977456,0.14301170001272112,0,8,8,8,22.07664310000837,,,,,,,,,,,,,,22.070037700003013,22.08582610002486,22.08582610002486,22.08582610002486,23.08543690002989,23.076854300044943,24.076992199989036,24.06948500004364,space,1,None,None,24.076992199989036,24.076992199989036,0.572113599977456,0.14301170001272112,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
"[0, 0]",None,9,9,0,None,1,,,0,9,9,9,24.076992199989036,,,,,,,,,,,,,,24.070747399993706,24.085434000007808,24.085434000007808,24.085434000007808,25.08555429999251,25.07714250002755,26.077132800011896,26.06937460001791,None,1,None,None,26.077132800011896,26.077132800011896,,,demo,001,2026-06-17_13h49.14.162,untitled,,2026.1.3,123.43774111317802,2026-06-17 13h49.14.462161 -0700,
