location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.010560699738562107,0.022253399714827538,0.022253399714827538,82.71453920006752,space,82.66860400000587,None,,,,,,,,,,,,,,,,,,,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
,,,,,,,,,,,,,,,,,,,,,82.71463820012286,82.72488019987941,83.75539280008525,83.71029389975592,,,,,,,,,,,,,,,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,83.75539280008525,,,,,,,,,,,,,,83.7438431000337,83.75539280008525,83.75539280008525,83.75539280008525,84.70490669971332,84.74845069972798,85.69778329972178,85.72261259984225,None,1,None,2379904.1444954,,,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,85.73115879995748,,,,,,,,,,,,,,85.7234314000234,85.73115879995748,85.73115879995748,85.73115879995748,86.71086969971657,86.72381869982928,87.70836269995198,87.7161497999914,None,1,1.0,2379906.1243248,,,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,87.72472260007635,,,,,,,,,,,,,,87.7173703997396,87.72472260007635,87.72472260007635,87.72472260007635,88.70756979985163,88.71638230001554,89.70166300004348,89.71029239986092,None,1,None,2379908.1181289,89.71744460007176,89.71744460007176,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,89.71744460007176,,,,,,,,,,,,,,89.71102909976617,89.71744460007176,89.71744460007176,89.71744460007176,90.71398680005223,90.71398680005223,91.71261679986492,91.70366950007156,None,1,0.0,2379910.1119448,91.71261679986492,91.71261679986492,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,91.71261679986492,,,,,,,,,,,,,,91.70496399980038,91.71261679986492,91.71261679986492,91.71261679986492,92.71218980010599,92.70410339999944,93.70415969984606,93.69661069987342,None,0,None,2379912.1056588,93.70415969984606,93.70415969984606,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,93.70415969984606,,,,,,,,,,,,,,93.69755139993504,93.71183149982244,93.71183149982244,93.71183149982244,94.70590719999745,94.70590719999745,95.6975650000386,95.69838680000976,None,1,None,2379914.0984303,95.70544239971787,95.70544239971787,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,95.70544239971787,,,,,,,,,,,,,,95.69927340000868,95.70544239971787,95.70544239971787,95.70544239971787,96.70647149998695,96.6988802999258,97.69937049970031,97.69089359976351,None,1,None,2379916.1001959,97.69937049970031,97.69937049970031,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,97.69937049970031,,,,,,,,,,,,,,97.6919546998106,97.70724210003391,97.70724210003391,97.70724210003391,98.70709419995546,98.70006959978491,99.7005529999733,99.69315019994974,None,1,None,2379918.0928437,99.7005529999733,99.7005529999733,demo,001,2026-07-10_13h27.33.971,untitled,,2026.1.3,94.09834060004447,2026-07-10 13h27.34.512337 -0700,
