location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.0052236998453736305,0.01469810027629137,0.01469810027629137,4.646717400290072,space,4.609114699997008,None,,,,,,,,,,,,,,,,,,,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
,,,,,,,,,,,,,,,,,,,,,4.6468078000471,4.654240900184959,5.671797099988908,5.641330800019205,,,,,,,,,,,,,,,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,5.671797099988908,,,,,,,,,,,,,,5.660896399989724,5.671797099988908,5.671797099988908,5.671797099988908,6.639675000216812,6.666525700129569,7.633067000191659,7.649684600066394,None,1,None,2192015.4250948,,,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,7.657784800045192,,,,,,,,,,,,,,7.650152700021863,7.657784800045192,7.657784800045192,7.657784800045192,8.642176399938762,8.650473200250417,9.63497669994831,9.643609500024468,None,1,None,2192017.4144054,9.651487600058317,9.651487600058317,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,9.651487600058317,,,,,,,,,,,,,,9.644119100179523,9.651487600058317,9.651487600058317,9.651487600058317,10.643821000121534,10.643821000121534,11.636038000229746,11.636535600293428,None,1,None,2192019.4083617,11.644363200291991,11.644363200291991,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,11.644363200291991,,,,,,,,,,,,,,11.637080099899322,11.644363200291991,11.644363200291991,11.644363200291991,12.637593499850482,12.637593499850482,13.630370399914682,13.63119770027697,None,1,None,2192021.4013357,13.637990099843591,13.637990099843591,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,13.637990099843591,,,,,,,,,,,,,,13.631900100037456,13.637990099843591,13.637990099843591,13.637990099843591,14.63929079985246,14.630942299962044,15.632314400281757,15.623562199994922,None,0,None,2192023.3961086,15.632314400281757,15.632314400281757,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,15.632314400281757,,,,,,,,,,,,,,15.624341300223023,15.638861500192434,15.638861500192434,15.638861500192434,16.640443000011146,16.632844700012356,17.63273339997977,17.625941699836403,None,1,None,2192025.3885295,17.63273339997977,17.63273339997977,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,17.63273339997977,,,,,,,,,,,,,,17.626881700009108,17.640959800221026,17.640959800221026,17.640959800221026,18.64273119997233,18.63417279999703,19.6351116001606,19.62667760020122,None,1,None,2192027.391033,19.6351116001606,19.6351116001606,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,19.6351116001606,,,,,,,,,,,,,,19.627309000119567,19.64263470005244,19.64263470005244,19.64263470005244,20.637331299949437,20.637331299949437,21.628031600266695,21.629794099833816,None,1,None,2192029.391549,21.638683100230992,21.638683100230992,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,21.638683100230992,,,,,,,,,,,,,,21.63123660022393,21.64520310005173,21.64520310005173,21.64520310005173,22.645815500058234,22.63768190005794,23.638330900110304,23.630611000116915,None,0,1.0,2192031.3954324,23.638330900110304,23.638330900110304,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,23.638330900110304,,,,,,,,,,,,,,23.63161200005561,23.638330900110304,23.638330900110304,23.638330900110304,24.63841240014881,24.630911400076002,25.630956300068647,25.62362420000136,None,0,None,2192033.3958221,25.630956300068647,25.630956300068647,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,25.630956300068647,,,,,,,,,,,,,,25.624570600222796,25.640621500089765,25.640621500089765,25.640621500089765,26.640097100287676,26.63210600009188,27.633567600045353,27.625270400196314,None,1,0.0,2192035.3887701,27.633567600045353,27.633567600045353,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,27.633567600045353,,,,,,,,,,,,,,27.62638200027868,27.642154400236905,27.642154400236905,27.642154400236905,28.642031699884683,28.63337460020557,29.634835599921644,29.62667219992727,None,1,None,2192037.3905496,29.634835599921644,29.634835599921644,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,29.634835599921644,,,,,,,,,,,,,,29.62713580019772,29.64262539986521,29.64262539986521,29.64262539986521,30.644172800239176,30.634812700096518,31.63558360002935,31.6292305001989,None,1,None,2192039.3913996,31.63558360002935,31.63558360002935,demotestfake,001,2026-07-08_09h17.52.109,untitled,,2026.1.3,119.16011185343848,2026-07-08 09h17.52.465257 -0700,
