location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.004709800239652395,0.01127410028129816,0.01127410028129816,14.822853600140661,space,14.749356499873102,None,,,,,,,,,,,,,,,,,,,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
,,,,,,,,,,,,,,,,,,,,,14.822949500288814,14.831336200237274,15.886056300252676,15.820608300156891,,,,,,,,,,,,,,,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,15.886056300252676,,,,,,,,,,,,,,15.874210900161415,15.886056300252676,15.886056300252676,15.886056300252676,16.817026700358838,16.88386580022052,17.80902360007167,17.825577900279313,None,1,None,2562940.9861413,,,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,17.8335788003169,,,,,,,,,,,,,,17.8263032999821,17.8335788003169,17.8335788003169,17.8335788003169,18.817097400315106,18.825419300235808,19.808768100105226,19.81778800021857,None,1,None,2562942.9382441,19.825190900359303,19.825190900359303,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,19.825190900359303,,,,,,,,,,,,,,19.818421200383455,19.825190900359303,19.825190900359303,19.825190900359303,20.817067600321025,20.817067600321025,21.808766500093043,21.809154300019145,None,1,None,2562944.9303549,21.817056400235742,21.817056400235742,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,21.817056400235742,,,,,,,,,,,,,,21.809726600069553,21.817056400235742,21.817056400235742,21.817056400235742,22.817065299954265,22.808854000177234,23.808794599957764,23.80078890034929,None,1,None,2562946.9216773,23.808794599957764,23.808794599957764,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,23.808794599957764,,,,,,,,,,,,,,23.80134729994461,23.81710600014776,23.81710600014776,23.81710600014776,24.81709610018879,24.80893970001489,25.80899090040475,25.800999300088733,None,0,None,2562948.9132974,25.80899090040475,25.80899090040475,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,25.80899090040475,,,,,,,,,,,,,,25.801595100201666,25.81711360020563,25.81711360020563,25.81711360020563,26.81727570015937,26.808904699981213,27.809224999975413,27.80113840010017,None,1,None,2562950.9135486,27.809224999975413,27.809224999975413,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,27.809224999975413,,,,,,,,,,,,,,27.801606200169772,27.81748740002513,27.81748740002513,27.81748740002513,28.81722060032189,28.809144500177354,29.809189500287175,29.80123500013724,None,1,None,2562952.9135675,29.809189500287175,29.809189500287175,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,29.809189500287175,,,,,,,,,,,,,,29.801869300194085,29.817198100034148,29.817198100034148,29.817198100034148,30.81797460000962,30.80910490034148,31.809082300402224,31.801053600385785,None,1,None,2562954.913812,31.809082300402224,31.809082300402224,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,31.809082300402224,,,,,,,,,,,,,,31.801572300028056,31.817444500047714,31.817444500047714,31.817444500047714,32.817338100168854,32.80899230018258,33.80919470032677,33.80101570021361,None,0,None,2562956.9135265,33.80919470032677,33.80919470032677,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,33.80919470032677,,,,,,,,,,,,,,33.801606700289994,33.81750010000542,33.81750010000542,33.81750010000542,34.817482999991626,34.80941290035844,35.80948040029034,35.80122170038521,None,0,None,2562958.9135594,35.80948040029034,35.80948040029034,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,35.80948040029034,,,,,,,,,,,,,,35.801897699944675,35.817307400051504,35.817307400051504,35.817307400051504,36.81743590021506,36.8095631999895,37.80941390013322,37.801437200047076,None,1,None,2562960.9138416,37.80941390013322,37.80941390013322,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,37.80941390013322,,,,,,,,,,,,,,37.80204840004444,37.81758440006524,37.81758440006524,37.81758440006524,38.81757950037718,38.80921630002558,39.80911809997633,39.801200800109655,None,1,None,2562962.9139947,39.80911809997633,39.80911809997633,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
