location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,grid_lines_2.stopped,response_2.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.004247900098562241,0.01029209978878498,0.01029209978878498,20.68178019998595,space,20.664510100148618,None,,,,,,,,,,,,,,,,,,,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
,,,,,,,,,,,,,,,,,,,,,20.681818299926817,20.68708929978311,21.693997099995613,21.67060610000044,,,,,,,,,,,,,,,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,21.693997099995613,,,,,,,,,,,,,,21.686192299705,21.693997099995613,21.693997099995613,21.693997099995613,22.679484999738634,22.687742199748755,23.672244899906218,23.68865629984066,23.68865629984066,23.680325999855995,None,1,None,2391660.1116578,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,23.68865629984066,,,,,,,,,,,,,,23.680718299932778,23.68865629984066,23.68865629984066,23.68865629984066,24.681283299811184,24.681283299811184,25.673661199864,25.68222829978913,25.68222829978913,25.67393139982596,None,1,None,2391662.1061965,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,25.68222829978913,,,,,,,,,,,,,,25.67423259979114,25.68222829978913,25.68222829978913,25.68222829978913,26.674061399884522,26.674061399884522,27.667202199809253,27.674955799710006,27.674955799710006,27.667468199972063,None,1,1.0,2391664.0997368,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,27.674955799710006,,,,,,,,,,,,,,27.667749099899083,27.674955799710006,27.674955799710006,27.674955799710006,28.675883600022644,28.667266699951142,29.66820399975404,29.66820399975404,29.66820399975404,29.660239199642092,None,1,None,2391666.0932592,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,29.66820399975404,,,,,,,,,,,,,,29.660552399698645,29.676383999641985,29.676383999641985,29.676383999641985,30.677289699669927,30.66918299999088,31.670225999783725,31.670225999783725,31.670225999783725,31.661636400036514,None,0,0.0,2391668.0860438,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,31.670225999783725,,,,,,,,,,,,,,31.661929700057954,31.678815599996597,31.678815599996597,31.678815599996597,32.679229700006545,32.67060169996694,33.67178429989144,33.67178429989144,33.67178429989144,33.66355749964714,None,1,None,2391670.0874365,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,33.67178429989144,,,,,,,,,,,,,,33.66384379984811,33.679293599911034,33.679293599911034,33.679293599911034,34.68063709978014,34.672818299848586,35.67336699971929,35.67336699971929,35.67336699971929,35.66545700002462,None,1,None,2391672.0893549,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,35.67336699971929,,,,,,,,,,,,,,35.66586839966476,35.67336699971929,35.67336699971929,35.67336699971929,36.673242799937725,36.665352599695325,37.666701999958605,37.666701999958605,37.666701999958605,37.65949869994074,None,1,None,2391674.0913657,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,37.666701999958605,,,,,,,,,,,,,,37.65997969964519,37.674982799682766,37.674982799682766,37.674982799682766,38.676300399936736,38.667619599960744,39.66752849984914,39.66752849984914,39.66752849984914,39.66010480001569,None,0,None,2391676.0854581,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,39.66752849984914,,,,,,,,,,,,,,39.66058090003207,39.6762214996852,39.6762214996852,39.6762214996852,40.67741069989279,40.668649499770254,41.66980740008876,41.66980740008876,41.66980740008876,41.661756499670446,None,0,1.0,2391678.0860644,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,41.66980740008876,,,,,,,,,,,,,,41.66211829986423,41.678078199736774,41.678078199736774,41.678078199736774,42.6789223998785,42.67031139973551,43.67156510008499,43.67156510008499,43.67156510008499,43.6640854999423,None,1,None,2391680.0876136,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,43.67156510008499,,,,,,,,,,,,,,43.664460099767894,43.680160499643534,43.680160499643534,43.680160499643534,44.68033239990473,44.67203739983961,45.673161999788135,45.673161999788135,45.673161999788135,45.664575699716806,None,1,None,2391682.0899552,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,45.673161999788135,,,,,,,,,,,,,,45.664977099746466,45.673161999788135,45.673161999788135,45.673161999788135,46.67441480001435,46.665972099639475,47.66656500007957,47.66656500007957,47.66656500007957,47.65805989969522,None,1,0.0,2391684.0904677,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,47.66656500007957,,,,,,,,,,,,,,47.65845680003986,47.67446619970724,47.67446619970724,47.67446619970724,48.67536599980667,48.66717829974368,49.66814329987392,49.66814329987392,49.66814329987392,49.65991929965094,None,1,None,2391686.0839424,gui,001,2026-07-10_16h44.32.408,untitled,,2026.1.3,120.73474343966824,2026-07-10 16h44.32.530541 -0700,
"[0.2, -0.2]",space,14,14,0,,,0,14,14,14,49.66814329987392,,,,,,,,,,,,,,49.660356800071895,49.675493999850005,49.675493999850005,49.675493999850005,50.67668099980801,50.66841349983588,,,,,,,,,,,,,,,,,
