location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials_2.response_2.rt,trials_2.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.006937699858099222,0.014902699971571565,0.014902699971571565,2.8791108999866992,space,2.8012765999883413,None,,,,,,,,,,,,,,,,,,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
,,,,,,,,,,,,,,,,,,,,,,,2.8792558999266475,2.8919195998460054,3.8798181999009103,,,,,,,,,,,,,,,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,3.94168489985168,,,,,,,,,,,,,3.889922099886462,3.94168489985168,3.94168489985168,3.94168489985168,4.879123299848288,4.935309499967843,5.871161099988967,5.879617299884558,None,1,1.0,1332886.7853891,,,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,5.887417299905792,,,,,,,,,,,,,5.880320699885488,5.887417299905792,5.887417299905792,5.887417299905792,6.870415099896491,6.878689199918881,7.86228229990229,7.871166700031608,None,1,None,None,7.878859299933538,7.878859299933538,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, 0]",space,2,2,0,space,1,0.4814734000246972,0.09021939989179373,0,2,2,2,7.878859299933538,,,,,,,,,,,,,7.871973200002685,7.878859299933538,7.878859299933538,7.878859299933538,8.870818599825725,8.870818599825725,9.865807799855247,9.866916399914771,space,1,0.0,1332891.0384473,9.874729399802163,9.874729399802163,0.4814734000246972,0.09021939989179373,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[-0.2, 0.2]",None,3,3,0,None,1,,,0,3,3,3,9.874729399802163,,,,,,,,,,,,,9.86817939998582,9.874729399802163,9.874729399802163,9.874729399802163,10.873718000017107,10.865114899817854,11.865222599823028,11.858003899920732,None,1,None,None,11.865222599823028,11.865222599823028,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, -0.2]",None,4,4,0,None,1,,,0,4,4,4,11.865222599823028,,,,,,,,,,,,,11.858578099869192,11.873546799877658,11.873546799877658,11.873546799877658,12.873973799869418,12.864994299830869,13.86510009993799,13.857997099868953,None,1,1.0,1332894.3143003,13.86510009993799,13.86510009993799,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[-0.2, 0]",None,5,5,0,None,1,,,0,5,5,5,13.86510009993799,,,,,,,,,,,,,13.858586199814454,13.874132100027055,13.874132100027055,13.874132100027055,14.873307599918917,14.865148199955001,15.865509700030088,15.857381499838084,None,1,None,None,15.865509700030088,15.865509700030088,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,15.865509700030088,,,,,,,,,,,,,15.85803519980982,15.87408269988373,15.87408269988373,15.87408269988373,16.876055100001395,16.867879000026733,17.867497199913487,17.859446599846706,None,1,0.0,1332898.6577902,17.867497199913487,17.867497199913487,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,17.867497199913487,,,,,,,,,,,,,17.860137399984524,17.876390299992636,17.876390299992636,17.876390299992636,18.878353899810463,18.86913609993644,19.87738179997541,19.869222600013018,None,1,None,None,19.868697699857876,19.868697699857876,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, -0.2]",space,8,8,0,space,1,0.6100801997818053,0.18342840019613504,0,8,8,8,19.87738179997541,,,,,,,,,,,,,19.86978099984117,19.87738179997541,19.87738179997541,19.87738179997541,20.87723629991524,20.868670499883592,21.868763800011948,21.86254179989919,space,1,None,None,21.868763800011948,21.868763800011948,0.6100801997818053,0.18342840019613504,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, 0]",None,9,9,0,None,1,,,0,9,9,9,21.868763800011948,,,,,,,,,,,,,21.863237699959427,21.87775469990447,21.87775469990447,21.87775469990447,22.876916599925607,22.8692520998884,23.86877669999376,23.861531999893486,None,1,1.0,1332903.9566311,23.86877669999376,23.86877669999376,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, 0]",None,10,10,0,None,1,,,0,10,10,10,23.86877669999376,,,,,,,,,,,,,23.862182599958032,23.877391299931332,23.877391299931332,23.877391299931332,24.877723299898207,24.868838700000197,25.868887099903077,25.86117869988084,None,1,None,None,25.868887099903077,25.868887099903077,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, 0]",space,11,11,0,space,1,0.6486406000331044,0.13800200005061924,0,11,11,11,25.868887099903077,,,,,,,,,,,,,25.86181559995748,25.877726699924096,25.877726699924096,25.877726699924096,26.87743579992093,26.869198399828747,27.869828299852088,27.862512199906632,space,1,0.0,1332908.1887406,27.869828299852088,27.869828299852088,0.6486406000331044,0.13800200005061924,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,,,0,12,12,12,27.869828299852088,,,,,,,,,,,,,27.863260200014338,27.869828299852088,27.869828299852088,27.869828299852088,28.878095199819654,28.860662600025535,29.873071999987587,29.864899799926206,None,1,None,None,29.864111099857837,29.864111099857837,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,,,0,13,13,13,29.873071999987587,,,,,,,,,,,,,29.86555609991774,29.873071999987587,29.873071999987587,29.873071999987587,30.872227399842814,30.86453010002151,31.86442629992962,31.856817399850115,None,1,1.0,1332912.9402974,31.86442629992962,31.86442629992962,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, -0.2]",None,14,14,0,space,0,0.4845329001545906,0.18799280002713203,0,14,14,14,31.86442629992962,,,,,,,,,,,,,31.857493299990892,31.872541199903935,31.872541199903935,31.872541199903935,32.87228289991617,32.86441839998588,33.86398519994691,33.856474899919704,space,0,None,None,33.86398519994691,33.86398519994691,0.4845329001545906,0.18799280002713203,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[-0.2, -0.2]",space,15,15,0,space,1,0.570647899992764,0.18508829991333187,0,15,15,15,33.86398519994691,,,,,,,,,,,,,33.856978700030595,33.87252019997686,33.87252019997686,33.87252019997686,34.872890200000256,34.864423800027,35.86435449984856,35.856921799946576,space,1,0.0,1332917.1593294,35.86435449984856,35.86435449984856,0.570647899992764,0.18508829991333187,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, 0.2]",None,16,16,0,None,1,,,0,16,16,16,35.86435449984856,,,,,,,,,,,,,35.85775760002434,35.87225539982319,35.87225539982319,35.87225539982319,36.874204399995506,36.86588369985111,37.86690849997103,37.8593976998236,None,1,None,None,37.86690849997103,37.86690849997103,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, 0.2]",None,17,17,0,None,1,,,0,17,17,17,37.86690849997103,,,,,,,,,,,,,37.86011699982919,37.8747849999927,37.8747849999927,37.8747849999927,38.87557029980235,38.86674079997465,39.866710399976,39.85898929997347,None,1,1.0,1332920.5647728,39.866710399976,39.866710399976,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, 0]",None,18,18,0,None,1,,,0,18,18,18,39.866710399976,,,,,,,,,,,,,39.859612399945036,39.87555140000768,39.87555140000768,39.87555140000768,40.87532789981924,40.86682659992948,41.86684629996307,41.85986620001495,None,1,None,None,41.86684629996307,41.86684629996307,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, -0.2]",None,19,19,0,None,1,,,0,19,19,19,41.86684629996307,,,,,,,,,,,,,41.860385899897665,41.875548199983314,41.875548199983314,41.875548199983314,42.875340999802575,42.86770039983094,43.86710529983975,43.8599151999224,None,1,0.0,1332924.8740647,43.86710529983975,43.86710529983975,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, 0]",None,20,20,0,None,1,,,0,20,20,20,43.86710529983975,,,,,,,,,,,,,43.860718599986285,43.875223099952564,43.875223099952564,43.875223099952564,44.87763000000268,44.86938219983131,45.86975289997645,45.86194400000386,None,1,None,None,45.86975289997645,45.86975289997645,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0, -0.2]",space,21,21,0,space,1,0.3457083001267165,0.17384389997459948,0,21,21,21,45.86975289997645,,,,,,,,,,,,,45.862884499831125,45.877273599850014,45.877273599850014,45.877273599850014,46.878995299804956,46.870139699894935,47.87013639998622,47.86290459986776,space,1,None,None,47.87013639998622,47.87013639998622,0.3457083001267165,0.17384389997459948,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[-0.2, 0.2]",None,22,22,0,None,1,,,0,22,22,22,47.87013639998622,,,,,,,,,,,,,47.86349429981783,47.87013639998622,47.87013639998622,47.87013639998622,48.87810099986382,48.86146769998595,49.87039259984158,49.862476699985564,None,1,1.0,1332930.2262733,49.86172519996762,49.86172519996762,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
"[0.2, -0.2]",None,23,23,0,None,1,,,0,23,23,23,49.87039259984158,,,,,,,,,,,,,49.86308639985509,49.87039259984158,49.87039259984158,49.87039259984158,50.877675199881196,50.86088029993698,51.8692471999675,51.8617339998018,None,1,None,None,51.860904099885374,51.860904099885374,,,h,001,2026-06-05_10h09.11.853,untitled,,2026.1.3,118.08898952120917,2026-06-05 10h09.12.195606 -0700,
