location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.005504000000655651,0.014181700069457293,0.014181700069457293,41.5216387999244,space,41.4901478998363,None,,,,,,,,,,,,,,,,,,,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
,,,,,,,,,,,,,,,,,,,,,41.521679300349206,41.52871929993853,42.541661800350994,42.517177199944854,,,,,,,,,,,,,,,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,42.541661800350994,,,,,,,,,,,,,,42.53254920011386,42.541661800350994,42.541661800350994,42.541661800350994,43.51729730004445,43.534310000017285,44.51014260016382,44.526951000094414,None,1,1.0,2632902.4856132,,,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,44.53515999997035,,,,,,,,,,,,,,44.5273078000173,44.53515999997035,44.53515999997035,44.53515999997035,45.519178099930286,45.52762249996886,46.511866700369865,46.52045059995726,None,1,None,2632904.4804167,46.52841540006921,46.52841540006921,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,46.52841540006921,,,,,,,,,,,,,,46.520867300219834,46.52841540006921,46.52841540006921,46.52841540006921,47.51247910037637,47.52098330017179,48.499605500139296,48.514143500011414,None,1,0.0,2632906.4739761,48.5221140999347,48.5221140999347,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,48.5221140999347,,,,,,,,,,,,,,48.51458860002458,48.5221140999347,48.5221140999347,48.5221140999347,49.514625099953264,49.514625099953264,50.50668190000579,50.506943200249225,None,1,None,2632908.4676949,50.51582910027355,50.51582910027355,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,50.51582910027355,,,,,,,,,,,,,,50.507259600330144,50.51582910027355,50.51582910027355,50.51582910027355,51.51586139993742,51.50750400032848,52.50828419998288,52.500868800096214,None,0,None,2632910.4603786,52.50828419998288,52.50828419998288,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,52.50828419998288,,,,,,,,,,,,,,52.50120890000835,52.516844999976456,52.516844999976456,52.516844999976456,53.51714110001922,53.51020050002262,54.50998020032421,54.50189070031047,None,1,None,2632912.4543342,54.50998020032421,54.50998020032421,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,54.50998020032421,,,,,,,,,,,,,,54.5021938001737,54.51823840010911,54.51823840010911,54.51823840010911,55.51900440035388,55.51084200013429,56.5114187002182,56.503571399953216,None,1,None,2632914.4553297,56.5114187002182,56.5114187002182,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,56.5114187002182,,,,,,,,,,,,,,56.50387850031257,56.51979560032487,56.51979560032487,56.51979560032487,57.52063770033419,57.5122935003601,58.51315900031477,58.5050468002446,None,1,None,2632916.4570144,58.51315900031477,58.51315900031477,hardware_enabled_demo,001,2026-07-13_11h44.44.342,untitled,,2026.1.3,120.37764866406671,2026-07-13 11h44.44.545693 -0700,
