location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.006302600027993321,0.01784310000948608,0.01784310000948608,9.365037600044161,space,9.327087899902835,None,,,,,,,,,,,,,,,,,,,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
,,,,,,,,,,,,,,,,,,,,,9.365124500123784,9.373265200061724,10.39027570001781,10.357348600169644,,,,,,,,,,,,,,,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,10.39027570001781,,,,,,,,,,,,,,10.376731800148264,10.39027570001781,10.39027570001781,10.39027570001781,11.362284200033173,11.381323100067675,12.356737800175324,12.373671800130978,None,1,None,1616455.2188882,,,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,12.38349170004949,,,,,,,,,,,,,,12.374942100141197,12.38349170004949,12.38349170004949,12.38349170004949,13.356913400115445,13.373758899979293,14.351296100066975,14.368551900144666,None,1,None,1616457.2180369,,,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,14.379287600051612,,,,,,,,,,,,,,14.369503200054169,14.379287600051612,14.379287600051612,14.379287600051612,15.361988000106066,15.369686900172383,16.356230000033975,16.364984000101686,None,1,None,1616459.2126523,16.373178800102323,16.373178800102323,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,16.373178800102323,,,,,,,,,,,,,,16.366091400152072,16.373178800102323,16.373178800102323,16.373178800102323,17.364367300178856,17.364367300178856,18.3571024001576,18.357849100138992,None,1,None,1616461.2092264,18.36614190018736,18.36614190018736,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,18.36614190018736,,,,,,,,,,,,,,18.358652400085703,18.36614190018736,18.36614190018736,18.36614190018736,19.363281100057065,19.363281100057065,20.365600700024515,20.352193100145087,None,0,None,1616463.2017656,20.365600700024515,20.365600700024515,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,20.365600700024515,,,,,,,,,,,,,,20.353271499974653,20.365600700024515,20.365600700024515,20.365600700024515,21.36032470013015,21.36032470013015,22.3518738001585,22.352692800108343,None,1,None,1616465.1964525,22.361253899987787,22.361253899987787,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,22.361253899987787,,,,,,,,,,,,,,22.353513200068846,22.361253899987787,22.361253899987787,22.361253899987787,23.359066700097173,23.359066700097173,24.351822199998423,24.344525299966335,None,1,None,1616467.1967333,24.351822199998423,24.351822199998423,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,24.351822199998423,,,,,,,,,,,,,,24.34589280001819,24.360358900157735,24.360358900157735,24.360358900157735,25.35991230001673,25.35306560015306,26.35215719998814,26.344692000187933,None,1,None,1616469.1889469,26.35215719998814,26.35215719998814,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,26.35215719998814,,,,,,,,,,,,,,26.345550399972126,26.36128529999405,26.36128529999405,26.36128529999405,27.363532999996096,27.35538540012203,28.355342300143093,28.348159100161865,None,0,None,1616471.1887754,28.355342300143093,28.355342300143093,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,28.355342300143093,,,,,,,,,,,,,,28.34900060016662,28.363903800025582,28.363903800025582,28.363903800025582,29.35856040008366,29.35856040008366,30.350739700021222,30.351400500163436,None,0,None,1616473.1922302,30.35894160019234,30.35894160019234,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,30.35894160019234,,,,,,,,,,,,,,30.35241560009308,30.35894160019234,30.35894160019234,30.35894160019234,31.35678010014817,31.35678010014817,32.348251700168476,32.34893500013277,None,1,None,1616475.1955879,32.35770649998449,32.35770649998449,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,32.35770649998449,,,,,,,,,,,,,,32.34987960010767,32.35770649998449,32.35770649998449,32.35770649998449,33.363982000155374,33.354086600011215,34.35955599998124,34.35010679997504,None,1,None,1616477.1930844,34.349261600058526,34.349261600058526,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,34.35955599998124,,,,,,,,,,,,,,34.35115440003574,34.35955599998124,34.35955599998124,34.35955599998124,35.36312260013074,35.355425799963996,36.36038780002855,36.35100150015205,None,1,None,1616479.1943503,36.36038780002855,36.36038780002855,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,36.36038780002855,,,,,,,,,,,,,,36.3520536001306,36.36038780002855,36.36038780002855,36.36038780002855,37.362083700019866,37.35343540017493,38.355891100130975,38.348161100177094,None,1,None,1616481.1952276,38.355891100130975,38.355891100130975,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, -0.2]",space,14,14,0,None,0,0,14,14,14,38.355891100130975,,,,,,,,,,,,,,38.34943860000931,38.36524700000882,38.36524700000882,38.36524700000882,39.36003840016201,39.36003840016201,40.35015650000423,40.3521589001175,None,0,None,1616483.192551,40.362433300120756,40.362433300120756,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, 0.2]",None,15,15,0,None,1,0,15,15,15,40.362433300120756,,,,,,,,,,,,,,40.35352050000802,40.362433300120756,40.362433300120756,40.362433300120756,41.36028200015426,41.36028200015426,42.35013970010914,42.351382800145075,None,1,None,1616485.1967216,42.359993800055236,42.359993800055236,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,0,16,16,16,42.359993800055236,,,,,,,,,,,,,,42.35244880011305,42.359993800055236,42.359993800055236,42.359993800055236,43.36167350015603,43.35313499998301,44.359364200150594,44.34987809997983,None,1,None,1616487.1956601,44.359364200150594,44.359364200150594,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, 0]",None,17,17,0,None,1,0,17,17,17,44.359364200150594,,,,,,,,,,,,,,44.350885699968785,44.359364200150594,44.359364200150594,44.359364200150594,45.36552860005759,45.354568500071764,46.364456300158054,46.35571920010261,None,1,None,1616489.1940902,46.35493560018949,46.35493560018949,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, -0.2]",None,18,18,0,None,1,0,18,18,18,46.364456300158054,,,,,,,,,,,,,,46.356831200188026,46.364456300158054,46.364456300158054,46.364456300158054,47.357240500161424,47.357240500161424,48.35900830011815,48.3510179000441,None,1,None,1616491.1999784,48.35900830011815,48.35900830011815,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0]",None,19,19,0,None,1,0,19,19,19,48.35900830011815,,,,,,,,,,,,,,48.35202490002848,48.35900830011815,48.35900830011815,48.35900830011815,49.35591619997285,49.35591619997285,50.353245600126684,50.345663900021464,None,1,None,1616493.1949993,50.353245600126684,50.353245600126684,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, -0.2]",space,20,20,0,None,0,0,20,20,20,50.353245600126684,,,,,,,,,,,,,,50.34699420002289,50.36157419998199,50.36157419998199,50.36157419998199,51.35964799998328,51.35964799998328,52.353572900174186,52.35477320011705,None,0,None,1616495.1901556,52.36367190000601,52.36367190000601,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,0,21,21,21,52.36367190000601,,,,,,,,,,,,,,52.35598039999604,52.36367190000601,52.36367190000601,52.36367190000601,53.36155869998038,53.36155869998038,54.35630700015463,54.34833090007305,None,1,None,1616497.1990719,54.35630700015463,54.35630700015463,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,0,22,22,22,54.35630700015463,,,,,,,,,,,,,,54.349582800175995,54.36565720010549,54.36565720010549,54.36565720010549,55.362766599981114,55.362766599981114,56.364645699970424,56.35453370003961,None,1,None,1616499.1927719,56.364645699970424,56.364645699970424,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,0,23,23,23,56.364645699970424,,,,,,,,,,,,,,56.355614100117236,56.364645699970424,56.364645699970424,56.364645699970424,57.35546170012094,57.35546170012094,58.3523343000561,58.35444250004366,None,0,None,1616501.1987915,58.36445170012303,58.36445170012303,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0, 0]",None,24,24,0,None,1,0,24,24,24,58.36445170012303,,,,,,,,,,,,,,58.355227699968964,58.36445170012303,58.36445170012303,58.36445170012303,59.361794400028884,59.361794400028884,60.36105559999123,60.351878200192004,None,1,None,1616503.1983836,60.36105559999123,60.36105559999123,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,0,25,25,25,60.36105559999123,,,,,,,,,,,,,,60.35268380003981,60.36105559999123,60.36105559999123,60.36105559999123,61.36149760009721,61.36149760009721,62.35229349997826,62.34658860019408,None,1,None,1616505.19588,62.35229349997826,62.35229349997826,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
"[-0.2, -0.2]",None,26,26,0,None,1,0,26,26,26,62.35229349997826,,,,,,,,,,,,,,62.34729570010677,62.3626865001861,62.3626865001861,62.3626865001861,63.362848500022665,63.352823900058866,64.3611592000816,64.3512285000179,None,1,None,1616507.1905356,64.3611592000816,64.3611592000816,hey,001,2026-07-01_17h25.14.330,untitled,,2026.1.3,110.57629042560934,2026-07-01 17h25.14.710925 -0700,
