location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials_2.response_2.rt,trials_2.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.005788500187918544,0.016535600181668997,0.016535600181668997,9.478788600070402,space,9.444443099899217,None,,,,,,,,,,,,,,,,,,,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
,,,,,,,,,,,,,,,,,,,,,,,9.478908200049773,9.48709599999711,10.500927800079808,10.472222700016573,,,,,,,,,,,,,,,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,10.500927800079808,,,,,,,,,,,,,,10.486063100164756,10.500927800079808,10.500927800079808,10.500927800079808,11.475720799993724,11.493376400088891,12.468439400196075,12.48554140003398,None,1,1.0,1783460.770627,,,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,12.49261449999176,,,,,,,,,,,,,,12.48656400013715,12.49261449999176,12.49261449999176,12.49261449999176,13.476792800007388,13.484442800050601,14.467685400042683,14.477256200043485,None,1,None,None,14.484337900066748,14.484337900066748,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[0, 0]",space,2,2,0,space,1,0.7417763997800648,0.17357360012829304,0,2,2,2,14.484337900066748,,,,,,,,,,,,,,14.477965300204232,14.484337900066748,14.484337900066748,14.484337900066748,15.477362200152129,15.477362200152129,16.467974200146273,16.468720600008965,space,1,0.0,1783465.9601764,16.476238400209695,16.476238400209695,0.7417763997800648,0.17357360012829304,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[-0.2, 0.2]",None,3,3,0,None,1,,,0,3,3,3,16.476238400209695,,,,,,,,,,,,,,16.469283300219104,16.476238400209695,16.476238400209695,16.476238400209695,17.477269500028342,17.46851840009913,18.46806290000677,18.460252000018954,None,1,1.0,1783468.1230972,18.46806290000677,18.46806290000677,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[0.2, -0.2]",None,4,4,0,None,1,,,0,4,4,4,18.46806290000677,,,,,,,,,,,,,,18.46107740001753,18.47587600001134,18.47587600001134,18.47587600001134,19.475876400014386,19.46771530015394,20.467839100165293,20.460376200033352,None,1,None,None,20.467839100165293,20.467839100165293,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[-0.2, 0]",None,5,5,0,None,1,,,0,5,5,5,20.467839100165293,,,,,,,,,,,,,,20.461230100132525,20.475899500073865,20.475899500073865,20.475899500073865,21.47577190003358,21.468133400194347,22.4680140002165,22.460690600099042,None,1,None,None,22.4680140002165,22.4680140002165,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,22.4680140002165,,,,,,,,,,,,,,22.461241899989545,22.47664410015568,22.47664410015568,22.47664410015568,23.47735370020382,23.46830750000663,24.468348000198603,24.460754200117663,None,1,0.0,1783473.3000082,24.468348000198603,24.468348000198603,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,24.468348000198603,,,,,,,,,,,,,,24.461278300033882,24.476360800210387,24.476360800210387,24.476360800210387,25.476576399989426,25.468225700082257,26.46841960004531,26.461567000020295,None,1,1.0,1783475.4025499,26.46841960004531,26.46841960004531,,,hihihi,001,2026-06-10_15h18.33.663,untitled,,2026.1.3,122.23369859772717,2026-06-10 15h18.34.076822 -0700,
