location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_event,sonication_duration,grid_lines_2.stopped,response_2.stopped,trials_2.response_2.rt,trials_2.response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.009938200004398823,0.02326090000133263,0.02326090000133263,25.29317390000506,space,25.257035800001177,None,,,,,,,,,,,,,,,,,,,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
,,,,,,,,,,,,,,,,,,,,,,,25.293262400002277,25.30263460000424,26.354599800004507,26.287200600003416,,,,,,,,,,,,,,,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,26.354599800004507,,,,,,,,,,,,,,26.345031700002437,26.354599800004507,26.354599800004507,26.354599800004507,27.284935399999085,27.352176799999143,28.277230800005782,28.294097000005422,None,1,None,0,,,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0, 0.2]",None,1,1,0,None,1,,,0,1,1,1,28.302144600005704,,,,,,,,,,,,,,28.294986699998844,28.302144600005704,28.302144600005704,28.302144600005704,29.28520589999971,29.293960300004983,30.27767870000389,30.286694300004456,None,1,None,0,30.295416200002364,30.295416200002364,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0.2, 0]",None,2,2,0,None,1,,,0,2,2,2,30.295416200002364,,,,,,,,,,,,,,30.28751110000303,30.295416200002364,30.295416200002364,30.295416200002364,31.28534260000015,31.293922400000156,32.2770096000022,32.286360400001286,None,1,None,0,32.29376620000403,32.29376620000403,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0.2, -0.2]",None,3,3,0,None,1,,,0,3,3,3,32.29376620000403,,,,,,,,,,,,,,32.287044600001536,32.29376620000403,32.29376620000403,32.29376620000403,33.28600610000285,33.28600610000285,34.27755920000345,34.27835469999991,None,1,None,0,34.28824480000185,34.28824480000185,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0.2, 0.2]",None,4,4,0,None,1,,,0,4,4,4,34.28824480000185,,,,,,,,,,,,,,34.27926590000425,34.28824480000185,34.28824480000185,34.28824480000185,35.28643550000561,35.28643550000561,36.27775670000119,36.27910650000558,None,1,None,0,36.28667680000217,36.28667680000217,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0.2, -0.2]",space,5,5,0,space,1,0.8272868999993079,0.07729419999668607,0,5,5,5,36.28667680000217,,,,,,,,,,,,,,36.2798488000044,36.28667680000217,36.28667680000217,36.28667680000217,37.28669280000031,37.277784099998826,38.2775116000048,38.27045429999998,space,1,None,0,38.2775116000048,38.2775116000048,0.8272868999993079,0.07729419999668607,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[-0.2, -0.2]",None,6,6,0,None,1,,,0,6,6,6,38.2775116000048,,,,,,,,,,,,,,38.27118010000413,38.28621199999907,38.28621199999907,38.28621199999907,39.28587260000495,39.277801900003396,40.27745639999921,40.27166550000402,None,1,None,0,40.27745639999921,40.27745639999921,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[-0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,40.27745639999921,,,,,,,,,,,,,,40.27238470000157,40.285865900004865,40.285865900004865,40.285865900004865,41.286590100004105,41.27917000000161,42.277897899999516,42.26976590000413,None,1,None,0,42.277897899999516,42.277897899999516,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[0, 0]",None,8,8,0,None,1,,,0,8,8,8,42.277897899999516,,,,,,,,,,,,,,42.27044770000066,42.28594320000411,42.28594320000411,42.28594320000411,43.28602669999964,43.277740400000766,44.278042600002664,44.269976399998995,None,1,None,0,44.278042600002664,44.278042600002664,,,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
"[-0.2, -0.2]",None,9,9,0,space,0,1.5302124999943771,0.10455240000010235,0,9,9,9,44.278042600002664,,,,,,,,,,,,,,44.270648199999414,44.28601519999938,44.28601519999938,44.28601519999938,45.286149899999145,45.27782390000357,46.27876590000233,46.27098079999996,space,0,None,5,46.27876590000233,46.27876590000233,1.5302124999943771,0.10455240000010235,,,,,janet,001,2026-05-21_16h22.10.028,untitled,,2026.1.3,119.66503364006263,2026-05-21 16h22.10.897318 -0700,
