location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials_2.response_2.rt,trials_2.response_2.duration,End.started,thank_you.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.004725200007669628,0.01660880004055798,0.01660880004055798,1.7244810999836773,space,1.6466671000234783,None,,,,,,,,,,,,,,,,,,,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
,,,,,,,,,,,,,,,,,,,,,,,1.7245588999940082,1.7313004999887198,2.7900189000647515,2.7146354999858886,,,,,,,,,,,,,,,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,2.7900189000647515,,,,,,,,,,,,,,2.769838700070977,2.7900189000647515,2.7900189000647515,2.7900189000647515,3.7222100000362843,3.7803757999790832,4.713368900003843,4.730974800069816,None,1,None,None,,,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[0, 0.2]",None,1,1,0,None,1,,,0,1,1,1,4.739325499976985,,,,,,,,,,,,,,4.731707600061782,4.739325499976985,4.739325499976985,4.739325499976985,5.722191900014877,5.731228100019507,6.714853800018318,6.723928999970667,None,1,None,None,6.731972199981101,6.731972199981101,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[0.2, 0]",None,2,2,0,None,1,,,0,2,2,2,6.731972199981101,,,,,,,,,,,,,,6.724727799999528,6.731972199981101,6.731972199981101,6.731972199981101,7.723270300077274,7.723270300077274,8.714553800062276,8.715290799969807,None,1,None,None,8.723192100063898,8.723192100063898,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[0.2, -0.2]",None,3,3,0,None,1,,,0,3,3,3,8.723192100063898,,,,,,,,,,,,,,8.716146699967794,8.723192100063898,8.723192100063898,8.723192100063898,9.72293420007918,9.714910699985921,10.715101700043306,10.707556299981661,None,1,None,None,10.715101700043306,10.715101700043306,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[0.2, 0.2]",None,4,4,0,None,1,,,0,4,4,4,10.715101700043306,,,,,,,,,,,,,,10.708165800082497,10.715101700043306,10.715101700043306,10.715101700043306,11.72294150001835,11.706727500073612,12.715052800020203,12.70667520002462,None,1,None,None,12.706044399994425,12.706044399994425,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[0.2, -0.2]",space,5,5,0,space,1,1.3888635999755934,0.13823749998118728,0,5,5,5,12.715052800020203,,,,,,,,,,,,,,12.707348500029184,12.72268200002145,12.72268200002145,12.72268200002145,13.72287990001496,13.7146756000584,14.715117100044154,14.706627400009893,space,1,None,None,14.715117100044154,14.715117100044154,1.3888635999755934,0.13823749998118728,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[-0.2, -0.2]",None,6,6,0,None,1,,,0,6,6,6,14.715117100044154,,,,,,,,,,,,,,14.707232000073418,14.722875399980694,14.722875399980694,14.722875399980694,15.722695400007069,15.71442139998544,16.714961100020446,16.70684700005222,None,1,None,None,16.714961100020446,16.714961100020446,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
"[-0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,16.714961100020446,,,,,,,,,,,,,,16.707414200063795,16.722953799995594,16.722953799995594,16.722953799995594,17.72310240007937,17.71495579998009,18.71595059998799,18.70778280007653,None,1,None,None,18.71595059998799,18.71595059998799,,,,,monday,001,2026-06-01_10h21.36.108,untitled,,2026.1.3,108.17383107887929,2026-06-01 10h21.36.504261 -0700,
