location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.004810099955648184,0.015935900155454874,0.015935900155454874,58.69554390013218,space,58.66797350021079,None,,,,,,,,,,,,,,,,,,,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
,,,,,,,,,,,,,,,,,,,,,58.695588800124824,58.70166240027174,59.70927470037714,59.68731920002028,,,,,,,,,,,,,,,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,59.70927470037714,,,,,,,,,,,,,,59.70063910027966,59.70927470037714,59.70927470037714,59.70927470037714,60.68780039995909,60.7044373000972,61.680414400063455,61.69731299998239,None,1,None,2392862.9233186,,,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,61.70533320028335,,,,,,,,,,,,,,61.69773000013083,61.70533320028335,61.70533320028335,61.70533320028335,62.6897174003534,62.6978947003372,63.68206469994038,63.69058299995959,None,1,None,2392864.9209587,63.698863100260496,63.698863100260496,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,63.698863100260496,,,,,,,,,,,,,,63.69093789998442,63.698863100260496,63.698863100260496,63.698863100260496,64.69114420004189,64.69114420004189,65.6840797001496,65.68435980007052,None,1,None,2392866.9141815,65.6919929003343,65.6919929003343,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,65.6919929003343,,,,,,,,,,,,,,65.684721800033,65.6919929003343,65.6919929003343,65.6919929003343,66.69275900023058,66.68448030017316,67.6851946003735,67.67720609996468,None,1,None,2392868.9079556,67.6851946003735,67.6851946003735,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,67.6851946003735,,,,,,,,,,,,,,67.67752090003341,67.6934855999425,67.6934855999425,67.6934855999425,68.68681129999459,68.68681129999459,69.67843070020899,69.67878090031445,None,0,None,2392870.9007754,69.68674420006573,69.68674420006573,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,69.68674420006573,,,,,,,,,,,,,,69.67938170023263,69.68674420006573,69.68674420006573,69.68674420006573,70.68843930028379,70.67995110014454,71.68015500018373,71.67196850012988,None,1,None,2392872.9025903,71.68015500018373,71.68015500018373,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,71.68015500018373,,,,,,,,,,,,,,71.67228000005707,71.68845580006018,71.68845580006018,71.68845580006018,72.68936259998009,72.68085870007053,73.68165280018002,73.67417709995061,None,1,None,2392874.8955375,73.68165280018002,73.68165280018002,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,73.68165280018002,,,,,,,,,,,,,,73.67447610013187,73.68998780008405,73.68998780008405,73.68998780008405,74.69138840027153,74.68329069996253,75.68342110002413,75.67535400018096,None,1,None,2392876.8977365,75.68342110002413,75.68342110002413,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
