location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials.response_2.rt,trials.response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.005965200252830982,0.01413490017876029,0.01413490017876029,28.466260300017893,space,28.44121680036187,None,,,,,,,,,,,,,,,,,,,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
,,,,,,,,,,,,,,,,,,,,,,,28.46630850015208,28.470330900046974,29.476915900129825,29.457689099945128,,,,,,,,,,,,,,,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,29.476915900129825,,,,,,,,,,,,,,29.46896929992363,29.476915900129825,29.476915900129825,29.476915900129825,30.458111400250345,30.474819499999285,31.450153900310397,31.467110100202262,None,1,1.0,2126684.3765595,,,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,31.47556610032916,,,,,,,,,,,,,,31.467434300109744,31.47556610032916,31.47556610032916,31.47556610032916,32.45970300026238,32.46799340005964,33.45209710020572,33.46090230019763,None,1,None,2126686.3757461,33.46880340017378,33.46880340017378,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,,,0,2,2,2,33.46880340017378,,,,,,,,,,,,,,33.46117500029504,33.46880340017378,33.46880340017378,33.46880340017378,34.46163900010288,34.46163900010288,35.453573800157756,35.453828300349414,None,1,0.0,2126688.3694989,35.462383000180125,35.462383000180125,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[-0.2, 0]",None,3,3,0,None,1,,,0,3,3,3,35.462383000180125,,,,,,,,,,,,,,35.454112300183624,35.462383000180125,35.462383000180125,35.462383000180125,36.462901200167835,36.45517210010439,37.45514849992469,37.447688800282776,None,1,None,2126690.3624332,37.45514849992469,37.45514849992469,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,,,0,4,4,4,37.45514849992469,,,,,,,,,,,,,,37.44807959999889,37.46364019997418,37.46364019997418,37.46364019997418,38.464776900131255,38.45634900033474,39.456406500190496,39.45081489998847,None,0,None,2126692.3563857,39.456406500190496,39.456406500190496,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,,,0,5,5,5,39.456406500190496,,,,,,,,,,,,,,39.45113039994612,39.456406500190496,39.456406500190496,39.456406500190496,40.45821060007438,40.44979720003903,41.450521300081164,41.442343400325626,None,1,None,2126694.3594473,41.450521300081164,41.450521300081164,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,41.450521300081164,,,,,,,,,,,,,,41.44273670017719,41.45873480010778,41.45873480010778,41.45873480010778,42.45955020003021,42.45180820021778,43.45194400008768,43.443818300031126,None,1,None,2126696.3510391,43.45194400008768,43.45194400008768,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,43.45194400008768,,,,,,,,,,,,,,43.444100900087506,43.460212300065905,43.460212300065905,43.460212300065905,44.46134599996731,44.45285290013999,45.45381470024586,45.44526949990541,None,1,None,2126698.3524229,45.45381470024586,45.45381470024586,,,,,,,scott_sham1,001,2026-07-07_15h08.37.366,untitled,,2026.1.3,120.72978712739356,2026-07-07 15h08.37.610942 -0700,
