location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.005422099959105253,0.015844999812543392,0.015844999812543392,9.949778200127184,space,9.919987599831074,None,,,,,,,,,,,,,,,,,,,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
,,,,,,,,,,,,,,,,,,,,,9.949825500138104,9.955816899891943,10.969289499800652,10.939809599891305,,,,,,,,,,,,,,,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,10.969289499800652,,,,,,,,,,,,,,10.958734299987555,10.969289499800652,10.969289499800652,10.969289499800652,11.94074789993465,11.96597439981997,12.93262240011245,12.95012929989025,None,1,1.0,2632248.0039114,,,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[0.2, 0]",None,1,1,0,None,1,0,1,1,1,12.957967899739742,,,,,,,,,,,,,,12.950491799972951,12.957967899739742,12.957967899739742,12.957967899739742,13.942124399822205,13.950369599740952,14.93437199993059,14.943371099885553,None,1,None,2632249.9957052,14.950990099925548,14.950990099925548,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,0,2,2,2,14.950990099925548,,,,,,,,,,,,,,14.943811600096524,14.950990099925548,14.950990099925548,14.950990099925548,15.943566899746656,15.943566899746656,16.93581339996308,16.936107200104743,None,1,0.0,2632251.9890018,16.944206799846143,16.944206799846143,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[-0.2, 0]",None,3,3,0,None,1,0,3,3,3,16.944206799846143,,,,,,,,,,,,,,16.936410299967974,16.944206799846143,16.944206799846143,16.944206799846143,17.944924700073898,17.93670429987833,18.93739189999178,18.93004779983312,None,1,None,2632253.9816348,18.93739189999178,18.93739189999178,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[-0.2, 0.2]",space,4,4,0,None,0,0,4,4,4,18.93739189999178,,,,,,,,,,,,,,18.930355799850076,18.946585800033063,18.946585800033063,18.946585800033063,19.947196300141513,19.93894929997623,20.93907879991457,20.930949499830604,None,0,None,2632255.9755803,20.93907879991457,20.93907879991457,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,0,5,5,5,20.93907879991457,,,,,,,,,,,,,,20.931318399962038,20.94738949974999,20.94738949974999,20.94738949974999,21.93991190008819,21.93991190008819,22.93297419976443,22.93329259986058,None,1,None,2632257.9765153,22.941084899939597,22.941084899939597,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[0, -0.2]",None,6,6,0,None,1,0,6,6,6,22.941084899939597,,,,,,,,,,,,,,22.93363460013643,22.941084899939597,22.941084899939597,22.941084899939597,23.941816799808294,23.93335339985788,24.93392900004983,24.92583160009235,None,1,None,2632259.9788453,24.93392900004983,24.93392900004983,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,0,7,7,7,24.93392900004983,,,,,,,,,,,,,,24.926313600037247,24.94243639986962,24.94243639986962,24.94243639986962,25.943267200142145,25.93480690009892,26.935570700094104,26.927541699726135,None,1,1.0,2632261.9715163,26.935570700094104,26.935570700094104,sham_demo,001,2026-07-13_11h34.21.468,untitled,,2026.1.3,119.95096423100361,2026-07-13 11h34.21.637731 -0700,
