location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials.response_2.rt,trials.response_2.duration,End.started,thank_you.started,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.004072899930179119,0.01234060013666749,0.01234060013666749,113.7034497000277,space,113.68407119996846,None,,,,,,,,,,,,,,,,,,,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
,,,,,,,,,,,,,,,,,,,,,,,113.70349609991536,113.71053649997339,114.71481319982558,114.69545949995518,,,,,,,,,,,,,,,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,114.71481319982558,,,,,,,,,,,,,,114.70569710014388,114.71481319982558,114.71481319982558,114.71481319982558,115.69649139977992,115.71305220015347,116.68804589984939,116.70536489970982,None,1,None,2125909.4329233,,,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,116.71368200005963,,,,,,,,,,,,,,116.70575019996613,116.71368200005963,116.71368200005963,116.71368200005963,117.69796120002866,117.70624049985781,118.69008089974523,118.6987868999131,None,1,None,2125911.4337643,118.70639130007476,118.70639130007476,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0.2]",None,2,2,0,None,1,,,0,2,2,2,118.70639130007476,,,,,,,,,,,,,,118.69913619989529,118.70639130007476,118.70639130007476,118.70639130007476,119.70002740016207,119.70002740016207,120.6918759001419,120.69213660014793,None,1,None,2125913.4271788,120.69986069994047,120.69986069994047,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0]",None,3,3,0,None,1,,,0,3,3,3,120.69986069994047,,,,,,,,,,,,,,120.69242679979652,120.69986069994047,120.69986069994047,120.69986069994047,121.70130610000342,121.69282010011375,122.693834700156,122.68538599973544,None,1,None,2125915.4204728,122.693834700156,122.693834700156,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0.2]",space,4,4,0,space,1,0.6048436998389661,0.18266199994832277,0,4,4,4,122.693834700156,,,,,,,,,,,,,,122.68573419982567,122.70179650001228,122.70179650001228,122.70179650001228,123.69483479997143,123.69483479997143,124.68678840016946,124.6871730000712,space,1,None,2125917.4137613,124.69488039985299,124.69488039985299,0.6048436998389661,0.18266199994832277,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, -0.2]",None,5,5,0,None,1,,,0,5,5,5,124.69488039985299,,,,,,,,,,,,,,124.68792099971324,124.69488039985299,124.69488039985299,124.69488039985299,125.69554470013827,125.68804829986766,126.6884276997298,126.68055409984663,None,1,None,2125919.4158748,126.6884276997298,126.6884276997298,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,126.6884276997298,,,,,,,,,,,,,,126.6809219000861,126.69648269983009,126.69648269983009,126.69648269983009,127.69740920001641,127.68969959998503,128.69035849999636,128.6819941001013,None,1,None,2125921.4089548,128.69035849999636,128.69035849999636,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,128.69035849999636,,,,,,,,,,,,,,128.68229699973017,128.6983413998969,128.6983413998969,128.6983413998969,129.69982919981703,129.69155769981444,130.69186179991812,130.68412610003725,None,1,None,2125923.4103427,130.69186179991812,130.69186179991812,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
