location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,grid_lines_2.stopped,response_2.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,trials_2.response_2.rt,trials_2.response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0027269000420346856,0.006365400040522218,0.006365400040522218,0.6686514000175521,space,0.6502259999979287,None,,,,,,,,,,,,,,,,,,,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
,,,,,,,,,,,,,,,,,,,,,,,0.6686910000862554,0.6728951000841334,1.6735502000665292,1.6607175000244752,,,,,,,,,,,,,,,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,1.6735502000665292,,,,,,,,,,,,,,1.6682090000249445,1.6735502000665292,1.6735502000665292,1.6735502000665292,2.6599822000134736,2.668565500061959,3.6514835000270978,3.668357799993828,3.668357799993828,3.6609210000606254,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0, 0.2]",None,1,1,0,None,1,,,0,1,1,1,3.668357799993828,,,,,,,,,,,,,,3.661242000060156,3.668357799993828,3.668357799993828,3.668357799993828,4.66022239997983,4.66022239997983,5.651655300054699,5.660161199979484,5.660161199979484,5.651952599990182,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, 0]",None,2,2,0,None,1,,,0,2,2,2,5.660161199979484,,,,,,,,,,,,,,5.652253900072537,5.660161199979484,5.660161199979484,5.660161199979484,6.660198000026867,6.652032800018787,7.652177100069821,7.652177100069821,7.652177100069821,7.644155899994075,None,1,0.0,736893.6148827,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, -0.2]",None,3,3,0,None,1,,,0,3,3,3,7.652177100069821,,,,,,,,,,,,,,7.644422900048085,7.660645900061354,7.660645900061354,7.660645900061354,8.660176699981093,8.652175400056876,9.651776500046253,9.651776500046253,9.651776500046253,9.644122800091282,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, 0.2]",None,4,4,0,None,1,,,0,4,4,4,9.651776500046253,,,,,,,,,,,,,,9.64438459998928,9.660005400073715,9.660005400073715,9.660005400073715,10.65998060000129,10.652114600059576,11.65183430002071,11.65183430002071,11.65183430002071,11.644235700019635,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, -0.2]",space,5,5,0,space,1,0.4480884000658989,0.08928499999456108,0,5,5,5,11.65183430002071,,,,,,,,,,,,,,11.64449760003481,11.660387800075114,11.660387800075114,11.660387800075114,12.660088100004941,12.651989000034519,13.652172000030987,13.652172000030987,13.652172000030987,13.644294300000183,space,1,None,None,0.4480884000658989,0.08928499999456108,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[-0.2, -0.2]",None,6,6,0,None,1,,,0,6,6,6,13.652172000030987,,,,,,,,,,,,,,13.644551999983378,13.660138000035658,13.660138000035658,13.660138000035658,14.660126500064507,14.652321700006723,15.652053100056946,15.652053100056946,15.652053100056946,15.643927400000393,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[-0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,15.652053100056946,,,,,,,,,,,,,,15.644181000068784,15.66021720005665,15.66021720005665,15.66021720005665,16.660463700070977,16.65239569998812,17.65215600002557,17.65215600002557,17.65215600002557,17.643749900045805,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0, 0]",None,8,8,0,None,1,,,0,8,8,8,17.65215600002557,,,,,,,,,,,,,,17.643990400014445,17.66067610005848,17.66067610005848,17.66067610005848,18.660548000014387,18.65250880003441,19.652207700069994,19.652207700069994,19.652207700069994,19.644163600052707,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[-0.2, -0.2]",None,9,9,0,None,1,,,0,9,9,9,19.652207700069994,,,,,,,,,,,,,,19.64441489998717,19.660473000025377,19.660473000025377,19.660473000025377,20.660721600055695,20.652706400025636,21.652352400007658,21.652352400007658,21.652352400007658,21.64427460008301,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0, 0]",space,10,10,0,space,1,0.673043999937363,0.14667729998473078,0,10,10,10,21.652352400007658,,,,,,,,,,,,,,21.644527700031176,21.6604908000445,21.6604908000445,21.6604908000445,22.660585900070146,22.65218079998158,23.65253439999651,23.65253439999651,23.65253439999651,23.644316100049764,space,1,None,None,0.673043999937363,0.14667729998473078,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, 0]",None,11,11,0,None,1,,,0,11,11,11,23.65253439999651,,,,,,,,,,,,,,23.644626200082712,23.660872900043614,23.660872900043614,23.660872900043614,24.660678600077517,24.652294300030917,25.65203440003097,25.65203440003097,25.65203440003097,25.644437000039034,None,1,1.0,736912.561244,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, 0.2]",None,12,12,0,None,1,,,0,12,12,12,25.65203440003097,,,,,,,,,,,,,,25.644703300087713,25.660690400050953,25.660690400050953,25.660690400050953,26.660731800016947,26.652396899997257,27.652115200064145,27.652115200064145,27.652115200064145,27.644535900093615,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, 0]",space,13,13,0,space,1,0.5883096000179648,0.13555549993179739,0,13,13,13,27.652115200064145,,,,,,,,,,,,,,27.6447861000197,27.661103500053287,27.661103500053287,27.661103500053287,28.660741200088523,28.652470000088215,29.652210700092837,29.652210700092837,29.652210700092837,29.64459949999582,space,1,None,None,0.5883096000179648,0.13555549993179739,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0, -0.2]",None,14,14,0,None,1,,,0,14,14,14,29.652210700092837,,,,,,,,,,,,,,29.644851200049743,29.660873700049706,29.660873700049706,29.660873700049706,30.660958499996923,30.652549399994314,31.652332800091244,31.652332800091244,31.652332800091244,31.644849900039844,None,1,0.0,736917.8186532,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, -0.2]",None,15,15,0,None,1,,,0,15,15,15,31.652332800091244,,,,,,,,,,,,,,31.645173600059934,31.660530399996787,31.660530399996787,31.660530399996787,32.66056170000229,32.6526457000291,33.65246050001588,33.65246050001588,33.65246050001588,33.644777000066824,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
"[0.2, -0.2]",None,16,16,0,None,1,,,0,16,16,16,33.65246050001588,,,,,,,,,,,,,,33.64502569998149,33.66058250004426,33.66058250004426,33.66058250004426,34.66072970000096,34.65282180008944,35.6525135000702,35.6525135000702,35.6525135000702,35.644856200087816,None,1,None,None,,,,,,,testssss,001,2026-05-29_12h36.16.167,untitled,,2026.1.3,120.03461796794299,2026-05-29 12h36.16.321657 -0700,
