location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,grid_lines_2.stopped,response_2.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,trials_2.response_2.rt,trials_2.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.00448919995687902,0.014420200022868812,0.014420200022868812,12.092261099955067,space,12.072427399922162,None,,,,,,,,,,,,,,,,,,,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
,,,,,,,,,,,,,,,,,,,,,,,12.092299100011587,12.100138399982825,13.098851799964905,13.083637699950486,,,,,,,,,,,,,,,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",None,0,0,0,None,1,,,0,0,0,0,13.098851799964905,,,,,,,,,,,,,,13.090302599943243,13.098851799964905,13.098851799964905,13.098851799964905,14.084842799929902,14.093199199996889,15.076254799962044,15.093159599928185,15.093159599928185,15.08527449995745,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, 0]",None,1,1,0,None,1,,,0,1,1,1,15.093159599928185,,,,,,,,,,,,,,15.085567399975844,15.093159599928185,15.093159599928185,15.093159599928185,16.085119399940595,16.085119399940595,17.076955399941653,17.084484599996358,17.084484599996358,17.07721609994769,None,1,1.0,812470.4158714,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",space,2,2,0,space,1,0.43756700004450977,0.1492365999147296,0,2,2,2,17.084484599996358,,,,,,,,,,,,,,17.077501700026914,17.084484599996358,17.084484599996358,17.084484599996358,18.08463890000712,18.07650319999084,19.076442999998108,19.076442999998108,19.076442999998108,19.068092299974523,space,1,None,None,0.43756700004450977,0.1492365999147296,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[-0.2, 0.2]",None,3,3,0,None,1,,,0,3,3,3,19.076442999998108,,,,,,,,,,,,,,19.068513000034727,19.084930500015616,19.084930500015616,19.084930500015616,20.08479500003159,20.076451999950223,21.07661410002038,21.07661410002038,21.07661410002038,21.06827589997556,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, -0.2]",None,4,4,0,None,1,,,0,4,4,4,21.07661410002038,,,,,,,,,,,,,,21.068587200017646,21.084781000041403,21.084781000041403,21.084781000041403,22.085180999943987,22.07618029997684,23.07676419999916,23.07676419999916,23.07676419999916,23.068416800000705,None,1,0.0,812475.4194545,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[-0.2, 0]",None,5,5,0,None,1,,,0,5,5,5,23.07676419999916,,,,,,,,,,,,,,23.06874739995692,23.084924099966884,23.084924099966884,23.084924099966884,24.084919399931096,24.076780200004578,25.076267599943094,25.076267599943094,25.076267599943094,25.068296100012958,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, -0.2]",None,6,6,0,None,1,,,0,6,6,6,25.076267599943094,,,,,,,,,,,,,,25.068628099979833,25.085561499930918,25.085561499930918,25.085561499930918,26.085443699965253,26.076339400024153,27.07676830003038,27.08522410003934,27.08522410003934,27.077234199969098,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, 0.2]",None,7,7,0,None,1,,,0,7,7,7,27.08522410003934,,,,,,,,,,,,,,27.0776223000139,27.08522410003934,27.08522410003934,27.08522410003934,28.085063199978322,28.077554899966344,29.076863499940373,29.076863499940373,29.076863499940373,29.068476399988867,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, -0.2]",space,8,8,0,space,1,0.7707804000237957,0.1078971999231726,0,8,8,8,29.076863499940373,,,,,,,,,,,,,,29.06876379996538,29.085154099971987,29.085154099971987,29.085154099971987,30.085236600018106,30.076457599992864,31.077000899938866,31.077000899938866,31.077000899938866,31.068574500037357,space,1,None,None,0.7707804000237957,0.1078971999231726,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",None,9,9,0,None,1,,,0,9,9,9,31.077000899938866,,,,,,,,,,,,,,31.06884339998942,31.084651299985126,31.084651299985126,31.084651299985126,32.08510409994051,32.07656339998357,33.0766764000291,33.0766764000291,33.0766764000291,33.069368900032714,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, 0]",None,10,10,0,None,1,,,0,10,10,10,33.0766764000291,,,,,,,,,,,,,,33.06965439999476,33.08484549995046,33.08484549995046,33.08484549995046,34.085267500020564,34.07666619995143,35.07670039997902,35.07670039997902,35.07670039997902,35.06878750002943,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",space,11,11,0,space,1,0.55692280002404,0.10559719998855144,0,11,11,11,35.07670039997902,,,,,,,,,,,,,,35.06909270002507,35.08544890000485,35.08544890000485,35.08544890000485,36.084898600005545,36.07678310002666,37.076830200036056,37.076830200036056,37.076830200036056,37.068926400039345,space,1,None,None,0.55692280002404,0.10559719998855144,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,,,0,12,12,12,37.076830200036056,,,,,,,,,,,,,,37.06922099995427,37.08550209994428,37.08550209994428,37.08550209994428,38.08595520001836,38.07752139994409,39.07693889993243,39.07693889993243,39.07693889993243,39.069334500003606,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,,,0,13,13,13,39.07693889993243,,,,,,,,,,,,,,39.06965980003588,39.085663500009105,39.085663500009105,39.085663500009105,40.085737799992785,40.07763459999114,41.07728219998535,41.07728219998535,41.07728219998535,41.06863949995022,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, -0.2]",None,14,14,0,space,0,0.6035528000211343,0.11300190002657473,0,14,14,14,41.07728219998535,,,,,,,,,,,,,,41.068940600031056,41.085643099970184,41.085643099970184,41.085643099970184,42.08527779998258,42.077022599987686,43.077400099951774,43.077400099951774,43.077400099951774,43.06880430004094,space,0,None,None,0.6035528000211343,0.11300190002657473,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[-0.2, -0.2]",space,15,15,0,space,1,0.8196900000330061,0.11055249988567084,0,15,15,15,43.077400099951774,,,,,,,,,,,,,,43.06912150001153,43.08508640003856,43.08508640003856,43.08508640003856,44.08546530001331,44.07753479992971,45.07712669996545,45.07712669996545,45.07712669996545,45.06883370003197,space,1,None,None,0.8196900000330061,0.11055249988567084,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0.2]",None,16,16,0,None,1,,,0,16,16,16,45.07712669996545,,,,,,,,,,,,,,45.0691595999524,45.08548519993201,45.08548519993201,45.08548519993201,46.08594250003807,46.07769259996712,47.07765799993649,47.07765799993649,47.07765799993649,47.06898209999781,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, 0.2]",None,17,17,0,None,1,,,0,17,17,17,47.07765799993649,,,,,,,,,,,,,,47.06928419996984,47.085438899928704,47.085438899928704,47.085438899928704,48.08579339995049,48.0770588000305,49.077386099961586,49.077386099961586,49.077386099961586,49.06884900003206,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",None,18,18,0,space,0,0.99661319993902,0.0901451000245288,0,18,18,18,49.077386099961586,,,,,,,,,,,,,,49.06917779997457,49.084945200011134,49.084945200011134,49.084945200011134,50.086771499947645,50.07899129996076,51.078546899952926,51.078546899952926,51.078546899952926,51.070590000017546,space,0,None,None,0.99661319993902,0.0901451000245288,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, -0.2]",None,19,19,0,None,1,,,0,19,19,19,51.078546899952926,,,,,,,,,,,,,,51.07099699997343,51.086664699949324,51.086664699949324,51.086664699949324,52.0871323000174,52.078618000028655,53.078299399930984,53.078299399930984,53.078299399930984,53.070254700025544,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, 0]",None,20,20,0,None,1,,,0,20,20,20,53.078299399930984,,,,,,,,,,,,,,53.07056210003793,53.08708570001181,53.08708570001181,53.08708570001181,54.08749820000958,54.07826139999088,55.07831170002464,55.07831170002464,55.07831170002464,55.070743400021456,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, -0.2]",space,21,21,0,None,0,,,0,21,21,21,55.07831170002464,,,,,,,,,,,,,,55.07106759992894,55.08704250003211,55.08704250003211,55.08704250003211,56.087534399935976,56.078327400027774,57.078146699932404,57.078146699932404,57.078146699932404,57.07046389998868,None,0,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[-0.2, 0.2]",None,22,22,0,None,1,,,0,22,22,22,57.078146699932404,,,,,,,,,,,,,,57.07074240001384,57.08698140003253,57.08698140003253,57.08698140003253,58.08742200001143,58.07830599998124,59.07844780001324,59.07844780001324,59.07844780001324,59.070551299955696,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, -0.2]",None,23,23,0,None,1,,,0,23,23,23,59.07844780001324,,,,,,,,,,,,,,59.07081679999828,59.0870173999574,59.0870173999574,59.0870173999574,60.08691940002609,60.07842989999335,61.07858660002239,61.07858660002239,61.07858660002239,61.07055359997321,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0.2]",space,24,24,0,None,0,,,0,24,24,24,61.07858660002239,,,,,,,,,,,,,,61.07084439997561,61.08672989998013,61.08672989998013,61.08672989998013,62.08691499999259,62.07851839996874,63.0791709999321,63.0791709999321,63.0791709999321,63.07079289993271,None,0,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",None,25,25,0,None,1,,,0,25,25,25,63.0791709999321,,,,,,,,,,,,,,63.0711072999984,63.087515600025654,63.087515600025654,63.087515600025654,64.0872402000241,64.07870029995684,65.0791016999865,65.0791016999865,65.0791016999865,65.07025340001564,None,1,1.0,812518.0275006,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0.2, 0.2]",None,26,26,0,None,1,,,0,26,26,26,65.0791016999865,,,,,,,,,,,,,,65.07053609995637,65.08688309998251,65.08688309998251,65.08688309998251,66.08745480002835,66.07885439996608,67.07898350001778,67.07898350001778,67.07898350001778,67.07081119995564,None,1,None,None,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",space,27,27,0,None,0,,,0,27,27,27,67.07898350001778,,,,,,,,,,,,,,67.07112290000077,67.08685289998539,67.08685289998539,67.08685289998539,68.08728440001141,68.07872749993112,69.07897989999037,69.07897989999037,69.07897989999037,69.07120729994494,None,0,0.0,812523.0299708,,,today,001,2026-06-22_10h05.34.349,untitled,,2026.1.3,120.36967937163219,2026-06-22 10h05.34.608906 -0700,
"[0, 0]",None,28,0,1,,,,,1,0,28,0,69.07897989999037,,,,,,,,,,,,,,69.07150149997324,69.08757019997574,69.08757019997574,69.08757019997574,,,,,,,,,,,,,,,,,,,,,
