Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,199999.96875,199999.96875,196451.46875,199999.96875,199999.96875,199999.96875,199999.96875,251.12631225585938
0.004,199999.96875,199999.96875,196509.421875,199999.96875,199999.96875,199999.96875,199999.96875,249.26664733886719
0.008,199999.96875,199999.96875,195586.125,199999.96875,199999.96875,199999.96875,199999.96875,248.69442749023438
0.012,199999.96875,199999.96875,195340.546875,199999.96875,199999.96875,199999.96875,199999.96875,248.12223815917969
0.016,199999.96875,199999.96875,196204.296875,199999.96875,199999.96875,199999.96875,199999.96875,250.315673828125
0.02,199999.96875,199999.96875,196554.75,199999.96875,199999.96875,199999.96875,199999.96875,250.8402099609375
0.024,199999.96875,199999.96875,195737.84375,199999.96875,199999.96875,199999.96875,199999.96875,248.45602416992188
0.028,199999.96875,199999.96875,195268.078125,199999.96875,199999.96875,199999.96875,199999.96875,250.6971435546875
0.032,199999.96875,199999.96875,196032.703125,199999.96875,199999.96875,199999.96875,199999.96875,250.79252624511719
0.036,199999.96875,199999.96875,196602.375,199999.96875,199999.96875,199999.96875,199999.96875,250.50642395019531
0.04,199999.96875,199999.96875,195909.71875,199999.96875,199999.96875,199999.96875,199999.96875,250.88789367675781
0.044,199999.96875,199999.96875,195233.453125,199999.96875,199999.96875,199999.96875,199999.96875,251.36471557617188
0.048,199999.96875,199999.96875,195867.453125,199999.96875,199999.96875,199999.96875,199999.96875,252.12765502929688
0.052,199999.96875,199999.96875,196606.453125,199999.96875,199999.96875,199999.96875,199999.96875,249.74348449707031
0.056,199999.96875,199999.96875,196077.453125,199999.96875,199999.96875,199999.96875,199999.96875,251.4600830078125
0.06,199999.96875,199999.96875,195247.625,199999.96875,199999.96875,199999.96875,199999.96875,250.0772705078125
0.064,199999.96875,199999.96875,195696.171875,199999.96875,199999.96875,199999.96875,199999.96875,249.69580078125
0.068,199999.96875,199999.96875,196566.96875,199999.96875,199999.96875,199999.96875,199999.96875,251.03096008300781
0.072,199999.96875,199999.96875,196227.5,199999.96875,199999.96875,199999.96875,199999.96875,250.93559265136719
0.076,199999.96875,199999.96875,195310.5,199999.96875,199999.96875,199999.96875,199999.96875,251.88925170898438
0.08,199999.96875,199999.96875,196068.046875,199999.96875,199999.96875,199999.96875,199999.96875,249.40971374511719
0.084,199999.96875,199999.96875,196559.328125,199999.96875,199999.96875,199999.96875,199999.96875,249.40971374511719
0.088,199999.96875,199999.96875,196205.96875,199999.96875,199999.96875,199999.96875,199999.96875,250.79252624511719
0.092,199999.96875,199999.96875,195294,199999.96875,199999.96875,199999.96875,199999.96875,249.64811706542969
0.096,199999.96875,199999.96875,195558.96875,199999.96875,199999.96875,199999.96875,199999.96875,250.50642395019531
0.1,199999.96875,199999.96875,196471.125,199999.96875,199999.96875,199999.96875,199999.96875,252.17536926269531
0.104,199999.96875,199999.96875,196339.578125,199999.96875,199999.96875,199999.96875,199999.96875,250.0772705078125
0.108,199999.96875,199999.96875,195397.96875,199999.96875,199999.96875,199999.96875,199999.96875,250.64949035644531
0.112,199999.96875,199999.96875,195437.125,199999.96875,199999.96875,199999.96875,199999.96875,250.88789367675781
0.116,199999.96875,199999.96875,196357.671875,199999.96875,199999.96875,199999.96875,199999.96875,249.50508117675781
0.12,199999.96875,199999.96875,196447.46875,199999.96875,199999.96875,199999.96875,199999.96875,250.26802062988281
0.124,199999.96875,199999.96875,195541.125,199999.96875,199999.96875,199999.96875,199999.96875,251.31706237792969
0.128,199999.96875,199999.96875,195333.125,199999.96875,199999.96875,199999.96875,199999.96875,251.4600830078125
0.132,199999.96875,199999.96875,196204.171875,199999.96875,199999.96875,199999.96875,199999.96875,248.12223815917969
0.136,199999.96875,199999.96875,196536.34375,199999.96875,199999.96875,199999.96875,199999.96875,248.789794921875
0.14,199999.96875,199999.96875,195708.96875,199999.96875,199999.96875,199999.96875,199999.96875,249.60043334960938
0.144,199999.96875,199999.96875,195255.5,199999.96875,199999.96875,199999.96875,199999.96875,249.40971374511719
0.148,199999.96875,199999.96875,196041.46875,199999.96875,199999.96875,199999.96875,199999.96875,251.41242980957031
0.152,199999.96875,199999.96875,196583.25,199999.96875,199999.96875,199999.96875,199999.96875,250.02958679199219
0.156,199999.96875,199999.96875,195876.328125,199999.96875,199999.96875,199999.96875,199999.96875,249.45736694335938
0.16,199999.96875,199999.96875,195220.296875,199999.96875,199999.96875,199999.96875,199999.96875,248.07455444335938
0.164,199999.96875,199999.96875,195877,199999.96875,199999.96875,199999.96875,199999.96875,250.93559265136719
0.168,199999.96875,199999.96875,196595,199999.96875,199999.96875,199999.96875,199999.96875,250.315673828125
0.172,199999.96875,199999.96875,196049.71875,199999.96875,199999.96875,199999.96875,199999.96875,249.07589721679688
0.176,199999.96875,199999.96875,195233.578125,199999.96875,199999.96875,199999.96875,199999.96875,248.98054504394531
0.18,199999.96875,199999.96875,195713.578125,199999.96875,199999.96875,199999.96875,199999.96875,249.40971374511719
0.184,199999.96875,199999.96875,196563.921875,199999.96875,199999.96875,199999.96875,199999.96875,250.36337280273438
0.188,199999.96875,199999.96875,196207.46875,199999.96875,199999.96875,199999.96875,199999.96875,251.31706237792969
0.192,199999.96875,199999.96875,195297.21875,199999.96875,199999.96875,199999.96875,199999.96875,250.8402099609375
0.196,199999.96875,199999.96875,195567.75,199999.96875,199999.96875,199999.96875,199999.96875,250.02958679199219
0.2,199999.96875,199999.96875,196483.796875,199999.96875,199999.96875,199999.96875,199999.96875,250.60177612304688
0.204,199999.96875,199999.96875,196337.625,199999.96875,199999.96875,199999.96875,199999.96875,250.60177612304688
0.208,199999.96875,199999.96875,195401.328125,199999.96875,199999.96875,199999.96875,199999.96875,250.26802062988281
0.212,199999.96875,199999.96875,195444.375,199999.96875,199999.96875,199999.96875,199999.96875,249.12361145019531
0.216,199999.96875,199999.96875,196361,199999.96875,199999.96875,199999.96875,199999.96875,250.26802062988281
0.22,199999.96875,199999.96875,196450.421875,199999.96875,199999.96875,199999.96875,199999.96875,250.74484252929688
0.224,199999.96875,199999.96875,195543.59375,199999.96875,199999.96875,199999.96875,199999.96875,252.03230285644531
0.228,199999.96875,199999.96875,195339.96875,199999.96875,199999.96875,199999.96875,199999.96875,249.3143310546875
0.232,199999.96875,199999.96875,196207.375,199999.96875,199999.96875,199999.96875,199999.96875,251.6031494140625
0.236,199999.96875,199999.96875,196529.25,199999.96875,199999.96875,199999.96875,199999.96875,250.88789367675781
0.24,199999.96875,199999.96875,195711.078125,199999.96875,199999.96875,199999.96875,199999.96875,248.88517761230469
0.244,199999.96875,199999.96875,195265.328125,199999.96875,199999.96875,199999.96875,199999.96875,251.26936340332031
0.248,199999.96875,199999.96875,196039.171875,199999.96875,199999.96875,199999.96875,199999.96875,249.40971374511719
0.252,199999.96875,199999.96875,196582.21875,199999.96875,199999.96875,199999.96875,199999.96875,250.0772705078125
0.256,199999.96875,199999.96875,195879.921875,199999.96875,199999.96875,199999.96875,199999.96875,248.789794921875
0.26,199999.96875,199999.96875,195222.328125,199999.96875,199999.96875,199999.96875,199999.96875,249.64811706542969
0.264,199999.96875,199999.96875,195873.078125,199999.96875,199999.96875,199999.96875,199999.96875,248.932861328125
0.268,199999.96875,199999.96875,196593.796875,199999.96875,199999.96875,199999.96875,199999.96875,247.50236511230469
0.272,199999.96875,199999.96875,196048.078125,199999.96875,199999.96875,199999.96875,199999.96875,248.50370788574219
0.276,199999.96875,199999.96875,195228.953125,199999.96875,199999.96875,199999.96875,199999.96875,250.36337280273438
0.28,199999.96875,199999.96875,195710.96875,199999.96875,199999.96875,199999.96875,199999.96875,248.83749389648438
0.284,199999.96875,199999.96875,196563.921875,199999.96875,199999.96875,199999.96875,199999.96875,251.55546569824219
0.288,199999.96875,199999.96875,196205.296875,199999.96875,199999.96875,199999.96875,199999.96875,250.458740234375
0.292,199999.96875,199999.96875,195289.46875,199999.96875,199999.96875,199999.96875,199999.96875,251.69853210449219
0.296,199999.96875,199999.96875,195563.921875,199999.96875,199999.96875,199999.96875,199999.96875,249.9342041015625
0.3,199999.96875,199999.96875,196482.703125,199999.96875,199999.96875,199999.96875,199999.96875,249.45736694335938
0.304,199999.96875,199999.96875,196333,199999.96875,199999.96875,199999.96875,199999.96875,249.9342041015625
0.308,199999.96875,199999.96875,195397.75,199999.96875,199999.96875,199999.96875,199999.96875,249.45736694335938
0.312,199999.96875,199999.96875,195446.046875,199999.96875,199999.96875,199999.96875,199999.96875,250.93559265136719
0.316,199999.96875,199999.96875,196361.703125,199999.96875,199999.96875,199999.96875,199999.96875,249.98190307617188
0.32,199999.96875,199999.96875,196447.875,199999.96875,199999.96875,199999.96875,199999.96875,250.36337280273438
0.324,199999.96875,199999.96875,195537.921875,199999.96875,199999.96875,199999.96875,199999.96875,249.74348449707031
0.328,199999.96875,199999.96875,195346.421875,199999.96875,199999.96875,199999.96875,199999.96875,249.79118347167969
0.332,199999.96875,199999.96875,196213.71875,199999.96875,199999.96875,199999.96875,199999.96875,252.9859619140625
0.336,199999.96875,199999.96875,196534.046875,199999.96875,199999.96875,199999.96875,199999.96875,248.789794921875
0.34,199999.96875,199999.96875,195702.546875,199999.96875,199999.96875,199999.96875,199999.96875,251.6031494140625
0.344,199999.96875,199999.96875,195264.71875,199999.96875,199999.96875,199999.96875,199999.96875,250.36337280273438
0.348,199999.96875,199999.96875,196046.203125,199999.96875,199999.96875,199999.96875,199999.96875,249.45736694335938
0.352,199999.96875,199999.96875,196583.828125,199999.96875,199999.96875,199999.96875,199999.96875,251.4600830078125
0.356,199999.96875,199999.96875,195876.125,199999.96875,199999.96875,199999.96875,199999.96875,249.36201477050781
0.36,199999.96875,199999.96875,195224.125,199999.96875,199999.96875,199999.96875,199999.96875,248.83749389648438
0.364,199999.96875,199999.96875,195878.59375,199999.96875,199999.96875,199999.96875,199999.96875,251.79389953613281
0.368,199999.96875,199999.96875,196595.875,199999.96875,199999.96875,199999.96875,199999.96875,248.45602416992188
0.372,199999.96875,199999.96875,196043.296875,199999.96875,199999.96875,199999.96875,199999.96875,249.12361145019531
0.376,199999.96875,199999.96875,195229.421875,199999.96875,199999.96875,199999.96875,199999.96875,249.02824401855469
0.38,199999.96875,199999.96875,195716.703125,199999.96875,199999.96875,199999.96875,199999.96875,249.02824401855469
0.384,199999.96875,199999.96875,196558.125,199999.96875,199999.96875,199999.96875,199999.96875,248.5513916015625
0.388,199999.96875,199999.96875,196198.328125,199999.96875,199999.96875,199999.96875,199999.96875,248.83749389648438
0.392,199999.96875,199999.96875,195282.25,199999.96875,199999.96875,199999.96875,199999.96875,246.54867553710938
0.396,199999.96875,199999.96875,195566.125,199999.96875,199999.96875,199999.96875,199999.96875,250.26802062988281
0.4,199999.96875,199999.96875,196475.453125,199999.96875,199999.96875,199999.96875,199999.96875,251.6031494140625
0.404,199999.96875,199999.96875,196327.296875,199999.96875,199999.96875,199999.96875,199999.96875,250.50642395019531
0.408,199999.96875,199999.96875,195390.125,199999.96875,199999.96875,199999.96875,199999.96875,249.88655090332031
0.412,199999.96875,199999.96875,195438.09375,199999.96875,199999.96875,199999.96875,199999.96875,249.64811706542969
0.416,199999.96875,199999.96875,196362.796875,199999.96875,199999.96875,199999.96875,199999.96875,251.26936340332031
0.42,199999.96875,199999.96875,196438.421875,199999.96875,199999.96875,199999.96875,199999.96875,249.45736694335938
0.424,199999.96875,199999.96875,195533.96875,199999.96875,199999.96875,199999.96875,199999.96875,249.12361145019531
0.428,199999.96875,199999.96875,195336.828125,199999.96875,199999.96875,199999.96875,199999.96875,251.17399597167969
0.432,199999.96875,199999.96875,196217.46875,199999.96875,199999.96875,199999.96875,199999.96875,248.789794921875
0.436,199999.96875,199999.96875,196530.921875,199999.96875,199999.96875,199999.96875,199999.96875,250.6971435546875
0.44,199999.96875,199999.96875,195701.203125,199999.96875,199999.96875,199999.96875,199999.96875,250.41105651855469
0.444,199999.96875,199999.96875,195258.296875,199999.96875,199999.96875,199999.96875,199999.96875,251.2216796875
0.448,199999.96875,199999.96875,196046.703125,199999.96875,199999.96875,199999.96875,199999.96875,252.17536926269531
0.452,199999.96875,199999.96875,196575,199999.96875,199999.96875,199999.96875,199999.96875,249.36201477050781
0.456,199999.96875,199999.96875,195871.703125,199999.96875,199999.96875,199999.96875,199999.96875,251.17399597167969
0.46,199999.96875,199999.96875,195225.625,199999.96875,199999.96875,199999.96875,199999.96875,251.12631225585938
0.464,199999.96875,199999.96875,195881.71875,199999.96875,199999.96875,199999.96875,199999.96875,248.83749389648438
0.468,199999.96875,199999.96875,196597.09375,199999.96875,199999.96875,199999.96875,199999.96875,250.17265319824219
0.472,199999.96875,199999.96875,196043.875,199999.96875,199999.96875,199999.96875,199999.96875,251.65083312988281
0.476,199999.96875,199999.96875,195235.953125,199999.96875,199999.96875,199999.96875,199999.96875,250.79252624511719
0.48,199999.96875,199999.96875,195719.421875,199999.96875,199999.96875,199999.96875,199999.96875,249.83883666992188
0.484,199999.96875,199999.96875,196566.96875,199999.96875,199999.96875,199999.96875,199999.96875,249.64811706542969
0.488,199999.96875,199999.96875,196191.375,199999.96875,199999.96875,199999.96875,199999.96875,250.98324584960938
0.492,199999.96875,199999.96875,195284.421875,199999.96875,199999.96875,199999.96875,199999.96875,248.64677429199219
0.496,199999.96875,199999.96875,195568.796875,199999.96875,199999.96875,199999.96875,199999.96875,248.59907531738281
0.5,199999.96875,199999.96875,196482.953125,199999.96875,199999.96875,199999.96875,199999.96875,250.50642395019531
0.504,199999.96875,199999.96875,196322.21875,199999.96875,199999.96875,199999.96875,199999.96875,251.984619140625
0.508,199999.96875,199999.96875,195386.546875,199999.96875,199999.96875,199999.96875,199999.96875,251.6031494140625
0.512,199999.96875,199999.96875,195441,199999.96875,199999.96875,199999.96875,199999.96875,250.17265319824219
0.516,199999.96875,199999.96875,196355.625,199999.96875,199999.96875,199999.96875,199999.96875,250.0772705078125
0.52,199999.96875,199999.96875,196433.828125,199999.96875,199999.96875,199999.96875,199999.96875,250.41105651855469
0.524,199999.96875,199999.96875,195530.625,199999.96875,199999.96875,199999.96875,199999.96875,251.50778198242188
0.528,199999.96875,199999.96875,195334.046875,199999.96875,199999.96875,199999.96875,199999.96875,250.55412292480469
0.532,199999.96875,199999.96875,196207.703125,199999.96875,199999.96875,199999.96875,199999.96875,249.3143310546875
0.536,199999.96875,199999.96875,196523.71875,199999.96875,199999.96875,199999.96875,199999.96875,251.31706237792969
0.54,199999.96875,199999.96875,195689.25,199999.96875,199999.96875,199999.96875,199999.96875,248.5513916015625
0.544,199999.96875,199999.96875,195258.59375,199999.96875,199999.96875,199999.96875,199999.96875,249.3143310546875
0.548,199999.96875,199999.96875,196044.5,199999.96875,199999.96875,199999.96875,199999.96875,248.932861328125
