Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,58369.2109375,31093.005859375,5318.83349609375,29609.541015625,29670.431640625,60844.7109375,45393.0625,461.173095703125
0.004,57038.76953125,30851.009765625,5559.37353515625,28895.240234375,30018.80859375,60824.3984375,44647.0546875,457.66836547851562
0.008,60953.3125,32808.875,7311.6787109375,33590.19921875,31119.515625,62027.36328125,51288.39453125,448.98989868164062
0.012,62618.875,33240.6796875,7295.77587890625,34851.88671875,30851.15234375,62042.67578125,52951.40625,452.49462890625
0.016,58930.96875,31322.958984375,5531.7646484375,30290.55859375,29719.787109375,60857.5859375,46316.91796875,458.97964477539062
0.02,56590.15625,30549.791015625,5253.52978515625,28328.609375,29752.421875,60534,43862.8671875,458.40740966796875
0.024,60150.2421875,32431.60546875,7028.03125,32735.755859375,30947.234375,61792.44921875,50088.0234375,450.99261474609375
0.028,62793.23828125,33387.78125,7500.02978515625,35191.0859375,31020.546875,62170.25,53453.3984375,448.39389038085938
0.032,59674.60546875,31663.27734375,5801.7255859375,31136.515625,29875.99609375,61046.3671875,47518.26171875,460.00482177734375
0.036,56455.6875,30391.291015625,5040.7890625,28049.068359375,29566.43359375,60390.66796875,43457.08203125,456.595458984375
0.04,59353.98046875,32041.912109375,6706.97802734375,31835.462890625,30753.306640625,61561.5859375,48822.8359375,450.77801513671875
0.044,62781.67578125,33451.0546875,7639.2177734375,35310.82421875,31153.01171875,62254.3359375,53660.70703125,450.80191040039062
0.048,60418.8984375,32023.02734375,6115.72265625,32006.791015625,30055.646484375,61250.66796875,48798.94921875,457.90673828125
0.052,56554.1796875,30343.890625,4925.06103515625,28021.099609375,29440.76171875,60324.6484375,43368.84375,459.17034912109375
0.056,58627.32421875,31666.474609375,6385.44677734375,30975.869140625,30551.724609375,61333.35546875,47605.26171875,451.56484985351562
0.06,62555.51171875,33410.07421875,7683.54052734375,35180.05078125,31227.853515625,62275.30078125,53509.90625,447.845458984375
0.064,61087.1796875,32354.333984375,6416.94140625,32823.15625,30230.119140625,61442.76171875,50012.44921875,454.11590576171875
0.068,56902.19921875,30430.130859375,4925.39453125,28269.197265625,29393.677734375,60348.0625,43660.28125,459.07504272460938
0.072,57944.96875,31316.259765625,6068.4443359375,30140.35546875,30341.318359375,61110.8125,46426.39453125,451.80322265625
0.076,62099.19921875,33243.9921875,7609.55859375,34778.16796875,31211.80859375,62207.30078125,52972.3671875,448.58462524414062
0.08,60066.80078125,32309.4375,6899.54833984375,32635.71484375,30835.75,61692.125,49986.7734375,449.15682983398438
0.084,56522.51953125,30172.875,4695.4873046875,27954.578125,29297.78125,60211.3984375,43308.16796875,459.26577758789062
0.088,58524.875,31469.728515625,6154.01318359375,30836.55859375,30389.5,61199.8359375,47460.01171875,450.18203735351562
0.092,62412.6484375,33211.92578125,7477.5458984375,35016.04296875,31071.6875,62137.51171875,53346.1796875,450.01507568359375
0.096,60998.54296875,32177.35546875,6210.7802734375,32720.712890625,30080.943359375,61316.1796875,49926.57421875,456.19012451171875
0.1,56883.5546875,30277.32421875,4721.90478515625,28226.212890625,29254.130859375,60242.2734375,43630.48828125,460.886962890625
