Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
0,13188.921875,14982.8095703125,13938.1171875,14033.748046875,14982.8095703125,14982.8095703125,14982.8095703125,19.511648178100586,0
0.004,52114.78125,58905.20703125,55292.53125,55095.98046875,58905.20703125,58905.20703125,58905.20703125,76.371742248535156,0
0.008,100836.1875,113810.0390625,107208.9765625,106163.7265625,113810.0390625,113810.0390625,113810.0390625,147.66647338867188,0
0.012,141131,160120.046875,149729.046875,148923.703125,160120.046875,160120.046875,160120.046875,208.702392578125,0
0.016,166106.125,189828.125,175488,176318.953125,189828.125,189828.125,189828.125,248.335205078125,0
0.02,170617.09375,195473.171875,179934.5,181603.453125,195473.171875,195473.171875,195473.171875,255.99349975585938,0
0.024,159315.84375,182205.578125,168194.203125,169306.09375,182205.578125,182205.578125,182205.578125,238.52499389648438,0
0.028,144894.578125,165717,153016.671875,153876.171875,165717,165717,165717,216.92131042480469,0
0.032,135693.46875,155607.75,143068.375,144454.328125,155607.75,155607.75,155607.75,203.62646484375,0
0.036,130921.546875,150014.5,138047.96875,139394.34375,150014.5,150014.5,150014.5,195.9766845703125,0
0.04,126663.2265625,144612.046875,133854.921875,134423.828125,144612.046875,144612.046875,144612.046875,188.72274780273438,0
0.044,120954.359375,138174.296875,127849.8984375,128296.7890625,138174.296875,138174.296875,138174.296875,180.4608154296875,0
0.048,113854.125,130631.7734375,120035,121212.3359375,130631.7734375,130631.7734375,130631.7734375,170.96713256835938,0
0.052,107118.0390625,122937.7734375,112840.3359375,114200.7890625,122937.7734375,122937.7734375,122937.7734375,161.1734619140625,0
0.056,103255.7109375,117950.8515625,109067.8125,109674.4375,117950.8515625,117950.8515625,117950.8515625,154.38301086425781,0
0.06,101817.0234375,116147.8515625,107709.984375,107896.5234375,116147.8515625,116147.8515625,116147.8515625,151.45919799804688,0
0.064,98394.25,112708.8984375,103852.859375,104577.4609375,112708.8984375,112708.8984375,112708.8984375,146.81108093261719,0
0.068,90671.6015625,104170.2109375,95475.2265625,96695.859375,104170.2109375,104170.2109375,104170.2109375,136.25654602050781,0
0.072,82934.875,95019.859375,87440.7265625,88311.9140625,95019.859375,95019.859375,95019.859375,124.82489013671875,0
0.076,80154.2890625,91471.4765625,84734.5390625,85019.5390625,91471.4765625,91471.4765625,91471.4765625,119.60325622558594,0
0.08,80586.046875,91317.6015625,85609.3515625,84810.359375,91317.6015625,91317.6015625,91317.6015625,118.36525726318359,0
0.084,77956.3984375,87134.109375,83632.796875,80771.171875,87134.109375,87134.109375,87134.109375,112.04080963134766,0
0.088,70094.5859375,78116.109375,75523.0625,72056.1015625,78116.109375,78116.109375,78116.109375,99.328147888183594,0
0.092,62650.3359375,71075.359375,66814.4375,65371.375,71075.359375,71075.359375,71075.359375,90.312721252441406,0
0.096,60412.65625,69385.5,63728.1484375,64167.4921875,69385.5,69385.5,69385.5,90.128456115722656,0
0.1,59630.64453125,68245.125,62887.5546875,63480.26953125,68245.125,68245.125,68245.125,90.215560913085938,0
0.104,54860.15625,62959.10546875,57780.3984375,58515.8046875,62959.10546875,62959.10546875,62959.10546875,83.533668518066406,0
0.108,47940.98046875,55787.65625,50057.2421875,51756.46875,55787.65625,55787.65625,55787.65625,74.302635192871094,0
0.112,44176.8671875,51297.14453125,46116.83203125,47768.85546875,51297.14453125,51297.14453125,51297.14453125,67.864418029785156,0
0.116,43409.2734375,49382.8359375,45916.5546875,46087.6796875,49382.8359375,49382.8359375,49382.8359375,64.128089904785156,0
0.12,41089.76953125,46660.30078125,43621.8671875,43314.33203125,46660.30078125,46660.30078125,46660.30078125,60.777790069580078,0
0.124,36086.2734375,42019.64453125,37736.5234375,38837.1875,42019.64453125,42019.64453125,42019.64453125,56.075855255126953,0
0.128,31672.30859375,37288.9375,32781.08203125,34665.98046875,37288.9375,37288.9375,37288.9375,50.00506591796875,0
0.132,29502.974609375,33771.36328125,31037.146484375,31615.708984375,33771.36328125,33771.36328125,33771.36328125,44.189323425292969,0
0.136,27551.390625,30920.515625,29428.228515625,28793.04296875,30920.515625,30920.515625,30920.515625,40.036113739013672,0
0.14,24247.802734375,27922.01171875,25566.515625,25749.40234375,27922.01171875,27922.01171875,27922.01171875,36.978199005126953,0
0.144,20718.48046875,24651.65625,21324.912109375,22805.96484375,24651.65625,24651.65625,24651.65625,33.147899627685547,0
0.148,18144.697265625,21238.568359375,18772.630859375,19902.46875,21238.568359375,21238.568359375,21238.568359375,27.961156845092773,0
0.152,15876.4970703125,17872.693359375,16854.87109375,16770.27734375,17872.693359375,17872.693359375,17872.693359375,22.790201187133789,0
0.156,13137.7890625,14890.958984375,13986.4033203125,13766.5263671875,14890.958984375,14890.958984375,14890.958984375,18.746379852294922,0
0.16,10399.2548828125,12360.0986328125,10751.013671875,11352.6904296875,12360.0986328125,12360.0986328125,12360.0986328125,15.621113777160645,0
0.164,8162.3115234375,9847.662109375,8264.5546875,9189.3466796875,9847.662109375,9847.662109375,9847.662109375,12.779327392578125,0
0.168,6022.94287109375,7029.91796875,6192.5458984375,6665.6552734375,7029.91796875,7029.91796875,7029.91796875,9.4721202850341797,0
0.172,3615.67578125,4143.5224609375,3798.05078125,3886.748046875,4143.5224609375,4143.5224609375,4143.5224609375,5.2995238304138184,0
0.176,1232.9716796875,1543.3558349609375,1244.441162109375,1382.9564208984375,1543.3558349609375,1543.3558349609375,1543.3558349609375,1.4377915859222412,0
0.18,-859.4896240234375,-758.45684814453125,-1056.2027587890625,-720.9417724609375,-758.45684814453125,-758.45684814453125,-758.45684814453125,-0.81140726804733276,0
0.184,-2777.407470703125,-2914.919189453125,-3132.373046875,-2667.33984375,-2914.919189453125,-2914.919189453125,-2914.919189453125,-2.6057217121124268,0
0.188,-4620.87890625,-5041.24609375,-5066.3974609375,-4633.10791015625,-5041.24609375,-5041.24609375,-5041.24609375,-5.6652288436889648,0
0.192,-6445.78515625,-7287.28759765625,-6901.3935546875,-6726.82666015625,-7287.28759765625,-7287.28759765625,-7287.28759765625,-8.998291015625,0
0.196,-8430.140625,-9668.951171875,-8922.4326171875,-8962.5517578125,-9668.951171875,-9668.951171875,-9668.951171875,-11.416979789733887,0
0.2,-10473.9169921875,-11835.1376953125,-11156.2392578125,-11014.1298828125,-11835.1376953125,-11835.1376953125,-11835.1376953125,-14.258679389953613,0
0.204,-12093.4189453125,-13494.1640625,-12989.9970703125,-12540.2861328125,-13494.1640625,-13494.1640625,-13494.1640625,-17.473125457763672,0
0.208,-13267.4501953125,-14988.2138671875,-14180.21875,-13859.638671875,-14988.2138671875,-14988.2138671875,-14988.2138671875,-19.859920501708984,0
0.212,-14700.03125,-16871.203125,-15537.701171875,-15611.021484375,-16871.203125,-16871.203125,-16871.203125,-22.638469696044922,0
0.216,-16665.828125,-19015.484375,-17624.087890625,-17688.51171875,-19015.484375,-19015.484375,-19015.484375,-26.186672210693359,0
0.22,-18434.578125,-20783.76171875,-19646.01171875,-19346.49609375,-20783.76171875,-20783.76171875,-20783.76171875,-28.503768920898438,0
0.224,-19465.76171875,-22029.23046875,-20741.537109375,-20418.18359375,-22029.23046875,-22029.23046875,-22029.23046875,-29.273782730102539,0
0.228,-20312.365234375,-23254.85546875,-21478.962890625,-21530.578125,-23254.85546875,-23254.85546875,-23254.85546875,-30.342065811157227,0
0.232,-21667.140625,-24781.21484375,-22883.630859375,-23026.771484375,-24781.21484375,-24781.21484375,-24781.21484375,-32.248401641845703,0
0.236,-23276.693359375,-26389.302734375,-24730.599609375,-24549.69921875,-26389.302734375,-26389.302734375,-26389.302734375,-34.077140808105469,0
0.24,-24504.099609375,-27810.099609375,-26054.849609375,-25798.609375,-27810.099609375,-27810.099609375,-27810.099609375,-35.694507598876953,0
0.244,-25334.365234375,-29004.396484375,-26777.994140625,-26879.99609375,-29004.396484375,-29004.396484375,-29004.396484375,-37.567646026611328,0
0.248,-26172.27734375,-29982.244140625,-27617.646484375,-27853.9375,-29982.244140625,-29982.244140625,-29982.244140625,-39.190196990966797,0
0.252,-27159.453125,-30865.130859375,-28805.505859375,-28706.3125,-30865.130859375,-30865.130859375,-30865.130859375,-39.970916748046875,0
0.256,-28201.46484375,-31996.775390625,-29956.490234375,-29704.650390625,-31996.775390625,-31996.775390625,-31996.775390625,-41.0535888671875,0
0.26,-29251.21484375,-33435.3125,-30914.697265625,-31011.10546875,-33435.3125,-33435.3125,-33435.3125,-43.276725769042969,0
0.264,-30173.34375,-34578.8046875,-31811.009765625,-32123.83984375,-34578.8046875,-34578.8046875,-34578.8046875,-44.954486846923828,0
0.268,-30740.224609375,-34988.73046875,-32535.0625,-32545.677734375,-34988.73046875,-34988.73046875,-34988.73046875,-44.93048095703125,0
0.272,-31117.74609375,-35293.51953125,-33011.66796875,-32791.0234375,-35293.51953125,-35293.51953125,-35293.51953125,-45.180377960205078,0
0.276,-31873.91796875,-36371.2734375,-33695.33203125,-33748.9375,-36371.2734375,-36371.2734375,-36371.2734375,-47.289447784423828,0
0.28,-33049.3046875,-37854.33203125,-34848.73046875,-35157.9921875,-37854.33203125,-37854.33203125,-37854.33203125,-49.661243438720703,0
0.284,-33825.125,-38560.63671875,-35758.70703125,-35859.40625,-38560.63671875,-38560.63671875,-38560.63671875,-50.478546142578125,0
0.288,-33780.55078125,-38398.48046875,-35788.92578125,-35680.26953125,-38398.48046875,-38398.48046875,-38398.48046875,-50.387805938720703,0
0.292,-33784.23046875,-38596.07421875,-35706.9921875,-35814.17578125,-38596.07421875,-38596.07421875,-38596.07421875,-50.503349304199219,0
0.296,-34696.9375,-39748.48046875,-36596.9921875,-36911.79296875,-39748.48046875,-39748.48046875,-39748.48046875,-50.7630615234375,0
0.3,-35853.54296875,-40873.73828125,-37901.03125,-38013.41796875,-40873.73828125,-40873.73828125,-40873.73828125,-51.573760986328125,0
0.304,-36063.4609375,-41018.40625,-38188.75,-38121.5234375,-41018.40625,-41018.40625,-41018.40625,-52.29315185546875,0
0.308,-35613.7109375,-40726.98046875,-37615.5859375,-37788.57421875,-40726.98046875,-40726.98046875,-40726.98046875,-51.667381286621094,0
0.312,-35810.1171875,-41059.125,-37739.33203125,-38126.70703125,-41059.125,-41059.125,-41059.125,-51.979419708251953,0
0.316,-36793.8984375,-41946.11328125,-38876.71875,-39022.7734375,-41946.11328125,-41946.11328125,-41946.11328125,-54.165111541748047,0
0.32,-37395.44921875,-42494.21875,-39613.1171875,-39504.3359375,-42494.21875,-42494.21875,-42494.21875,-55.492034912109375,0
0.324,-37138.375,-42431.84375,-39243.3359375,-39368.1171875,-42431.84375,-42431.84375,-42431.84375,-55.592765808105469,0
0.328,-36874.8671875,-42317.1484375,-38833.64453125,-39284.65625,-42317.1484375,-42317.1484375,-42317.1484375,-55.989921569824219,0
0.332,-37231.15625,-42537.4375,-39289.16796875,-39571.07421875,-42537.4375,-42537.4375,-42537.4375,-56.671611785888672,0
0.336,-37727.1171875,-42898.41796875,-39970.6796875,-39887.07421875,-42898.41796875,-42898.41796875,-42898.41796875,-56.883567810058594,0
0.34,-37797.3359375,-43130.25,-40001.32421875,-40014.33203125,-43130.25,-43130.25,-43130.25,-56.941547393798828,0
0.344,-37629.73828125,-43186.73828125,-39657.83203125,-40072.4609375,-43186.73828125,-43186.73828125,-43186.73828125,-57.160602569580078,0
0.348,-37595.4921875,-43085.625,-39625.45703125,-40060.83203125,-43085.625,-43085.625,-43085.625,-56.797344207763672,0
0.352,-37658.55078125,-42920.92578125,-39849.83203125,-39915.3125,-42920.92578125,-42920.92578125,-42920.92578125,-55.701873779296875,0
0.356,-37677.7109375,-42936.45703125,-39901.73046875,-39859.96875,-42936.45703125,-42936.45703125,-42936.45703125,-55.328765869140625,0
0.36,-37701.03125,-43181.6171875,-39791.1796875,-40066.73046875,-43181.6171875,-43181.6171875,-43181.6171875,-56.416587829589844,0
0.364,-37714.85546875,-43268.76953125,-39748.39453125,-40198.6875,-43268.76953125,-43268.76953125,-43268.76953125,-56.944995880126953,0
