Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13
2298668.495913,24003.625,-6334.7099609375,-13858.2001953125,20372.51171875,21218.900390625,27181.484375,-8535.076171875,1142.0355224609375,1304245.0,1996839.75,302550.6875,345167.0,495.0047302246094
2298668.4975072,26363.13671875,-5516.88671875,-13333.0126953125,21945.837890625,22246.244140625,27431.396484375,-7359.79150390625,1156.2919921875,1337011.0,2005948.375,303930.75,345167.0,490.78466796875
2298668.5032588,26695.68359375,-5377.38818359375,-13057.255859375,22574.640625,22494.79296875,27781.228515625,-7301.5693359375,1161.9954833984375,1350233.625,2028567.375,307357.90625,345167.0,495.2669982910156
2298668.5092123,24264.697265625,-6190.63427734375,-13506.9375,21070.603515625,21456.958984375,27671.603515625,-8555.9375,1158.1461181640625,1341302.375,2055390.375,311421.9375,345167.0,495.86297607421875
2298668.5120226,23708.25,-6446.36181640625,-13915.3017578125,20210.171875,21099.640625,27161.43359375,-8696.890625,1143.8238525390625,1308333.0,2078011.0,314849.34375,345167.0,497.4842834472656
2298668.5137891,25976.875,-5662.96630859375,-13449.5517578125,21641.115234375,22058.796875,27351.025390625,-7547.8076171875,1118.2318115234375,1250442.375,2089389.75,316573.40625,345167.0,493.693359375
2298668.5184999,26931.12109375,-5288.1953125,-13018.7763671875,22668.458984375,22579.88671875,27777.171875,-7169.6044921875,1080.73828125,1167995.375,2084176.0,315783.4375,315783.4375,491.1900329589844
2298668.5230827,24691.943359375,-6036.54443359375,-13395.40625,21385.697265625,21659.759765625,27733.900390625,-8338.857421875,1030.9144287109375,1062784.625,2058878.375,311950.4375,315783.4375,493.86029052734375
2298668.5239486,23494.125,-6527.734375,-13945.0078125,20136.193359375,21010.259765625,27185.109375,-8827.115234375,968.5625,938113.3125,2011889.375,304830.90625,315783.4375,495.6007385253906
2298668.5251147,25549.078125,-5814.6474609375,-13549.3779296875,21335.603515625,21860.458984375,27296.49609375,-7767.0576171875,893.7410888671875,798773.1875,1943377.75,294450.40625,315783.4375,494.5040588378906
2298668.551369,27067.58984375,-5238.3896484375,-13006.3076171875,22689.34375,22626.44921875,27755.787109375,-7079.48291015625,806.7801513671875,650894.1875,1855074.0,281071.0,315783.4375,493.2880859375
2298668.5519955,25145.365234375,-5884.50537109375,-13302.1376953125,21691.134765625,21860.98046875,27769.927734375,-8107.51953125,708.2884521484375,501672.5,1749975.0,265146.9375,315783.4375,494.3609924316406
2298668.5553481,23398.666015625,-6566.8828125,-13932.466796875,20154.359375,20976.44921875,27243.306640625,-8912.419921875,599.1526489257812,358983.90625,1632003.375,247272.453125,315783.4375,494.81396484375
2298668.5566401,25129.224609375,-5963.8974609375,-13642.0263671875,21054.271484375,21673.82421875,27258.18359375,-7979.1552734375,480.52734375,230906.546875,1505647.625,228127.625,315783.4375,491.5953063964844
2298668.5642901,27081.46875,-5230.35546875,-13036.513671875,22622.96875,22619.869140625,27706.697265625,-7050.32421875,353.818603515625,125187.6015625,1375613.75,208425.5,315783.4375,491.5953063964844
2298668.5670258,25572.0625,-5748.55859375,-13236.6669921875,21959.427734375,22042.228515625,27774.337890625,-7890.2958984375,220.6578826904297,48689.8984375,1246508.75,188864.171875,315783.4375,493.57415771484375
2298668.56921,23444.775390625,-6535.22119140625,-13865.2578125,20279.791015625,21018.556640625,27342.275390625,-8914.828125,82.8707504272461,6867.56103515625,1122574.375,170086.21875,170086.21875,493.86029052734375
2298668.5710333,24731.28125,-6092.6201171875,-13718.796875,20801.021484375,21510.21875,27234.24609375,-8170.48681640625,-57.560752868652344,3313.240234375,1007479.8125,152647.671875,170086.21875,492.930419921875
2298668.5810197,26937.677734375,-5298.28125,-13125.5390625,22447.494140625,22527.505859375,27614.740234375,-7104.51708984375,-198.5404815673828,39418.32421875,904180.6875,136996.25,170086.21875,492.26287841796875
2298668.5836989,25980.380859375,-5623.29296875,-13174.3203125,22190.572265625,22205.28125,27775.197265625,-7682.41943359375,-337.904052734375,114179.1484375,814840.5,123459.875,170086.21875,493.9794921875
2298668.5858056,23617.625,-6453.1328125,-13759.8515625,20483.04296875,21120.62109375,27460.125,-8855.677734375,-473.4669494628906,224170.953125,740810.875,112243.2734375,170086.21875,495.86297607421875
2298668.5871188,24346.08984375,-6224.51416015625,-13795.3544921875,20560.099609375,21353.4375,27207.806640625,-8363.4873046875,-603.0732421875,363697.34375,682660.3125,103432.5625,170086.21875,496.5306091308594
2298668.5933482,26705.171875,-5388.61865234375,-13218.9765625,22223.787109375,22414.99609375,27534.537109375,-7201.48193359375,-724.6443481445312,525109.375,640243.0,97005.7109375,170086.21875,493.216552734375
