Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13
2017016.8251178,42619.85546875,-4202.3427734375,17659686.0,30020646.0,7181972.0,4531815.0,23.654769897460938,30278.13671875,2.1457672119140625,21262.458984375,27099.708984375,28370.57421875,38185.71875
2017016.8415383,42812.35546875,-4311.95703125,18592972.0,29370266.0,7026379.0,4531815.0,24.84442710876465,30433.634765625,143.3849639892578,21698.35546875,27501.228515625,28702.5,38394.7421875
2017016.8470823,41914.30078125,-4349.6513671875,18919468.0,28553468.0,6830972.0,3838550.0,26.023168563842773,30444.88671875,-322.81878662109375,21379.927734375,27055.93359375,28439.59375,37963.73046875
2017016.860494,41645.8359375,-4320.3779296875,18665664.0,27592668.0,6601116.0,3838550.0,27.138042449951172,30233.88671875,-520.7777099609375,20836.94921875,26574.115234375,28028.037109375,37682.2734375
2017016.8694503,42478.6796875,-4230.05615234375,17893376.0,26522426.0,6345077.5,3838550.0,28.246109008789062,30263.49609375,-83.18424987792969,21180.630859375,27000.859375,28298.140625,38101.17578125
2017016.8732543,42896.2734375,-4085.364013671875,16690198.0,25386524.0,6073330.5,1573968.625,29.352371215820312,30420.712890625,178.05099487304688,21682.953125,27505.759765625,28688.88671875,38428.6171875
2017016.8812991,42079.73828125,-3893.510498046875,15159424.0,24234156.0,5797644.0,1573968.625,30.341278076171875,30447.53125,-232.6250457763672,21465.568359375,27161.8125,28503.46875,38053.75
2017016.8827571,41588.9296875,-3662.01953125,13410387.0,23115660.0,5530061.5,1573968.625,31.138376235961914,30272.24609375,-546.5270385742188,20887.615234375,26601.150390625,28067.615234375,37678.08203125
2017016.884733,42331.4609375,-3398.51904296875,11549933.0,22078160.0,5281856.0,1573968.625,31.811813354492188,30247.525390625,-160.50338745117188,21076.96484375,26907.041015625,28229.5,38021.76171875
2017016.8867129,42920.55078125,-3110.540283203125,9675461.0,21161526.0,5062565.5,1573968.625,32.457481384277344,30387.76171875,186.5386962890625,21619.55859375,27460.958984375,28650.453125,38415.71875
2017016.9000298,42245.625,-2805.33984375,7869931.0,20395008.0,4879188.0,1573968.625,33.093040466308594,30445.33984375,-136.6615447998047,21539.333984375,27254.822265625,28569.916015625,38139.4609375
2017016.9040026,41558.9375,-2489.741455078125,6198812.0,19794860.0,4735612.0,1573968.625,33.71809005737305,30315.166015625,-548.1243286132812,20973.63671875,26651.57421875,28122.927734375,37686.1796875
2017016.9113753,42167.48046875,-2170.001220703125,4708905.5,19363094.0,4632318.5,1429705.375,34.390586853027344,30223.228515625,-253.03366088867188,20986.55859375,26800.515625,28156.94921875,37935.59375
2017016.9125549,42903.875,-1851.701171875,3428797.25,19087516.0,4566391.0,1429705.375,35.17124557495117,30360.130859375,172.47201538085938,21556.712890625,27396.32421875,28593.708984375,38384.2734375
2017016.9188196,42413.0,-1539.6741943359375,2370596.75,18942988.0,4531815.0,1429705.375,36.02421188354492,30444.765625,-63.300132751464844,21607.328125,27346.162109375,28617.359375,38214.96875
2017016.9200316,41581.5625,-1237.9505615234375,1532521.625,18893728.0,4520030.5,1429705.375,36.8395881652832,30364.15625,-530.1238403320312,21087.337890625,26737.884765625,28200.724609375,37725.59375
2017016.9204191,42029.16796875,-949.7401123046875,902006.3125,18896508.0,4520695.0,1429705.375,37.543113708496094,30206.349609375,-328.7315979003906,20912.02734375,26715.734375,28094.33984375,37855.29296875
2017016.9255734,42848.63671875,-677.4373168945312,458921.34375,18904380.0,4522578.5,1429705.375,38.13274383544922,30332.04296875,141.42990112304688,21464.82421875,27308.728515625,28525.640625,38331.89453125
2017016.9269073,42572.14453125,-422.65106201171875,178633.921875,18870618.0,4514501.5,1429705.375,38.63346481323242,30446.962890625,26.58367347717285,21665.291015625,27421.66796875,28664.021484375,38292.36328125
