Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
812417.8757357,62061.08203125,8796.2529296875,77374064.0,10909382.0,2609899.5,3385415.25,-79.14256286621094
812417.8762995,58091.6171875,8997.5185546875,80955352.0,12528454.0,2997237.25,3385415.25,-78.68638610839844
812417.8775104,56806.23828125,9007.474609375,81134592.0,14151037.0,3385415.25,3385415.25,-78.37569427490234
812417.8779614,60674.69921875,8818.8642578125,77772376.0,15706197.0,3757462.75,3385415.25,-78.0506362915039
812417.947974,62408.88671875,8429.2236328125,71051816.0,17126576.0,4097266.75,3385415.25,-77.44864654541016
812417.9492216,58837.15625,7841.04833984375,61482040.0,18354890.0,4391121.5,3385415.25,-76.67413330078125
812417.9497518,56477.29296875,7061.81884765625,49869280.0,19349852.0,4629150.5,3385415.25,-75.98777770996094
812417.9500624,59933.48046875,6103.8779296875,37257324.0,20090960.0,4806449.5,3385415.25,-75.33042907714844
812418.0073486,62604.05078125,4984.20068359375,24842256.0,20581622.0,4923832.0,3385415.25,-74.42989349365234
812418.0092375,59600.48046875,3724.01171875,13868262.0,20850202.0,4988086.5,3385415.25,-73.27195739746094
812418.0104582,56382.23046875,2348.311279296875,5514566.5,20948890.0,5011695.0,3385415.25,-72.09503173828125
812418.0106579,59174.33203125,885.27978515625,783720.3125,20950298.0,5012032.0,3385415.25,-70.95577239990234
812418.0679349,62581.9921875,-634.3903198242188,402451.09375,20942026.0,5010053.5,5010053.5,-69.6796646118164
812418.0681741,60334.04296875,-2178.240234375,4744730.5,21019644.0,5028622.5,5010053.5,-68.2341079711914
812418.0683913,56497.98828125,-3712.83349609375,13785133.0,21278602.0,5090574.5,5010053.5,-66.79903411865234
812418.0685523,58463.53125,-5204.57275390625,27087578.0,21805786.0,5216694.5,5010053.5,-65.46466064453125
812418.1284545,62344.4609375,-6620.52099609375,43831296.0,22671484.0,5423799.0,5010053.5,-64.1164779663086
812418.1333832,60983.78125,-7929.20703125,62872320.0,23922458.0,5723075.0,5010053.5,-62.633201599121094
812418.1342282,56878.26171875,-9101.388671875,82835264.0,25576832.0,6118859.0,8494709.0,-61.02324676513672
812418.1372458,57818.41796875,-10110.765625,102227584.0,27621318.0,6607970.5,8494709.0,-59.33544158935547
812418.1382654,61901.9296875,-10934.6044921875,119565568.0,30011082.0,7179684.0,8494709.0,-57.5676155090332
812418.1406361,61567.23828125,-11554.2841796875,133501480.0,32672390.0,7816360.0,8494709.0,-55.71235275268555
812418.1442498,57430.82421875,-11955.724609375,142939344.0,35507884.0,8494709.0,12473251.0,-53.8155403137207
812418.1471532,57249.3125,-12129.7080078125,147129824.0,38404056.0,9187573.0,12473251.0,-51.95250701904297
812418.1474066,61328.30078125,-12072.0751953125,145734992.0,41240344.0,9866110.0,12473251.0,-50.1804084777832
812418.148093,62044.60546875,-11783.7861328125,138857600.0,43899064.0,10502166.0,12473251.0,-48.504051208496094
812418.1496171,58107.64453125,-11270.8779296875,127032688.0,46275320.0,11070651.0,12473251.0,-46.85313034057617
812418.1500799,56809.64453125,-10544.265625,111181544.0,48285880.0,11551645.0,12473251.0,-45.11644744873047
812418.150716,56809.64453125,-9619.4638671875,92534080.0,49876376.0,11932147.0,12473251.0,-43.19663619995117
812418.1514892,56809.64453125,-8516.1611328125,72524992.0,51025952.0,12207165.0,12473251.0,-41.0024299621582
812418.1530239,56809.64453125,-7257.74072265625,52674804.0,51749036.0,12380150.0,13596238.0,-38.4888916015625
812418.1547011,56809.64453125,-5870.68994140625,34465004.0,52093880.0,12462651.0,13596238.0,-35.81817626953125
812418.1562369,56809.64453125,-4383.97021484375,19219194.0,52138188.0,12473251.0,13596238.0,-33.36125564575195
812418.1572297,56809.64453125,-2828.332763671875,7999466.5,51981920.0,12435864.0,13596238.0,-31.374292373657227
812418.1579767,56809.64453125,-1235.596435546875,1526698.625,51738132.0,12377542.0,13596238.0,-29.73967933654785
812418.1627555,56809.64453125,362.092529296875,131111.0,51522592.0,12325979.0,13596238.0,-28.15024757385254
812418.1634732,59185.7734375,1933.0120849609375,3736535.5,51443200.0,12306984.0,13596238.0,-26.49062728881836
812418.1640767,62584.09375,3446.592529296875,11879000.0,51590100.0,12342128.0,13596238.0,-24.9198055267334
812418.1645291,60352.375,4874.1044921875,23756892.0,52027544.0,12446781.0,13596238.0,-23.57819175720215
812418.164948,56537.82421875,6189.29052734375,38307316.0,52788288.0,12628776.0,13596238.0,-22.338943481445312
812418.1652522,56537.82421875,7368.90869140625,54300820.0,53870904.0,12887774.0,13596238.0,-20.94966697692871
812418.1656431,56537.82421875,8393.2080078125,70445936.0,55240460.0,13215421.0,13596238.0,-19.2841796875
812418.1658994,56537.82421875,9246.2763671875,85493616.0,56832280.0,13596238.0,13596238.0,-17.318777084350586
812418.1684885,56537.82421875,9916.2919921875,98332848.0,58558612.0,14009237.0,13596238.0,-15.065709114074707
812418.1702074,56537.82421875,10395.6279296875,108069080.0,60317268.0,14429966.0,13596238.0,-12.69856071472168
812418.1713555,56537.82421875,10680.8564453125,114080688.0,62001556.0,14832907.0,13596238.0,-10.54155445098877
812418.1723201,56537.82421875,10772.6455078125,116049896.0,63510464.0,15193891.0,13596238.0,-8.759742736816406
812418.1755187,56537.82421875,10675.5732421875,113967856.0,64758072.0,15492360.0,13596238.0,-7.189345359802246
812418.176061,56537.82421875,10397.8798828125,108115904.0,65681336.0,15713237.0,13596238.0,-5.596393585205078
812418.1775472,56537.82421875,9951.1533203125,99025456.0,66245440.0,15848190.0,13596238.0,-3.9639904499053955
812418.1778005,56537.82421875,9349.9560546875,87421680.0,66446392.0,15896264.0,15763259.0,-2.3848934173583984
812418.1779954,56537.82421875,8611.404296875,74156272.0,66310420.0,15863736.0,15763259.0,-0.8170745968818665
812418.1784574,56807.1171875,7754.69140625,60135244.0,65890424.0,15763259.0,15763259.0,0.8408993482589722
812418.1787909,60630.11328125,6800.57958984375,46247884.0,65259936.0,15612424.0,15763259.0,2.4973769187927246
812418.1883918,58861.26171875,5770.8779296875,33303034.0,64504960.0,15431806.0,15763259.0,3.9353058338165283
812418.1892624,58861.26171875,4687.91796875,21976572.0,63714848.0,15242784.0,15763259.0,5.164735317230225
812418.1905228,58861.26171875,3574.036376953125,12773736.0,62972948.0,15065296.0,15763259.0,6.470911502838135
812418.1921408,58861.26171875,2451.096923828125,6007876.0,62347956.0,14915779.0,15763259.0,8.054351806640625
812418.1952241,58861.26171875,1340.040771484375,1795709.375,61887028.0,14805509.0,15763259.0,9.846074104309082
812418.1979814,58861.26171875,260.4827575683594,67851.2734375,61611020.0,14739477.0,15763259.0,11.687767028808594
812418.1984401,58861.26171875,-769.65380859375,592367.0,61512568.0,14715925.0,14757494.0,13.4691801071167
812418.2010725,58861.26171875,-1734.451171875,3008320.75,61557068.0,14726571.0,14757494.0,15.078526496887207
812418.2045335,58861.26171875,-2620.257080078125,6865747.0,61686328.0,14757494.0,14757494.0,16.41652488708496
812418.2054745,58861.26171875,-3415.875732421875,11668206.0,61824800.0,14790621.0,14757494.0,17.52374839782715
812418.2057068,58861.26171875,-4112.68896484375,16914208.0,61887380.0,14805592.0,14757494.0,18.57378578186035
812418.2059408,58861.26171875,-4704.70166015625,22134218.0,61788312.0,14781893.0,14757494.0,19.68381690979004
812418.2062895,57260.5859375,-5188.51318359375,26920668.0,61450100.0,14700981.0,14757494.0,20.828210830688477
812418.2092238,58496.95703125,-5563.22265625,30949446.0,60811640.0,14548238.0,14757494.0,21.958663940429688
812418.2117849,61978.30078125,-5830.27978515625,33992160.0,59834776.0,14314539.0,12619816.0,23.03420639038086
812418.2140079,61243.23046875,-5993.27490234375,35919348.0,58508620.0,13997277.0,12619816.0,23.897048950195312
812418.2145438,57775.8125,-6057.69775390625,36695704.0,56851220.0,13600768.0,12619816.0,24.374954223632812
812418.2150038,58148.71875,-6030.65234375,36368768.0,54908564.0,13136019.0,12619816.0,24.584487915039062
812418.2153102,61511.85546875,-5920.5498046875,35052908.0,52750836.0,12619816.0,12619816.0,24.916915893554688
812418.2156058,61555.19921875,-5736.77490234375,32910586.0,50466452.0,12073312.0,12619816.0,25.675552368164062
812418.2157898,58320.76953125,-5489.36181640625,30133094.0,48154412.0,11520192.0,12619816.0,26.861236572265625
812418.215964,57835.9375,-5188.6708984375,26922304.0,45915704.0,10984616.0,12619816.0,28.285064697265625
812418.216375,60992.7421875,-4845.10009765625,23474992.0,43844556.0,10489126.0,12619816.0,29.737712860107422
812418.2166754,61798.6484375,-4468.8037109375,19970204.0,42020332.0,10052710.0,12619816.0,31.033517837524414
812418.2470911,58864.1171875,-4069.458984375,16560496.0,40500856.0,9689198.0,12619816.0,32.02135467529297
