Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13
2126563.7593405,40604.95703125,21811.083984375,9386.96875,12222.982421875,32593.849609375,43529.32421875,57154.85546875,-2961.03515625,8767728.0,24043866.0,3643009.25,3643009.25,-36.265533447265625
2126563.7603564,40852.1875,21968.556640625,9112.1455078125,11988.115234375,32456.63671875,43940.59375,57072.48046875,-1904.176513671875,3625888.0,23971062.0,3631978.75,3643009.25,-34.28630447387695
2126563.7608272,40461.3046875,21661.306640625,9454.4658203125,12363.482421875,32631.04296875,43455.125,57065.11328125,-822.3076171875,676189.8125,23858810.0,3614970.75,3643009.25,-32.304595947265625
2126563.7612383,40265.94921875,21523.40625,9738.6142578125,12605.4296875,32771.33203125,43083.29296875,57173.85546875,262.84881591796875,69089.5,23760454.0,3600068.0,3643009.25,-30.22833824157715
2126563.7866549,40528.20703125,21755.43359375,9485.6044921875,12319.4716796875,32638.48046875,43422.20703125,57177.28125,1329.871826171875,1768559.0,23725642.0,3594793.5,3643009.25,-28.152353286743164
2126563.7918768,40819.29296875,21961.59375,9152.1748046875,12022.3046875,32478.478515625,43897.73046875,57091.26953125,2358.1171875,5560716.0,23795830.0,3605428.0,3643009.25,-26.2418270111084
2126563.7936583,40563.30078125,21743.46484375,9342.646484375,12253.880859375,32577.77734375,43616.13671875,57048.23046875,3328.167236328125,11076696.0,24000556.0,3636447.25,3643009.25,-24.46615219116211
2126563.7941108,40283.875,21526.765625,9715.0107421875,12580.3720703125,32771.375,43120.08203125,57164.98828125,4222.2333984375,17827254.0,24354842.0,3690127.25,3643009.25,-22.647924423217773
2126563.802704,40437.08203125,21693.63671875,9574.7001953125,12397.21875,32689.337890625,43312.0234375,57187.2734375,5024.52197265625,25245820.0,24857984.0,3766360.75,3974631.5,-20.735057830810547
2126563.8031826,40770.03125,21936.990234375,9192.466796875,12041.7138671875,32493.234375,43841.1484375,57094.1484375,5721.52880859375,32735894.0,25493846.0,3862703.25,3974631.5,-18.836742401123047
2126563.8036435,40667.84375,21821.478515625,9231.8076171875,12132.5751953125,32518.869140625,43771.4375,57031.83203125,6302.28759765625,39718828.0,26232572.0,3974631.5,3974631.5,-16.99686622619629
2126563.8040172,40297.01171875,21528.462890625,9688.0205078125,12559.8671875,32756.712890625,43157.6484375,57149.3671875,6758.53662109375,45677816.0,27033616.0,4096001.5,3974631.5,-15.129643440246582
2126563.8169626,40344.14453125,21626.974609375,9644.9873046875,12476.7314453125,32716.947265625,43204.16796875,57180.86328125,7084.83056640625,50194828.0,27849722.0,4219654.5,3974631.5,-13.21277904510498
2126563.818349,40716.79296875,21908.212890625,9221.435546875,12067.6064453125,32501.74609375,43773.0546875,57095.9375,7278.5703125,52977588.0,28631488.0,4338103.0,3974631.5,-11.339261054992676
2126563.8192488,40761.64453125,21901.51171875,9143.9267578125,12036.7060546875,32460.16796875,43902.92578125,57032.96875,7339.97509765625,53875232.0,29332086.0,4444254.5,3974631.5,-9.514668464660645
2126563.8200384,40302.28125,21537.828125,9645.5830078125,12525.8935546875,32731.037109375,43197.9921875,57129.2421875,7271.98291015625,52881740.0,29911628.0,4532064.0,3974631.5,-7.605998992919922
2126563.8333111,40277.0546875,21579.3125,9701.9921875,12542.201171875,32738.85546875,43126.96875,57181.69921875,7080.09228515625,50127704.0,30340790.0,4597088.0,3974631.5,-5.582968235015869
2126563.833738,40672.5625,21881.34375,9251.3330078125,12098.3623046875,32510.619140625,43709.16796875,57108.5234375,6772.1513671875,45862036.0,30603338.0,4636868.0,3974631.5,-3.636321544647217
2126563.8342626,40829.8046875,21960.90234375,9078.646484375,11970.8798828125,32426.765625,43989.51953125,57037.4296875,6358.0966796875,40425396.0,30697328.0,4651109.5,3974631.5,-1.9417766332626343
2126563.8346006,40308.8125,21549.369140625,9586.4296875,12482.1923828125,32694.84375,43240.26953125,57095.9609375,5849.65478515625,34218456.0,30634870.0,4641646.5,3974631.5,-0.4439159333705902
2126563.8484387,40232.35546875,21543.197265625,9721.755859375,12573.576171875,32743.359375,43081.64453125,57167.6484375,5260.0068359375,27667674.0,30440492.0,4612195.0,4612195.0,0.9984777569770813
2126563.8491559,40631.10546875,21856.35546875,9298.873046875,12127.9013671875,32528.119140625,43643.6171875,57119.04296875,4603.4482421875,21191738.0,30148326.0,4567927.0,4612195.0,2.3879542350769043
2126563.8495903,40842.89453125,21981.384765625,9069.9921875,11949.1123046875,32425.072265625,43996.40625,57045.39453125,3895.016357421875,15171152.0,29798346.0,4514900.0,4612195.0,3.6855716705322266
2126563.8501467,40350.9375,21593.931640625,9521.318359375,12418.6767578125,32653.30859375,43338.65625,57067.33203125,3150.126953125,9923301.0,29432128.0,4459412.0,4612195.0,5.029225826263428
2126563.861856,40223.88671875,21533.515625,9725.2626953125,12578.7734375,32747.130859375,43082.1171875,57161.7421875,2384.221435546875,5684512.0,29088490.0,4407346.5,4612195.0,6.6278839111328125
2126563.8636292,40575.26953125,21814.203125,9369.5419921875,12195.8984375,32569.93359375,43557.48046875,57143.2109375,1612.4169921875,2599888.75,28799494.0,4363559.0,4612195.0,8.474324226379395
2126563.8662517,40822.39453125,21976.021484375,9092.8564453125,11956.4296875,32430.578125,43967.84375,57060.89453125,849.1932373046875,721129.1875,28587200.0,4331393.5,4612195.0,10.369804382324219
2126563.8665857,40421.89453125,21653.177734375,9421.3017578125,12317.443359375,32596.447265625,43467.6171875,57039.5,108.10009765625,11685.630859375,28461472.0,4312343.0,4612195.0,12.188006401062012
2126563.8777892,40228.63671875,21523.119140625,9711.7919921875,12567.7607421875,32741.09375,43098.40625,57152.5859375,-598.49365234375,358194.65625,28419068.0,4305918.5,4319637.5,13.919218063354492
2126563.8781717,40495.73828125,21755.958984375,9458.8515625,12281.8720703125,32611.73046875,43440.9375,57159.64453125,-1259.612060546875,1586622.625,28444070.0,4309706.5,4319637.5,15.516339302062988
2126563.8786554,40773.04296875,21952.05859375,9116.53125,11978.6044921875,32441.09375,43906.16796875,57060.4609375,-1865.83984375,3481358.0,28509610.0,4319637.5,4319637.5,16.896581649780273
2126563.8790264,40517.5234375,21728.96875,9308.505859375,12210.25,32537.796875,43618.51953125,57017.14453125,-2409.442626953125,5805414.5,28580710.0,4330409.5,4319637.5,18.085002899169922
2126563.8929311,40239.625,21517.755859375,9681.34375,12545.013671875,32731.416015625,43121.2421875,57138.78125,-2884.44091796875,8319999.0,28617916.0,4336047.0,4319637.5,19.20147705078125
2126563.8939811,40404.54296875,21690.296875,9545.8984375,12368.2998046875,32652.880859375,43318.0859375,57167.32421875,-3286.63818359375,10801990.0,28581414.0,4330516.0,4319637.5,20.287517547607422
2126563.8943994,40722.94921875,21924.880859375,9157.0625,12003.6376953125,32455.875,43836.57421875,57070.3984375,-3613.602783203125,13058125.0,28435142.0,4308354.5,4319637.5,21.283716201782227
2126563.89482,40626.8359375,21813.396484375,9206.9169921875,12101.9375,32484.60546875,43770.10546875,57008.67578125,-3864.60498046875,14935173.0,28150566.0,4265236.0,4319637.5,22.203838348388672
2126563.9083825,40259.5546875,21521.234375,9655.5966796875,12521.8173828125,32724.146484375,43155.69921875,57127.67578125,-4040.524658203125,16325840.0,27709712.0,4198440.0,4319637.5,23.180370330810547
2126563.9092424,40318.44921875,21628.787109375,9627.0810546875,12441.4453125,32693.724609375,43208.86328125,57169.25,-4143.71337890625,17170362.0,27107174.0,4107147.25,4319637.5,24.285018920898438
2126563.9095991,40676.2109375,21894.12109375,9206.9169921875,12038.255859375,32474.021484375,43759.9921875,57079.60546875,-4177.8349609375,17454304.0,26350922.0,3992563.25,4319637.5,25.424419403076172
2126563.9100318,40729.55078125,21886.494140625,9142.732421875,12022.5205078125,32443.099609375,43884.54296875,57016.4921875,-4147.68994140625,17203334.0,25461814.0,3857850.0,4319637.5,26.47675132751465
2126563.9226254,40281.4375,21527.88671875,9647.3701171875,12515.1875,32718.375,43182.28125,57117.32421875,-4059.002685546875,16475502.0,24471932.0,3707867.5,3707867.5,27.446746826171875
2126563.9230777,40254.0,21571.306640625,9722.9736328125,12551.857421875,32733.703125,43104.41796875,57181.5546875,-3918.223876953125,15352478.0,23421836.0,3548762.75,3707867.5,28.420024871826172
2126563.9235158,40638.46875,21856.833984375,9307.7919921875,12138.271484375,32519.34375,43653.2734375,57115.91796875,-3732.311767578125,13930150.0,22357040.0,3387429.5,3707867.5,29.42380714416504
2126563.9244225,40811.0859375,21935.01171875,9139.0859375,12006.2841796875,32442.546875,43931.51171875,57055.55078125,-3508.520751953125,12309718.0,21324074.0,3230919.5,3707867.5,30.405685424804688
2126563.9374961,40303.28125,21531.490234375,9612.7529296875,12464.9765625,32697.51171875,43209.89453125,57109.8359375,-3254.199951171875,10589816.0,20366442.0,3085824.0,3707867.5,31.325185775756836
2126563.939633,40216.6875,21522.931640625,9739.375,12555.599609375,32739.6875,43043.1171875,57172.1796875,-2976.6015625,8860157.0,19520896.0,2957710.75,3707867.5,32.188316345214844
2126563.9413716,40610.89453125,21826.21875,9362.6748046875,12174.8935546875,32546.80859375,43581.51171875,57140.01953125,-2682.707763671875,7196921.5,18814346.0,2850657.5,3707867.5,32.99245071411133
2126563.9419263,40826.80078125,21947.57421875,9132.2421875,11983.3955078125,32439.328125,43930.21875,57069.66796875,-2379.078857421875,5660016.0,18261642.0,2766914.75,3707867.5,33.717254638671875
2126563.951847,40344.98046875,21570.18359375,9521.6044921875,12384.6064453125,32643.96484375,43297.17578125,57073.5234375,-2071.723876953125,4292040.0,17864474.0,2706737.5,3707867.5,34.373130798339844
