participant,session,date,expName,psychopyVersion,OS,frameRate,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,2.479,,0,0,0,0,1,red,red,left,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,4.8971,,0,1,1,5,1,blue,red,left,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,1.8239,,0,2,2,1,1,red,green,down,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,1.2052,,0,3,3,3,1,green,blue,right,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,1.369,,0,4,4,4,1,blue,blue,right,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,1.3737,,0,5,5,2,1,green,green,down,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,0.6644,,1,0,6,2,1,green,green,down,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,1.0589,,1,1,7,5,1,blue,red,left,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,0.8315,,1,2,8,1,1,red,green,down,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,0.9326,,1,3,9,3,1,green,blue,right,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,0.628,,1,4,10,4,1,blue,blue,right,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,0.8244,,1,5,11,0,1,red,red,left,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,0.8303,,2,0,12,4,1,blue,blue,right,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,0,0.8323,,2,1,13,5,1,blue,red,left,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,1.2265,,2,2,14,2,1,green,green,down,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,1.4376,,2,3,15,0,1,red,red,left,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,2.3728,,2,4,16,3,1,green,blue,right,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,1.0597,,2,5,17,1,1,red,green,down,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,0.9309,,3,0,18,3,1,green,blue,right,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,2.5179,,3,1,19,1,1,red,green,down,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,1.1583,,3,2,20,4,1,blue,blue,right,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,0.9692,,3,3,21,2,1,green,green,down,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,0.872,,3,4,22,0,1,red,red,left,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,0.6985,,3,5,23,5,1,blue,red,left,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,0.5862,,4,0,24,5,1,blue,red,left,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,0.5066,,4,1,25,1,1,red,green,down,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,down,1,0.9409,,4,2,26,2,1,green,green,down,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,left,1,0.7641,,4,3,27,0,1,red,red,left,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,0.7426,,4,4,28,3,1,green,blue,right,0
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,right,1,0.6587,,4,5,29,4,1,blue,blue,right,1
1,DEMO,2026-05-20_12h48.05.540,stroop,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,
