participant,session,date,expName,psychopyVersion,OS,frameRate,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,,,,,,,,,,,,,
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,2.1421,,0,0,0,4,1,blue,blue,right,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,2.1437,,0,1,1,0,1,red,red,left,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.6661,,0,2,2,1,1,red,green,down,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,1.385,,0,3,3,5,1,blue,red,left,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.4756,,0,4,4,2,1,green,green,down,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,1.2728,,0,5,5,3,1,green,blue,right,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.2966,,1,0,6,1,1,red,green,down,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,0.9739,,1,1,7,4,1,blue,blue,right,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,0.8581,,1,2,8,5,1,blue,red,left,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,1.6891,,1,3,9,3,1,green,blue,right,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,1.188,,1,4,10,0,1,red,red,left,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.0358,,1,5,11,2,1,green,green,down,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,1.4801,,2,0,12,3,1,green,blue,right,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.0605,,2,1,13,1,1,red,green,down,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,0.7777,,2,2,14,2,1,green,green,down,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,1.3794,,2,3,15,4,1,blue,blue,right,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,0.867,,2,4,16,5,1,blue,red,left,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,0.8088,,2,5,17,0,1,red,red,left,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.5071,,3,0,18,1,1,red,green,down,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,0.9445,,3,1,19,5,1,blue,red,left,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,0.8559,,3,2,20,4,1,blue,blue,right,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,0.8491,,3,3,21,3,1,green,blue,right,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,0.7516,,3,4,22,2,1,green,green,down,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,0.7583,,3,5,23,0,1,red,red,left,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,1.1163,,4,0,24,3,1,green,blue,right,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,1.2626,,4,1,25,0,1,red,red,left,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,right,0,0.7769,,4,2,26,5,1,blue,red,left,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,left,0,0.8696,,4,3,27,4,1,blue,blue,right,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,0.5824,,4,4,28,1,1,red,green,down,0
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,down,1,1.0118,,4,5,29,2,1,green,green,down,1
HRM,DEMO,2026-05-20_11h33.21.082,stroop,2023.1.3,MacIntel,75.18796992,,,,,,,,,,,,,
