participant,session,date,expName,psychopyVersion,OS,frameRate,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,4.0415,,0,0,0,3,1,green,blue,right,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.5359,,0,1,1,0,1,red,red,left,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.2962,,0,2,2,5,1,blue,red,left,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.3712,,0,3,3,2,1,green,green,down,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,0.2613,,0,4,4,4,1,blue,blue,right,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.1735,,0,5,5,1,1,red,green,down,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,0.2451,,1,0,6,4,1,blue,blue,right,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.1691,,1,1,7,0,1,red,red,left,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,0.1838,,1,2,8,3,1,green,blue,right,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.2115,,1,3,9,2,1,green,green,down,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.0915,,1,4,10,5,1,blue,red,left,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.0684,,1,5,11,1,1,red,green,down,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,0.3987,,2,0,12,3,1,green,blue,right,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.1283,,2,1,13,2,1,green,green,down,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.1531,,2,2,14,0,1,red,red,left,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,1.2199,,2,3,15,4,1,blue,blue,right,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.5361,,2,4,16,5,1,blue,red,left,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.1219,,2,5,17,1,1,red,green,down,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.6472,,3,0,18,0,1,red,red,left,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,1.8392,,3,1,19,3,1,green,blue,right,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.5381,,3,2,20,1,1,red,green,down,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.6421,,3,3,21,5,1,blue,red,left,0
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.3837,,3,4,22,2,1,green,green,down,1
dasDa,DEMO,2026-05-20_12h25.42.613,stroop,2023.1.3,MacIntel,59.88023952,right,1,0.3241,,3,5,23,4,1,blue,blue,right,1
