text,letterColor,corrAns,congruent,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instruct.started,instrText.started,ready.started,instruct.stopped,trial.started,word.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,LIFU_event,sonication_duration,thanks.started,thanksText.started,thanksText.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,False,0.016332300001522526,0.03108500000234926,0.03108500000234926,11.308223600004567,,,,,,,,,,,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
red,red,left,1,0,0,0,left,1,0.7626607999991393,None,0,0,0,0,11.342558399999689,,,,,,,11.335169199999655,11.80019820000598,11.80019820000598,12.568443399999524,left,1,0.7626607999991393,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
red,red,left,1,1,1,0,left,1,0.505786599998828,None,0,1,1,7,12.576348400005372,,,,,,,12.569344800002,13.066943700003321,13.066943700003321,13.576900200001546,left,1,0.505786599998828,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
green,blue,right,0,2,2,0,down,0,0.7904255999965244,None,0,2,2,3,13.589096499999869,,,,,,,13.58278760000394,14.075271300003806,14.075271300003806,14.86852540000109,down,0,0.7904255999965244,None,None,5,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
red ,blue,right,0,3,3,0,right,1,1.595326800001203,None,0,3,3,6,14.880607900005998,,,,,,,14.873213099999703,15.367486700000882,15.367486700000882,16.97207250000065,right,1,1.595326800001203,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
green,green,down,1,4,4,0,down,1,0.6279623999944306,None,0,4,4,2,16.9803000000029,,,,,,,16.974752699999954,17.46988880000572,17.46988880000572,18.104960200005735,down,1,0.6279623999944306,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
blue,red,left,0,5,5,0,left,1,1.0145071000006283,None,0,5,5,5,18.119528100003663,,,,,,,18.112586700000975,18.595603600006143,18.595603600006143,19.614442900005088,left,1,1.0145071000006283,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
blue,blue,right,1,6,6,0,down,0,0.6423714999982622,None,0,6,6,4,19.621445100005076,,,,,,,19.61511430000246,20.113339300005464,20.113339300005464,20.76548890000413,down,0,0.6423714999982622,None,None,5,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
red,green,down,0,7,7,0,down,1,1.7199990000008256,None,0,7,7,1,20.77646430000459,,,,,,,20.76953080000385,21.263854900003935,21.263854900003935,22.990337400005956,down,1,1.7199990000008256,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
green,red,left,0,8,8,0,left,1,0.7540551999991294,None,0,8,8,8,23.00164170000062,,,,,,,22.9947073000003,23.494660800002748,23.494660800002748,24.250937700002396,left,1,0.7540551999991294,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
blue,green,down,0,9,9,0,down,1,0.891768299996329,None,0,9,9,10,24.26331940000091,,,,,,,24.255953100000625,24.74847520000185,24.74847520000185,25.644416600000113,down,1,0.891768299996329,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
blue,blue,left,1,10,10,0,right,0,0.5764481000005617,None,0,10,10,11,25.652006500000425,,,,,,,25.645354899999802,26.140134900000703,26.140134900000703,26.726181700003508,right,0,0.5764481000005617,None,None,5,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
green,green,down,1,11,11,0,down,1,1.1219187000024249,None,0,11,11,9,26.739143099999637,,,,,,,26.73251820000587,27.22491930000251,27.22491930000251,28.35017240000161,down,1,1.1219187000024249,None,None,0,,,,,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.350411899999017,28.359915799999726,30.353039600006014,30.346184300004097,janet_REAL,001,2026-05-21_15h34.06.047,stroop,,2026.1.3,119.38687676044393,2026-05-21 15h34.12.095449 -0700,
