text,letterColor,corrAns,congruent,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instruct.started,instrText.started,ready.started,instruct.stopped,trial.started,word.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,trial_start_lsl,LIFU_marker,LIFU_marker_time,thanks.started,thanksText.started,thanksText.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,False,0.04822970007080585,0.10124500002712011,0.10124500002712011,21.71364520001225,,,,,,,,,,,,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
green,green,down,1,0,0,0,left,0,0.8034681999124587,None,0,0,0,2,21.754804900032468,,,,,,,21.749244300066493,22.207156100077555,22.207156100077555,23.015882699983194,left,0,0.8034681999124587,None,640804.0823111,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
green,red,left,0,1,1,0,left,1,0.7546200000215322,None,0,1,1,8,23.02255790005438,,,,,,,23.016755599994212,23.51393740007188,23.51393740007188,24.274076500092633,left,1,0.7546200000215322,None,640805.3498523,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
green,green,down,1,2,2,0,down,1,0.5529128999914974,None,0,2,2,9,24.28110420005396,,,,,,,24.274962300085463,24.771748100058176,24.771748100058176,25.333226400078274,down,1,0.5529128999914974,None,640806.6080555,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
blue,green,down,0,3,3,0,down,1,0.8375883999979123,None,0,3,3,10,25.350296000018716,,,,,,,25.34226230008062,25.826991599984467,25.826991599984467,26.67144130007364,down,1,0.8375883999979123,None,640807.67523,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
red ,blue,right,0,4,4,0,right,1,0.8827398999128491,None,0,4,4,6,26.68720350007061,,,,,,,26.677704800036736,27.162763500004075,27.162763500004075,28.048907799995504,right,1,0.8827398999128491,None,640809.0107587,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
blue,red,left,0,5,5,0,down,0,0.6269300000276417,None,0,5,5,5,28.058566700085066,,,,,,,28.051849500043318,28.547021400067024,28.547021400067024,29.181151000084355,down,0,0.6269300000276417,None,640810.3849392,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
red,red,left,1,6,6,0,left,1,0.7096622000681236,None,0,6,6,7,29.192941899993457,,,,,,,29.185507800080813,29.672010100097395,29.672010100097395,30.38996020006016,left,1,0.7096622000681236,None,640811.5185773,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
green,blue,right,0,7,7,0,left,0,0.829874699935317,None,0,7,7,3,30.39938489999622,,,,,,,30.39244470000267,30.889108999981545,30.889108999981545,31.724373600096442,left,0,0.829874699935317,None,640812.7255331,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
blue,blue,left,1,8,8,0,right,0,0.5928277999628335,None,0,8,8,11,31.736161699984223,,,,,,,31.72818830003962,32.2219150000019,32.2219150000019,32.81658900005277,right,0,0.5928277999628335,None,640814.0612617,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
blue,blue,right,1,9,9,0,right,1,0.5972434999421239,None,0,9,9,4,32.82327320007607,,,,,,,32.817296000081114,33.3169827000238,33.3169827000238,33.91764750005677,right,1,0.5972434999421239,None,640815.1503989,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
red,red,left,1,10,10,0,left,1,0.7996733000036329,None,0,10,10,0,33.92918530001771,,,,,,,33.92069699999411,34.414946200093254,34.414946200093254,35.21670490002725,left,1,0.7996733000036329,None,640816.2537879,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
red,green,down,0,11,11,0,down,1,0.7229664999758825,None,0,11,11,1,35.22510230005719,,,,,,,35.21780870005023,35.71478150004987,35.71478150004987,36.44095230009407,down,1,0.7229664999758825,None,640817.5509068,None,None,,,,,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.44107130006887,36.44807200005744,38.44020170008298,38.4318268999923,janet_demo,001,2026-05-28_09h54.02.034,stroop,,2026.1.3,120.01689839619232,2026-05-28 09h54.33.411731 -0700,
