participant,session,date,expName,psychopyVersion,OS,frameRate,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,1.7444,,0,0,0,0,1,red,red,left,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,0,1.0122,,0,1,1,3,1,green,blue,right,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.5797,,0,2,2,4,1,blue,blue,right,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.7789,,0,3,3,1,1,red,green,down,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.5616,,0,4,4,2,1,green,green,down,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.4514,,0,5,5,5,1,blue,red,left,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.7843,,1,0,6,5,1,blue,red,left,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,1.0293,,1,1,7,0,1,red,red,left,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.9302,,1,2,8,4,1,blue,blue,right,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.7625,,1,3,9,1,1,red,green,down,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.9482,,1,4,10,2,1,green,green,down,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,0,0.8644,,1,5,11,3,1,green,blue,right,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,0,0.4376,,2,0,12,3,1,green,blue,right,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.6809,,2,1,13,4,1,blue,blue,right,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.5819,,2,2,14,5,1,blue,red,left,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.5295,,2,3,15,1,1,red,green,down,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.8973,,2,4,16,2,1,green,green,down,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.6457,,2,5,17,0,1,red,red,left,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.7476,,3,0,18,5,1,blue,red,left,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.5562,,3,1,19,4,1,blue,blue,right,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,0,0.8514,,3,2,20,3,1,green,blue,right,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.6356,,3,3,21,1,1,red,green,down,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.6325,,3,4,22,0,1,red,red,left,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.7658,,3,5,23,2,1,green,green,down,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,0,0.6857,,4,0,24,3,1,green,blue,right,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,1,0.7971,,4,1,25,5,1,blue,red,left,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,left,0,0.4495,,4,2,26,4,1,blue,blue,right,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.7652,,4,3,27,1,1,red,green,down,0
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,right,0,0.5673,,4,4,28,0,1,red,red,left,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,down,1,0.8288,,4,5,29,2,1,green,green,down,1
,DEMO,2026-05-19_21h29.12.666,stroop,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,
