Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-23045.73046875,-79658.3984375,-66075.921875,-8037.8779296875,-65820.671875,-63562.5625,-14800.787109375,-60931.04296875
0.004,-22165.82421875,-77967.4609375,-65066.03125,-7413.91259765625,-64627.80078125,-61863.07421875,-14342.1435546875,-60120.875
0.008,-21761.943359375,-77221.8984375,-64613.30078125,-7079.7451171875,-64080.67578125,-60894.6796875,-14086.0341796875,-59721.2109375
0.012,-21871.234375,-76788.7734375,-64020.28125,-7298.54150390625,-63596.75,-60705.05078125,-14079.6923828125,-59092.16796875
0.016,-22129.322265625,-76444.171875,-63403.20703125,-7717.41943359375,-63163.86328125,-60964.44921875,-14200.3310546875,-58458.98046875
0.02,-21786.478515625,-76354.3515625,-63667.85546875,-7351.25634765625,-63272.21875,-60671.8125,-14083.671875,-58816.34375
0.024,-21535.13671875,-76395.9375,-63926.84375,-7014.39453125,-63402.3671875,-60279.61328125,-13944.5546875,-59089.66796875
0.028,-21701.43359375,-76374.5390625,-63735.61328125,-7193.0654296875,-63285.07421875,-60320.66796875,-13980.4375,-58844.26171875
0.032,-22052.197265625,-76232.9609375,-63252.57421875,-7660.81884765625,-62998.75,-60727.17578125,-14139.6298828125,-58315.11328125
0.036,-21812.822265625,-76196.9375,-63476.35546875,-7415.27197265625,-63107.01953125,-60625.19921875,-14078.09375,-58618.98046875
0.04,-21525.384765625,-76297.0234375,-63837.5546875,-7030.9169921875,-63315.3984375,-60246.8984375,-13934.828125,-59009.89453125
0.044,-21634.416015625,-76328.4609375,-63749.10546875,-7124.63916015625,-63274.08203125,-60227.13671875,-13944.1015625,-58871.4375
0.048,-22007.896484375,-76235.6640625,-63298.0859375,-7602.40625,-63017.875,-60635.26171875,-14112.568359375,-58358.86328125
0.052,-21864.322265625,-76149.921875,-63361.2421875,-7497.1201171875,-63030.19921875,-60658.76953125,-14092.9482421875,-58493.90625
0.056,-21547.416015625,-76258.296875,-63775.7109375,-7069.11181640625,-63274.71875,-60276.70703125,-13949.1796875,-58948.01953125
0.06,-21596.07421875,-76316.5859375,-63786.89453125,-7077.2890625,-63286.1875,-60181.79296875,-13929.3671875,-58921.60546875
0.064,-21936.134765625,-76240.5234375,-63362.9375,-7510.3046875,-63044.125,-60533.05078125,-14073.6591796875,-58430.67578125
0.068,-21944.90625,-76128.2109375,-63264.28125,-7589.6982421875,-62973.09375,-60708.40625,-14118.099609375,-58380.89453125
