Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,197414.09375,268.41162109375
0.004,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,196586.296875,265.90829467773438
0.008,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,196399.328125,264.83538818359375
0.012,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195851.59375,262.57040405273438
0.016,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195102.796875,261.11605834960938
0.02,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195382.96875,263.23797607421875
0.024,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195759.96875,263.214111328125
0.028,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195636.125,264.02474975585938
0.032,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194937.59375,265.24066162109375
0.036,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195174.71875,263.833984375
0.04,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195592.578125,265.12149047851562
0.044,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195647.5,262.83267211914062
0.048,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194958.5,263.33334350585938
0.052,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195004.25,262.88031005859375
0.056,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195453.921875,262.40350341796875
0.06,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195667.328125,264.66845703125
0.064,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195017.5,265.35986328125
0.068,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194859.21875,262.76113891601562
0.072,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195343.25,262.28433227539062
0.076,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195635.328125,262.57040405273438
0.08,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195102.296875,263.4287109375
0.084,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195188.828125,262.57040405273438
0.088,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194896.453125,260.47232055664062
0.092,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195760.125,261.16372680664062
0.096,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195331,261.49749755859375
0.1,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194962.125,264.16781616210938
0.104,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195446.203125,261.40219116210938
0.108,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195806.953125,263.33334350585938
0.112,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195488.46875,264.78768920898438
0.116,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194928.921875,264.07244873046875
0.12,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195588.203125,261.92666625976562
0.124,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194948.046875,263.71478271484375
0.128,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195669.046875,262.59423828125
0.132,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195019.125,265.7890625
0.136,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195108.34375,262.06973266601562
0.14,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195555.796875,263.071044921875
0.144,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195721.421875,263.61947631835938
0.148,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195104.625,264.16781616210938
0.152,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194982.21875,263.23797607421875
0.156,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195449.875,264.47772216796875
0.16,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195738.828125,260.82998657226562
0.164,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195181.953125,264.38241577148438
0.168,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194881.078125,263.33334350585938
0.172,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195346.375,263.214111328125
0.176,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195699.375,261.545166015625
0.18,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195255.96875,263.500244140625
0.184,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194816.296875,263.61947631835938
0.188,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195253.875,263.54794311523438
0.192,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195648.828125,262.76113891601562
0.196,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195357.25,265.5029296875
0.2,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194772.625,262.665771484375
0.204,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195154.96875,261.139892578125
0.208,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195551.84375,263.905517578125
0.212,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195438.828125,262.09359741210938
0.216,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194785.71875,260.94915771484375
0.22,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195032.828125,263.4287109375
0.224,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195474.625,262.09359741210938
0.228,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195504.578125,262.665771484375
0.232,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194840.59375,261.80746459960938
0.236,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194903.96875,263.071044921875
0.24,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195365.046875,263.61947631835938
0.244,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195559.625,264.76385498046875
0.248,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194920.578125,263.357177734375
0.252,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194781.46875,264.83538818359375
0.256,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195273.09375,261.71209716796875
0.26,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195581.21875,261.87899780273438
0.264,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195015.5,263.33334350585938
0.268,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194708.625,264.57315063476562
0.272,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195194.75,262.28433227539062
0.276,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195575.328125,262.379638671875
0.28,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195117.59375,263.905517578125
0.284,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194670.671875,263.500244140625
0.288,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195133.375,265.026123046875
0.292,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195531.953125,263.61947631835938
0.296,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195236.171875,263.142578125
0.3,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194669.171875,260.305419921875
0.304,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195065.71875,262.35586547851562
0.308,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195486.171875,261.688232421875
0.312,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195355.453125,263.52407836914062
0.316,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194706.96875,263.88174438476562
0.32,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194988.671875,263.23797607421875
0.324,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195424.84375,264.35855102539062
0.328,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,195434.703125,263.04727172851562
0.332,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194766.328125,260.75845336914062
0.336,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,199999.96875,194863.953125,262.85653686523438
